seed,doc_len,item_len,span_ratio,paraphrase,doc_thresh,span_thresh,ngram_k,doc_recall,pass_recall,doc_prec,pass_prec,miss_gap,rate_true,rate_doc,rate_pass,doc_rate_prec,pass_rate_prec,n_true_pairs,n_doc_flagged,n_pass_flagged
0,100,50,0.5,0.0,0.5,0.6,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
1,100,50,0.5,0.0,0.5,0.6,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
2,100,50,0.5,0.0,0.5,0.6,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
3,100,50,0.5,0.0,0.5,0.6,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
4,100,50,0.5,0.0,0.5,0.6,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
5,100,50,0.5,0.0,0.5,0.6,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
6,100,50,0.5,0.0,0.5,0.6,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
0,100,50,0.5,0.0,0.5,0.8,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
1,100,50,0.5,0.0,0.5,0.8,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
2,100,50,0.5,0.0,0.5,0.8,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
3,100,50,0.5,0.0,0.5,0.8,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
4,100,50,0.5,0.0,0.5,0.8,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
5,100,50,0.5,0.0,0.5,0.8,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
6,100,50,0.5,0.0,0.5,0.8,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
0,100,50,0.5,0.0,0.8,0.6,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
1,100,50,0.5,0.0,0.8,0.6,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
2,100,50,0.5,0.0,0.8,0.6,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
3,100,50,0.5,0.0,0.8,0.6,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
4,100,50,0.5,0.0,0.8,0.6,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
5,100,50,0.5,0.0,0.8,0.6,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
6,100,50,0.5,0.0,0.8,0.6,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
0,100,50,0.5,0.0,0.8,0.8,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
1,100,50,0.5,0.0,0.8,0.8,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
2,100,50,0.5,0.0,0.8,0.8,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
3,100,50,0.5,0.0,0.8,0.8,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
4,100,50,0.5,0.0,0.8,0.8,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
5,100,50,0.5,0.0,0.8,0.8,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
6,100,50,0.5,0.0,0.8,0.8,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
0,100,50,0.5,0.2,0.5,0.6,8,0.0,0.0333,1.0,1.0,0.0333,0.2,0.0,0.0067,1.0,1.0,60,0,2
1,100,50,0.5,0.2,0.5,0.6,8,0.0,0.0167,1.0,1.0,0.0167,0.2,0.0,0.0033,1.0,1.0,60,0,1
2,100,50,0.5,0.2,0.5,0.6,8,0.0,0.0167,1.0,1.0,0.0167,0.2,0.0,0.0033,1.0,1.0,60,0,1
3,100,50,0.5,0.2,0.5,0.6,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
4,100,50,0.5,0.2,0.5,0.6,8,0.0,0.0167,1.0,1.0,0.0167,0.2,0.0,0.0033,1.0,1.0,60,0,1
5,100,50,0.5,0.2,0.5,0.6,8,0.0,0.0167,1.0,1.0,0.0167,0.2,0.0,0.0033,1.0,1.0,60,0,1
6,100,50,0.5,0.2,0.5,0.6,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
0,100,50,0.5,0.2,0.5,0.8,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
1,100,50,0.5,0.2,0.5,0.8,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
2,100,50,0.5,0.2,0.5,0.8,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
3,100,50,0.5,0.2,0.5,0.8,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
4,100,50,0.5,0.2,0.5,0.8,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
5,100,50,0.5,0.2,0.5,0.8,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
6,100,50,0.5,0.2,0.5,0.8,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
0,100,50,0.5,0.2,0.8,0.6,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
1,100,50,0.5,0.2,0.8,0.6,8,0.0,0.0167,1.0,1.0,0.0167,0.2,0.0,0.0033,1.0,1.0,60,0,1
2,100,50,0.5,0.2,0.8,0.6,8,0.0,0.0333,1.0,1.0,0.0333,0.2,0.0,0.0067,1.0,1.0,60,0,2
3,100,50,0.5,0.2,0.8,0.6,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
4,100,50,0.5,0.2,0.8,0.6,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
5,100,50,0.5,0.2,0.8,0.6,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
6,100,50,0.5,0.2,0.8,0.6,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
0,100,50,0.5,0.2,0.8,0.8,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
1,100,50,0.5,0.2,0.8,0.8,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
2,100,50,0.5,0.2,0.8,0.8,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
3,100,50,0.5,0.2,0.8,0.8,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
4,100,50,0.5,0.2,0.8,0.8,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
5,100,50,0.5,0.2,0.8,0.8,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
6,100,50,0.5,0.2,0.8,0.8,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
0,100,50,0.5,0.4,0.5,0.6,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
1,100,50,0.5,0.4,0.5,0.6,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
2,100,50,0.5,0.4,0.5,0.6,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
3,100,50,0.5,0.4,0.5,0.6,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
4,100,50,0.5,0.4,0.5,0.6,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
5,100,50,0.5,0.4,0.5,0.6,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
6,100,50,0.5,0.4,0.5,0.6,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
0,100,50,0.5,0.4,0.5,0.8,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
1,100,50,0.5,0.4,0.5,0.8,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
2,100,50,0.5,0.4,0.5,0.8,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
3,100,50,0.5,0.4,0.5,0.8,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
4,100,50,0.5,0.4,0.5,0.8,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
5,100,50,0.5,0.4,0.5,0.8,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
6,100,50,0.5,0.4,0.5,0.8,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
0,100,50,0.5,0.4,0.8,0.6,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
1,100,50,0.5,0.4,0.8,0.6,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
2,100,50,0.5,0.4,0.8,0.6,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
3,100,50,0.5,0.4,0.8,0.6,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
4,100,50,0.5,0.4,0.8,0.6,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
5,100,50,0.5,0.4,0.8,0.6,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
6,100,50,0.5,0.4,0.8,0.6,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
0,100,50,0.5,0.4,0.8,0.8,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
1,100,50,0.5,0.4,0.8,0.8,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
2,100,50,0.5,0.4,0.8,0.8,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
3,100,50,0.5,0.4,0.8,0.8,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
4,100,50,0.5,0.4,0.8,0.8,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
5,100,50,0.5,0.4,0.8,0.8,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
6,100,50,0.5,0.4,0.8,0.8,8,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,1.0,60,0,0
0,500,50,0.1,0.0,0.5,0.6,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
1,500,50,0.1,0.0,0.5,0.6,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
2,500,50,0.1,0.0,0.5,0.6,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
3,500,50,0.1,0.0,0.5,0.6,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
4,500,50,0.1,0.0,0.5,0.6,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
5,500,50,0.1,0.0,0.5,0.6,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
6,500,50,0.1,0.0,0.5,0.6,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
0,500,50,0.1,0.0,0.5,0.8,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
1,500,50,0.1,0.0,0.5,0.8,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
2,500,50,0.1,0.0,0.5,0.8,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
3,500,50,0.1,0.0,0.5,0.8,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
4,500,50,0.1,0.0,0.5,0.8,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
5,500,50,0.1,0.0,0.5,0.8,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
6,500,50,0.1,0.0,0.5,0.8,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
0,500,50,0.1,0.0,0.8,0.6,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
1,500,50,0.1,0.0,0.8,0.6,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
2,500,50,0.1,0.0,0.8,0.6,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
3,500,50,0.1,0.0,0.8,0.6,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
4,500,50,0.1,0.0,0.8,0.6,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
5,500,50,0.1,0.0,0.8,0.6,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
6,500,50,0.1,0.0,0.8,0.6,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
0,500,50,0.1,0.0,0.8,0.8,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
1,500,50,0.1,0.0,0.8,0.8,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
2,500,50,0.1,0.0,0.8,0.8,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
3,500,50,0.1,0.0,0.8,0.8,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
4,500,50,0.1,0.0,0.8,0.8,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
5,500,50,0.1,0.0,0.8,0.8,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
6,500,50,0.1,0.0,0.8,0.8,8,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.2,1.0,1.0,60,0,60
0,500,50,0.1,0.2,0.5,0.6,8,0.0,0.0333,1.0,1.0,0.0333,0.2,0.0,0.0067,1.0,1.0,60,0,2
