doc_len,item_len,span_ratio,paraphrase,doc_thresh,span_thresh,ngram_k,n_seeds,doc_recall_mean,doc_recall_std,pass_recall_mean,pass_recall_std,doc_prec_mean,doc_prec_std,pass_prec_mean,pass_prec_std,miss_gap_mean,miss_gap_std,rate_true_mean,rate_true_std,rate_doc_mean,rate_doc_std,rate_pass_mean,rate_pass_std,doc_rate_prec_mean,doc_rate_prec_std,pass_rate_prec_mean,pass_rate_prec_std
5000,50,0.01,0.0,0.5,0.6,8,7,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,1.0,0.0,1.0,0.0
5000,50,0.01,0.0,0.5,0.8,8,7,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,1.0,0.0,1.0,0.0
5000,50,0.01,0.0,0.8,0.6,8,7,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,1.0,0.0,1.0,0.0
5000,50,0.01,0.0,0.8,0.8,8,7,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,1.0,0.0,1.0,0.0
5000,50,0.01,0.2,0.5,0.6,8,7,0.0,0.0,0.0119,0.0172,1.0,0.0,1.0,0.0,0.0119,0.0172,0.2,0.0,0.0,0.0,0.0024,0.0034,1.0,0.0,1.0,0.0
5000,50,0.01,0.2,0.5,0.8,8,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
5000,50,0.01,0.2,0.8,0.6,8,7,0.0,0.0,0.0167,0.0089,1.0,0.0,1.0,0.0,0.0167,0.0089,0.2,0.0,0.0,0.0,0.0033,0.0018,1.0,0.0,1.0,0.0
5000,50,0.01,0.2,0.8,0.8,8,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
5000,50,0.01,0.4,0.5,0.6,8,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
5000,50,0.01,0.4,0.5,0.8,8,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
5000,50,0.01,0.4,0.8,0.6,8,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
5000,50,0.01,0.4,0.8,0.8,8,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2500,50,0.02,0.0,0.5,0.6,8,7,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,1.0,0.0,1.0,0.0
2500,50,0.02,0.0,0.5,0.8,8,7,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,1.0,0.0,1.0,0.0
2500,50,0.02,0.0,0.8,0.6,8,7,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,1.0,0.0,1.0,0.0
2500,50,0.02,0.0,0.8,0.8,8,7,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,1.0,0.0,1.0,0.0
2500,50,0.02,0.2,0.5,0.6,8,7,0.0,0.0,0.0048,0.0075,1.0,0.0,1.0,0.0,0.0048,0.0075,0.2,0.0,0.0,0.0,0.0009,0.0015,1.0,0.0,1.0,0.0
2500,50,0.02,0.2,0.5,0.8,8,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2500,50,0.02,0.2,0.8,0.6,8,7,0.0,0.0,0.0143,0.0187,1.0,0.0,1.0,0.0,0.0143,0.0187,0.2,0.0,0.0,0.0,0.0029,0.0038,1.0,0.0,1.0,0.0
2500,50,0.02,0.2,0.8,0.8,8,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2500,50,0.02,0.4,0.5,0.6,8,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2500,50,0.02,0.4,0.5,0.8,8,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2500,50,0.02,0.4,0.8,0.6,8,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2500,50,0.02,0.4,0.8,0.8,8,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
500,50,0.1,0.0,0.5,0.6,8,7,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,1.0,0.0,1.0,0.0
