seed,chunk_size,overlap,span_len,k,n_docs,doc_len,split_rate,recall,completeness,overcount
0,32,0,8,1,200,300,0.205,1.0,0.795,0.205
0,32,0,8,3,200,300,0.205,1.0,0.795,0.205
0,32,0,8,5,200,300,0.205,1.0,0.795,0.205
0,32,0,8,10,200,300,0.205,1.0,0.795,0.205
1,32,0,8,1,200,300,0.28,1.0,0.72,0.28
1,32,0,8,3,200,300,0.28,1.0,0.72,0.28
1,32,0,8,5,200,300,0.28,1.0,0.72,0.28
1,32,0,8,10,200,300,0.28,1.0,0.72,0.28
2,32,0,8,1,200,300,0.175,1.0,0.825,0.175
2,32,0,8,3,200,300,0.175,1.0,0.825,0.175
2,32,0,8,5,200,300,0.175,1.0,0.825,0.175
2,32,0,8,10,200,300,0.175,1.0,0.825,0.175
3,32,0,8,1,200,300,0.24,1.0,0.76,0.24
3,32,0,8,3,200,300,0.24,1.0,0.76,0.24
3,32,0,8,5,200,300,0.24,1.0,0.76,0.24
3,32,0,8,10,200,300,0.24,1.0,0.76,0.24
4,32,0,8,1,200,300,0.205,1.0,0.795,0.205
4,32,0,8,3,200,300,0.205,1.0,0.795,0.205
4,32,0,8,5,200,300,0.205,1.0,0.795,0.205
4,32,0,8,10,200,300,0.205,1.0,0.795,0.205
5,32,0,8,1,200,300,0.23,1.0,0.77,0.23
5,32,0,8,3,200,300,0.23,1.0,0.77,0.23
5,32,0,8,5,200,300,0.23,1.0,0.77,0.23
5,32,0,8,10,200,300,0.23,1.0,0.77,0.23
6,32,0,8,1,200,300,0.215,1.0,0.785,0.215
6,32,0,8,3,200,300,0.215,1.0,0.785,0.215
6,32,0,8,5,200,300,0.215,1.0,0.785,0.215
6,32,0,8,10,200,300,0.215,1.0,0.785,0.215
7,32,0,8,1,200,300,0.24,1.0,0.76,0.24
7,32,0,8,3,200,300,0.24,1.0,0.76,0.24
7,32,0,8,5,200,300,0.24,1.0,0.76,0.24
7,32,0,8,10,200,300,0.24,1.0,0.76,0.24
0,32,0,16,1,200,300,0.48,1.0,0.52,0.48
0,32,0,16,3,200,300,0.48,1.0,0.52,0.48
0,32,0,16,5,200,300,0.48,1.0,0.52,0.48
0,32,0,16,10,200,300,0.48,1.0,0.52,0.48
1,32,0,16,1,200,300,0.43,1.0,0.57,0.43
1,32,0,16,3,200,300,0.43,1.0,0.57,0.43
1,32,0,16,5,200,300,0.43,1.0,0.57,0.43
1,32,0,16,10,200,300,0.43,1.0,0.57,0.43
2,32,0,16,1,200,300,0.425,1.0,0.575,0.425
2,32,0,16,3,200,300,0.425,1.0,0.575,0.425
2,32,0,16,5,200,300,0.425,1.0,0.575,0.425
2,32,0,16,10,200,300,0.425,1.0,0.575,0.425
3,32,0,16,1,200,300,0.46,1.0,0.54,0.46
3,32,0,16,3,200,300,0.46,1.0,0.54,0.46
3,32,0,16,5,200,300,0.46,1.0,0.54,0.46
3,32,0,16,10,200,300,0.46,1.0,0.54,0.46
4,32,0,16,1,200,300,0.46,1.0,0.54,0.46
4,32,0,16,3,200,300,0.46,1.0,0.54,0.46
4,32,0,16,5,200,300,0.46,1.0,0.54,0.46
4,32,0,16,10,200,300,0.46,1.0,0.54,0.46
5,32,0,16,1,200,300,0.485,1.0,0.515,0.485
5,32,0,16,3,200,300,0.485,1.0,0.515,0.485
5,32,0,16,5,200,300,0.485,1.0,0.515,0.485
5,32,0,16,10,200,300,0.485,1.0,0.515,0.485
6,32,0,16,1,200,300,0.43,1.0,0.57,0.43
6,32,0,16,3,200,300,0.43,1.0,0.57,0.43
6,32,0,16,5,200,300,0.43,1.0,0.57,0.43
6,32,0,16,10,200,300,0.43,1.0,0.57,0.43
