chunk_size,overlap,span_len,k,n_seeds,split_rate,recall,completeness,overcount,overcount_ci95,overcount_lo
32,0,8,1,8,0.2238,1.0,0.7762,0.2238,0.0203,0.2034
32,0,8,3,8,0.2238,1.0,0.7762,0.2238,0.0203,0.2034
32,0,8,5,8,0.2238,1.0,0.7762,0.2238,0.0203,0.2034
32,0,8,10,8,0.2238,1.0,0.7762,0.2238,0.0203,0.2034
32,0,16,1,8,0.4556,1.0,0.5444,0.4556,0.0157,0.4399
32,0,16,3,8,0.4556,1.0,0.5444,0.4556,0.0157,0.4399
32,0,16,5,8,0.4556,1.0,0.5444,0.4556,0.0157,0.4399
32,0,16,10,8,0.4556,1.0,0.5444,0.4556,0.0157,0.4399
32,0,32,1,8,0.965,1.0,0.035,0.965,0.009,0.956
32,0,32,3,8,0.965,1.0,0.035,0.965,0.009,0.956
32,0,32,5,8,0.965,1.0,0.035,0.965,0.009,0.956
32,0,32,10,8,0.965,1.0,0.035,0.965,0.009,0.956
32,8,8,1,8,0.0,1.0,0.9625,0.0375,0.0039,0.0336
32,8,8,3,8,0.0,1.0,1.0,0.0,0.0,0.0
32,8,8,5,8,0.0,1.0,1.0,0.0,0.0,0.0
32,8,8,10,8,0.0,1.0,1.0,0.0,0.0,0.0
32,8,16,1,8,0.3069,1.0,0.6925,0.3075,0.022,0.2855
32,8,16,3,8,0.3069,1.0,0.6931,0.3069,0.0218,0.2851
32,8,16,5,8,0.3069,1.0,0.6931,0.3069,0.0218,0.2851
32,8,16,10,8,0.3069,1.0,0.6931,0.3069,0.0218,0.2851
32,8,32,1,8,0.9625,1.0,0.0375,0.9625,0.0077,0.9548
32,8,32,3,8,0.9625,1.0,0.0375,0.9625,0.0077,0.9548
32,8,32,5,8,0.9625,1.0,0.0375,0.9625,0.0077,0.9548
32,8,32,10,8,0.9625,1.0,0.0375,0.9625,0.0077,0.9548
32,16,8,1,8,0.0,1.0,0.9456,0.0544,0.0109,0.0435
32,16,8,3,8,0.0,1.0,1.0,0.0,0.0,0.0
32,16,8,5,8,0.0,1.0,1.0,0.0,0.0,0.0
32,16,8,10,8,0.0,1.0,1.0,0.0,0.0,0.0
32,16,16,1,8,0.0,1.0,0.9456,0.0544,0.0096,0.0448
32,16,16,3,8,0.0,1.0,1.0,0.0,0.0,0.0
32,16,16,5,8,0.0,1.0,1.0,0.0,0.0,0.0
32,16,16,10,8,0.0,1.0,1.0,0.0,0.0,0.0
32,16,32,1,8,0.94,1.0,0.06,0.94,0.0139,0.9261
32,16,32,3,8,0.94,1.0,0.06,0.94,0.0139,0.9261
32,16,32,5,8,0.94,1.0,0.06,0.94,0.0139,0.9261
32,16,32,10,8,0.94,1.0,0.06,0.94,0.0139,0.9261
64,0,8,1,8,0.0931,1.0,0.9069,0.0931,0.0183,0.0748
64,0,8,3,8,0.0931,1.0,0.9069,0.0931,0.0183,0.0748
64,0,8,5,8,0.0931,1.0,0.9069,0.0931,0.0183,0.0748
64,0,8,10,8,0.0931,1.0,0.9069,0.0931,0.0183,0.0748
64,0,16,1,8,0.215,1.0,0.785,0.215,0.0121,0.2029
64,0,16,3,8,0.215,1.0,0.785,0.215,0.0121,0.2029
64,0,16,5,8,0.215,1.0,0.785,0.215,0.0121,0.2029
64,0,16,10,8,0.215,1.0,0.785,0.215,0.0121,0.2029
64,0,32,1,8,0.4581,1.0,0.5419,0.4581,0.016,0.4422
64,0,32,3,8,0.4581,1.0,0.5419,0.4581,0.016,0.4422
64,0,32,5,8,0.4581,1.0,0.5419,0.4581,0.016,0.4422
64,0,32,10,8,0.4581,1.0,0.5419,0.4581,0.016,0.4422
64,8,8,1,8,0.0,1.0,0.9856,0.0144,0.0047,0.0097
64,8,8,3,8,0.0,1.0,1.0,0.0,0.0,0.0
64,8,8,5,8,0.0,1.0,1.0,0.0,0.0,0.0
64,8,8,10,8,0.0,1.0,1.0,0.0,0.0,0.0
64,8,16,1,8,0.1219,1.0,0.8781,0.1219,0.0134,0.1085
64,8,16,3,8,0.1219,1.0,0.8781,0.1219,0.0134,0.1085
64,8,16,5,8,0.1219,1.0,0.8781,0.1219,0.0134,0.1085
64,8,16,10,8,0.1219,1.0,0.8781,0.1219,0.0134,0.1085
64,8,32,1,8,0.395,1.0,0.605,0.395,0.0231,0.3719
64,8,32,3,8,0.395,1.0,0.605,0.395,0.0231,0.3719
64,8,32,5,8,0.395,1.0,0.605,0.395,0.0231,0.3719
64,8,32,10,8,0.395,1.0,0.605,0.395,0.0231,0.3719
64,16,8,1,8,0.0,1.0,0.9862,0.0138,0.0054,0.0083
64,16,8,3,8,0.0,1.0,1.0,0.0,0.0,0.0
64,16,8,5,8,0.0,1.0,1.0,0.0,0.0,0.0
64,16,8,10,8,0.0,1.0,1.0,0.0,0.0,0.0
64,16,16,1,8,0.0,1.0,0.9869,0.0131,0.0046,0.0086
64,16,16,3,8,0.0,1.0,1.0,0.0,0.0,0.0
64,16,16,5,8,0.0,1.0,1.0,0.0,0.0,0.0
64,16,16,10,8,0.0,1.0,1.0,0.0,0.0,0.0
64,16,32,1,8,0.275,1.0,0.725,0.275,0.0223,0.2527
64,16,32,3,8,0.275,1.0,0.725,0.275,0.0223,0.2527
64,16,32,5,8,0.275,1.0,0.725,0.275,0.0223,0.2527
64,16,32,10,8,0.275,1.0,0.725,0.275,0.0223,0.2527
64,32,8,1,8,0.0,1.0,0.9712,0.0288,0.0064,0.0223
64,32,8,3,8,0.0,1.0,1.0,0.0,0.0,0.0
64,32,8,5,8,0.0,1.0,1.0,0.0,0.0,0.0
64,32,8,10,8,0.0,1.0,1.0,0.0,0.0,0.0
64,32,16,1,8,0.0,1.0,0.9669,0.0331,0.0069,0.0262
64,32,16,3,8,0.0,1.0,1.0,0.0,0.0,0.0
64,32,16,5,8,0.0,1.0,1.0,0.0,0.0,0.0
64,32,16,10,8,0.0,1.0,1.0,0.0,0.0,0.0
64,32,32,1,8,0.0,1.0,0.9506,0.0494,0.0086,0.0408
64,32,32,3,8,0.0,1.0,1.0,0.0,0.0,0.0
64,32,32,5,8,0.0,1.0,1.0,0.0,0.0,0.0
64,32,32,10,8,0.0,1.0,1.0,0.0,0.0,0.0
128,0,8,1,8,0.0425,1.0,0.9575,0.0425,0.0131,0.0294
