seed,frac,L,rank,answer_score,top_distractor_score,bp_idf_mean,lennorm_answer,answer_len,n_docs_with_bp
0,0.0,0,1,29.814170,26.772490,0.000000,1.000000,50,1
0,0.0,8,1,28.356920,26.773093,7.195937,1.119930,58,1
0,0.0,16,1,27.039440,26.773695,7.195937,1.239842,66,1
0,0.0,32,3,24.748657,26.774899,7.195937,1.479607,82,1
0,0.0,64,3,21.180368,26.777307,7.195937,1.958906,114,1
0,0.0,128,9,16.465606,26.782120,7.195937,2.916587,178,1
0,0.0,256,19,11.418366,26.791731,7.195937,4.828280,306,1
0,0.0,512,21,7.097691,26.810901,7.195937,8.637058,562,1
0,0.0,1024,44,4.055990,26.849032,7.195937,16.196706,1074,1
0,0.25,0,1,29.814170,26.772490,0.000000,1.000000,50,9
0,0.25,8,1,28.363341,26.156304,5.350111,1.119374,58,9
0,0.25,16,1,27.052684,26.161591,5.350111,1.238576,66,9
0,0.25,32,2,24.776079,26.172149,5.350111,1.476468,82,9
0,0.25,64,2,21.235795,26.193201,5.350111,1.950207,114,9
0,0.25,128,6,16.569309,26.235044,5.350111,2.889592,178,9
0,0.25,256,13,11.588374,26.317709,5.350111,4.736628,306,9
0,0.25,512,14,7.336865,26.479063,5.350111,8.308657,562,9
0,0.25,1024,36,4.350922,26.786735,5.350111,15.000586,1074,9
0,1.0,0,1,29.814170,26.772490,0.000000,1.000000,50,31
0,1.0,8,1,28.380972,25.639410,4.151415,1.117848,58,31
0,1.0,16,1,27.088999,24.603276,4.151415,1.235114,66,31
0,1.0,32,1,24.851089,22.776001,4.151415,1.467918,82,31
0,1.0,64,1,21.386831,19.867897,4.151415,1.926734,114,31
0,1.0,128,1,16.850437,15.919076,4.151415,2.818098,178,31
0,1.0,256,1,12.046626,11.572564,4.151415,4.502520,306,31
0,1.0,512,1,7.978310,7.766950,4.151415,7.525269,562,31
0,1.0,1024,14,5.139035,5.824118,4.151415,12.478261,1074,31
1,0.0,0,1,30.922431,24.751586,0.000000,1.000000,50,1
1,0.0,8,1,29.591582,24.752143,7.195937,1.119930,58,1
1,0.0,16,1,28.370748,24.752700,7.195937,1.239842,66,1
1,0.0,32,1,26.208727,24.753813,7.195937,1.479607,82,1
1,0.0,64,10,22.743940,24.756039,7.195937,1.958906,114,1
1,0.0,128,13,17.991546,24.760488,7.195937,2.916587,178,1
1,0.0,256,18,12.695996,24.769374,7.195937,4.828280,306,1
1,0.0,512,27,8.002913,24.787098,7.195937,8.637058,562,1
1,0.0,1024,31,4.616139,24.822350,7.195937,16.196706,1074,1
1,0.25,0,1,30.922431,24.751586,0.000000,1.000000,50,9
1,0.25,8,1,29.597491,24.756596,5.350111,1.119374,58,9
1,0.25,16,1,28.383103,24.761600,5.350111,1.238576,66,9
1,0.25,32,1,26.234899,24.771593,5.350111,1.476468,82,9
1,0.25,64,7,22.798645,24.791518,5.350111,1.950207,114,9
1,0.25,128,10,18.098142,24.831123,5.350111,2.889592,178,9
1,0.25,256,15,12.877717,24.909363,5.350111,4.736628,306,9
