frac,L,n,mean_rank,ci95_half,mean_bp_idf,mean_lennorm,mean_answer_score,mean_top_distractor,mean_answer_len
0.0,0,20,1.1000,0.2093,0.0000,1.000000,30.1423,25.7858,50.0
0.0,8,20,1.2000,0.4186,7.1959,1.119930,28.7676,25.7864,58.0
0.0,16,20,1.3500,0.6311,7.1959,1.239842,27.5151,25.7870,66.0
0.0,32,20,3.6000,1.1898,7.1959,1.479607,25.3159,25.7881,82.0
0.0,64,20,8.0000,1.2429,7.1959,1.958906,21.8372,25.7904,114.0
0.0,128,20,14.2000,1.4130,7.1959,2.916587,17.1457,25.7951,178.0
0.0,256,20,19.5500,1.8377,7.1959,4.828280,12.0098,25.8043,306.0
0.0,512,20,23.8500,1.4507,7.1959,8.637058,7.5259,25.8227,562.0
0.0,1024,20,40.5500,3.4641,7.1959,16.196706,4.3241,25.8593,1074.0
0.25,0,20,1.1000,0.2093,0.0000,1.000000,30.1423,25.7858,50.0
0.25,8,20,1.2000,0.4186,5.3501,1.119374,28.7737,25.6739,58.0
0.25,16,20,1.3500,0.6311,5.3501,1.238576,27.5277,25.6606,66.0
0.25,32,20,2.9500,1.0240,5.3501,1.476468,25.3424,25.6710,82.0
0.25,64,20,5.9000,0.9945,5.3501,1.950207,21.8917,25.6916,114.0
0.25,128,20,10.4000,1.0343,5.3501,2.889592,17.2500,25.7327,178.0
0.25,256,20,14.8500,1.5281,5.3501,4.736628,12.1846,25.8139,306.0
0.25,512,20,17.9000,1.3657,5.3501,8.308657,7.7762,25.9723,562.0
0.25,1024,20,31.7000,3.3956,5.3501,15.000586,4.6361,26.2745,1074.0
1.0,0,20,1.1000,0.2093,0.0000,1.000000,30.1423,25.7858,50.0
1.0,8,20,1.1000,0.2093,4.1514,1.117848,28.7904,24.6979,58.0
1.0,16,20,1.1000,0.2093,4.1514,1.235114,27.5624,23.7028,66.0
1.0,32,20,1.1000,0.2093,4.1514,1.467918,25.4148,21.9475,82.0
1.0,64,20,1.1000,0.2093,4.1514,1.926734,22.0402,19.1525,114.0
1.0,128,20,1.1500,0.2290,4.1514,2.818098,17.5326,15.3544,178.0
1.0,256,20,1.1500,0.2290,4.1514,4.502520,12.6552,11.1694,306.0
1.0,512,20,1.2000,0.2448,4.1514,7.525269,8.4461,7.6290,562.0
1.0,1024,20,5.9000,3.6691,4.1514,12.478261,5.4683,5.5917,1074.0
