seed,frac,t_qterms,L,rank,answer_score,top_distractor_score,qterm_idf_mean,dist_lennorm_mean,answer_len,n_templated_distractors
0,0.5,1,0,1,29.814170,26.772490,4.739201,1.000000,50,15
0,0.5,1,4,1,29.149222,26.923832,4.251498,1.059514,50,15
0,0.5,1,8,1,29.154860,27.400104,4.251498,1.118957,50,15
0,0.5,1,16,1,29.166124,27.157579,4.251498,1.237630,50,15
0,0.5,1,32,1,29.188597,26.137015,4.251498,1.474124,50,15
0,0.5,1,64,1,29.233329,26.171891,4.251498,1.943740,50,15
0,0.5,1,128,1,29.321946,26.240930,4.251498,2.869702,50,15
0,0.5,1,256,1,29.495867,26.376227,4.251498,4.670262,50,15
0,0.5,1,512,1,29.831024,26.636206,4.251498,8.078752,50,15
0,1.0,1,0,1,29.814170,26.772490,4.739201,1.000000,50,30
0,1.0,1,4,1,28.814559,27.086726,4.004090,1.059029,50,30
0,1.0,1,8,1,28.825708,27.165365,4.004090,1.117917,50,30
0,1.0,1,16,1,28.847953,26.820497,4.004090,1.235271,50,30
0,1.0,1,32,1,28.892231,25.713309,4.004090,1.468304,50,30
0,1.0,1,64,1,28.979948,23.646069,4.004090,1.927786,50,30
0,1.0,1,128,1,29.152106,20.711374,4.004090,2.821263,50,30
0,1.0,1,256,1,29.483874,17.435897,4.004090,4.512630,50,30
0,1.0,1,512,1,30.101319,14.557069,4.004090,7.557559,50,30
0,0.5,2,0,1,29.814170,26.772490,4.711417,1.000000,50,15
0,0.5,2,4,2,28.766103,31.452190,4.269357,1.059514,50,15
0,0.5,2,8,2,28.771644,33.605720,4.269357,1.118957,50,15
0,0.5,2,16,2,28.782712,34.587026,4.269357,1.237630,50,15
0,0.5,2,32,2,28.804796,34.246913,4.269357,1.474124,50,15
0,0.5,2,64,2,28.848752,32.586394,4.269357,1.943740,50,15
0,0.5,2,128,2,28.935831,29.825860,4.269357,2.869702,50,15
0,0.5,2,256,1,29.106725,26.587429,4.269357,4.670262,50,15
0,0.5,2,512,1,29.436020,26.079977,4.269357,8.078752,50,15
0,1.0,2,0,1,29.814170,26.772490,4.711417,1.000000,50,30
0,1.0,2,4,2,28.220493,30.859476,4.046973,1.059029,50,30
0,1.0,2,8,2,28.231351,32.883562,4.046973,1.117917,50,30
0,1.0,2,16,2,28.253015,33.781466,4.046973,1.235271,50,30
0,1.0,2,32,2,28.296137,33.404316,4.046973,1.468304,50,30
0,1.0,2,64,2,28.381562,31.750562,4.046973,1.927786,50,30
0,1.0,2,128,2,28.549210,29.041422,4.046973,2.821263,50,30
0,1.0,2,256,1,28.872253,25.893307,4.046973,4.512630,50,30
0,1.0,2,512,1,29.473338,23.098834,4.046973,7.557559,50,30
1,0.5,1,0,1,30.922431,24.751586,4.580977,1.000000,50,15
1,0.5,1,4,1,30.574597,25.899848,4.324258,1.059514,50,15
1,0.5,1,8,1,30.579749,26.051916,4.324258,1.118957,50,15
