frac,t_qterms,L,n,mean_rank,ci95_half,qterm_idf_mean,dist_lennorm_mean,mean_answer_score,mean_top_distractor
0.5,1,0,20,1.1000,0.2093,4.6557,1.0000,30.1423,25.7858
0.5,1,4,20,1.8000,0.5172,4.3065,1.0595,29.7114,29.2053
0.5,1,8,20,1.8000,0.5172,4.3065,1.1190,29.7167,29.5033
0.5,1,16,20,1.8000,0.5172,4.3065,1.2376,29.7273,29.1133
0.5,1,32,20,1.3000,0.3075,4.3065,1.4741,29.7486,27.8618
0.5,1,64,20,1.0500,0.1046,4.3065,1.9437,29.7908,26.4005
0.5,1,128,20,1.0500,0.1046,4.3065,2.8697,29.8744,25.2042
0.5,1,256,20,1.0000,0.0000,4.3065,4.6703,30.0385,24.9683
0.5,1,512,20,1.0000,0.0000,4.3065,8.0788,30.3540,25.1540
0.5,2,0,20,1.1000,0.2093,4.6475,1.0000,30.1423,25.7858
0.5,2,4,20,2.5000,0.6531,4.3031,1.0595,29.3023,30.8661
0.5,2,8,20,3.1500,0.7930,4.3031,1.1190,29.3076,32.3400
0.5,2,16,20,3.7000,1.0197,4.3031,1.2376,29.3181,33.0230
0.5,2,32,20,3.7000,1.0197,4.3031,1.4741,29.3390,32.6619
0.5,2,64,20,2.5500,0.7357,4.3031,1.9437,29.3806,31.1641
0.5,2,128,20,1.7000,0.8191,4.3031,2.8697,29.4629,28.6926
0.5,2,256,20,1.2500,0.5232,4.3031,4.6703,29.6245,26.0163
0.5,2,512,20,1.0000,0.0000,4.3031,8.0788,29.9353,25.2848
1.0,1,0,20,1.1000,0.2093,4.6557,1.0000,30.1423,25.7858
1.0,1,4,20,2.3000,0.8331,4.0528,1.0590,29.4096,29.7738
1.0,1,8,20,2.3000,0.8331,4.0528,1.1179,29.4201,30.0518
1.0,1,16,20,2.2000,0.6549,4.0528,1.2353,29.4411,29.6107
1.0,1,32,20,1.5000,0.5579,4.0528,1.4683,29.4829,28.2542
1.0,1,64,20,1.1000,0.2093,4.0528,1.9278,29.5657,25.8173
1.0,1,128,20,1.0000,0.0000,4.0528,2.8213,29.7280,22.4150
1.0,1,256,20,1.0000,0.0000,4.0528,4.5126,30.0404,18.6622
1.0,1,512,20,1.0000,0.0000,4.0528,7.5576,30.6200,15.3925
1.0,2,0,20,1.1000,0.2093,4.6475,1.0000,30.1423,25.7858
1.0,2,4,20,3.9000,0.9348,4.0527,1.0590,28.6909,30.9429
1.0,2,8,20,4.7000,1.0640,4.0527,1.1179,28.7012,32.3348
1.0,2,16,20,5.2000,1.2109,4.0527,1.2353,28.7216,32.9374
1.0,2,32,20,4.9500,1.0999,4.0527,1.4683,28.7623,32.4993
1.0,2,64,20,4.1000,1.0939,4.0527,1.9278,28.8429,30.9232
1.0,2,128,20,1.8500,0.9636,4.0527,2.8213,29.0010,28.3726
1.0,2,256,20,1.2000,0.4186,4.0527,4.5126,29.3050,25.4129
1.0,2,512,20,1.0000,0.0000,4.0527,7.5576,29.8692,22.7860
