item,in_degree,density_kth,denom,num_miss,miss_rate
0,12,0.632082,5,0,0.000000
1,17,1.131236,6,1,0.166667
9,12,1.399194,2,2,1.000000
10,11,2.068231,2,0,0.000000
12,8,4.951692,2,0,0.000000
13,11,7.345223,2,1,0.500000
25,10,1.393166,3,0,0.000000
29,14,6.847119,2,0,0.000000
31,7,15.534099,2,0,0.000000
32,12,0.804622,4,0,0.000000
33,10,1.645288,2,0,0.000000
36,9,5.194289,2,0,0.000000
37,14,7.373172,3,0,0.000000
41,7,1.520309,2,1,0.500000
42,18,1.725037,2,0,0.000000
43,11,3.312780,2,1,0.500000
44,12,4.403174,4,0,0.000000
45,11,7.246344,2,0,0.000000
46,11,9.519410,2,0,0.000000
55,23,11.740709,3,1,0.333333
57,10,1.684079,2,0,0.000000
61,3,10.329038,2,2,1.000000
62,5,11.379543,2,0,0.000000
67,17,3.066208,5,1,0.200000
68,16,4.284942,2,0,0.000000
70,13,9.586806,4,0,0.000000
74,10,2.239009,2,0,0.000000
75,16,3.238751,4,1,0.250000
77,14,6.816677,3,0,0.000000
81,15,1.388671,4,1,0.250000
85,19,6.201561,9,0,0.000000
91,13,3.076521,3,1,0.333333
99,9,3.566096,3,3,1.000000
102,16,8.191052,2,1,0.500000
104,10,0.781299,2,0,0.000000
106,14,2.360623,2,0,0.000000
109,10,7.451136,2,0,0.000000
110,5,11.538923,2,0,0.000000
114,9,2.159602,2,0,0.000000
116,17,4.689801,3,0,0.000000
117,15,6.755573,2,0,0.000000
121,14,1.518307,2,0,0.000000
122,13,2.145232,3,0,0.000000
126,14,7.820608,6,0,0.000000
129,13,1.385930,3,0,0.000000
133,15,7.627350,3,1,0.333333
141,15,5.893954,7,0,0.000000
142,11,8.685755,5,0,0.000000
146,14,2.175166,2,0,0.000000
153,12,1.091479,3,0,0.000000
155,21,2.957016,3,1,0.333333
156,9,4.627652,3,0,0.000000
160,8,0.834358,4,1,0.250000
161,16,1.249349,4,0,0.000000
164,25,4.188042,3,0,0.000000
171,15,3.221702,2,0,0.000000
172,6,4.833872,3,0,0.000000
177,11,1.386637,4,1,0.250000
181,12,6.750001,2,0,0.000000
188,10,4.510873,2,0,0.000000
190,8,8.393726,3,0,0.000000
193,8,1.383590,2,1,0.500000
196,10,5.115536,2,0,0.000000
197,8,7.172580,3,0,0.000000
200,9,0.832956,2,0,0.000000
203,8,3.639102,3,1,0.333333
204,17,4.479251,3,0,0.000000
