sweep,alpha,c,shape,base_w,k,policyB,fpr,fnr,sd,ov,R,mean_A,mean_B,penalty,ci_lo,ci_hi,dnc_A,dnc_B
alpha_B1,0.0,20,linear,0,2.0,B1,0.1,0.1,3.0,1,4000,21.97225,40.6405,-0.45935089381282224,-0.4806105223670637,-0.4388699900248101,0.0,0.0
alpha_B1,0.002,20,linear,0,2.0,B1,0.1,0.1,3.0,1,4000,5363.63975,695.416,6.712850653421836,5.109377262776461,9.192169508779392,0.0125,0.0115
alpha_B1,0.005,20,linear,0,2.0,B1,0.1,0.1,3.0,1,4000,29546.2265,728.67325,39.54797743707485,32.079851165626586,50.73229309257239,0.57075,0.0125
alpha_B1,0.01,20,linear,0,2.0,B1,0.1,0.1,3.0,1,4000,30482.50075,790.2625,37.57262713338922,30.28762156111472,50.38697291826113,0.601,0.014
alpha_B1,0.02,20,linear,0,2.0,B1,0.1,0.1,3.0,1,4000,27718.15475,695.304,38.8647997854176,30.809610939879928,51.089158518153084,0.55,0.01225
alpha_B1,0.04,20,linear,0,2.0,B1,0.1,0.1,3.0,1,4000,24063.52375,875.2305,26.493927314004708,21.169857270583556,34.25954439531421,0.479,0.016
alpha_B2,0.0,20,linear,0,2.0,B2,0,0,0,1,4000,21.642,29.86175,-0.2752601572245431,-0.28554979850316636,-0.2664985251998462,0.0,0.0
alpha_B2,0.002,20,linear,0,2.0,B2,0,0,0,1,4000,5984.6045,831.69325,6.19568723204138,4.928136422031404,8.201877169066432,0.01675,0.0135
alpha_B2,0.005,20,linear,0,2.0,B2,0,0,0,1,4000,29669.98125,799.979,36.08845013431603,28.883666150077737,47.40590714312485,0.571,0.01375
alpha_B2,0.01,20,linear,0,2.0,B2,0,0,0,1,4000,31518.097,671.3605,45.946606182520426,36.09422677780352,61.183922285833106,0.62075,0.01125
alpha_B2,0.02,20,linear,0,2.0,B2,0,0,0,1,4000,28292.5055,859.72175,31.908909772260614,25.528843014913374,40.07950181190349,0.56025,0.015
alpha_B2,0.04,20,linear,0,2.0,B2,0,0,0,1,4000,24123.06975,889.13975,26.130796649233147,21.19680500964797,33.832948433634854,0.47975,0.0155
weibull_B1,0.0,20,weibull,0.0,2.0,B1,0.1,0.1,3.0,1,4000,21.75225,39.08975,-0.4435305930582826,-0.45986488247008245,-0.4221341817235929,0.0,0.0
weibull_B1,0.0,20,weibull,0.0002,2.0,B1,0.1,0.1,3.0,1,4000,43.06275,187.63725,-0.7704999940043888,-0.7964073424596216,-0.7474319778305761,0.0,0.0
weibull_B1,0.0,20,weibull,0.0005,2.0,B1,0.1,0.1,3.0,1,4000,90.903,843.362,-0.8922135453103175,-0.912660474528593,-0.8654277903968197,0.0,0.01375
weibull_B1,0.0,20,weibull,0.001,2.0,B1,0.1,0.1,3.0,1,4000,285.43825,750.2405,-0.6195376682543798,-0.6880314739526003,-0.5009216140911482,0.0,0.01225
ckpt_B1,0.01,10,linear,0,2.0,B1,0.1,0.1,3.0,1,4000,29564.66925,673.41725,42.902453122488325,34.002434031185174,57.92954686623237,0.4215,0.0115
ckpt_B1,0.01,20,linear,0,2.0,B1,0.1,0.1,3.0,1,4000,30482.50075,790.2625,37.57262713338922,30.28762156111472,50.38697291826113,0.601,0.014
ckpt_B1,0.01,40,linear,0,2.0,B1,0.1,0.1,3.0,1,4000,21554.41,1193.155,17.065054414556368,14.113233983991792,20.724827510190572,0.42675,0.0215
detector_B1,0.01,20,linear,0,2.0,B1,0.0,0.0,3.0,1,4000,30786.0085,752.0265,39.937398482633256,31.950451454791253,53.33400288558854,0.607,0.0135
detector_B1,0.01,20,linear,0,2.0,B1,0.1,0.1,3.0,1,4000,30482.50075,790.2625,37.57262713338922,30.28762156111472,50.38697291826113,0.601,0.014
detector_B1,0.01,20,linear,0,2.0,B1,0.25,0.25,3.0,1,4000,31286.86275,853.57475,35.65392251820945,28.215258610872183,44.22900080863844,0.61675,0.01475
detector_B1,0.01,20,linear,0,2.0,B1,0.5,0.5,3.0,1,4000,31180.19075,1175.98125,25.514190383562664,21.236472550661723,30.85724791999563,0.61275,0.0205
