sweep,alpha,c,shape,base_w,k,policyB,fpr,fnr,sd,ov,R,mean_A,mean_B,penalty,ci_lo,ci_hi,dnc_A,dnc_B,mean_A_compl,mean_B_compl,penalty_compl
fine_B1,0.0,20,linear,0,2.0,B1,0.1,0.1,3.0,1,4000,21.93225,38.92725,-0.4365836271506464,-0.4575827075549637,-0.4146157037512882,0.0,0.0,21.93225,38.92725,-0.4365836271506464
fine_B1,0.0005,20,linear,0,2.0,B1,0.1,0.1,3.0,1,4000,89.771,854.76325,-0.8949755970439769,-0.9146010082978271,-0.8677414154799027,0.0,0.01375,89.771,169.16425855513307,-0.4693264359342057
fine_B1,0.001,20,linear,0,2.0,B1,0.1,0.1,3.0,1,4000,276.82725,849.93675,-0.6742966461916138,-0.7368487399219597,-0.5882254841502318,0.0,0.01425,276.82725,139.06923662186153,0.9905714356706481
fine_B1,0.002,20,linear,0,2.0,B1,0.1,0.1,3.0,1,4000,5625.19925,870.7035,5.460522152489338,4.269454000311455,7.121023958520178,0.014,0.015,4995.092038539554,122.30456852791878,39.841418261488016
fine_B1,0.003,20,linear,0,2.0,B1,0.1,0.1,3.0,1,4000,21615.60575,812.28075,25.61100333843932,20.684287733600698,33.56984969798699,0.37225,0.014,4782.431700517722,113.697261663286,41.06285736837599
fine_B1,0.005,20,linear,0,2.0,B1,0.1,0.1,3.0,1,4000,29873.3545,716.48075,40.69456681146005,32.539041485703045,53.690693867134854,0.57325,0.01225,2834.274165202109,105.14553277651227,25.955725938698535
fine_B2,0.0,20,linear,0,2.0,B2,0,0,0,1,4000,21.72325,29.95925,-0.27490674833315254,-0.28435948972476305,-0.2653851437205948,0.0,0.0,21.72325,29.95925,-0.27490674833315254
fine_B2,0.0005,20,linear,0,2.0,B2,0,0,0,1,4000,90.81475,1392.83875,-0.9347988056765365,-0.9418844046814414,-0.9273933596455441,0.0,0.01025,90.81475,889.3026016670876,-0.8978809352072528
fine_B2,0.001,20,linear,0,2.0,B2,0,0,0,1,4000,280.65475,925.82825,-0.696860891855482,-0.7389431104489008,-0.6364107980737407,0.0,0.01275,280.65475,291.8670549506204,-0.03841579500131448
fine_B2,0.002,20,linear,0,2.0,B2,0,0,0,1,4000,5698.34025,819.28175,5.955287665079809,4.76302060902905,7.6434216524136565,0.013,0.01325,5114.797112462006,158.69749176589815,31.229854773048807
fine_B2,0.003,20,linear,0,2.0,B2,0,0,0,1,4000,21673.69325,751.929,27.824122024818834,22.08520515288345,36.48078174341535,0.37775,0.0125,4476.151868220169,128.38708860759493,33.864501693789286
fine_B2,0.005,20,linear,0,2.0,B2,0,0,0,1,4000,29606.1645,838.27875,34.31780389279819,28.469919229399753,44.051401799212655,0.56675,0.0145,2925.156376226197,114.78995433789954,24.482686120909232
diverge_B1,0.008,20,linear,0,2.0,B1,0.1,0.1,3.0,1,4000,31473.31575,834.49,36.715629606106724,30.141338307567032,47.16346273108722,0.6185,0.01475,1433.4560943643512,98.29967013448363,13.582511746003236
diverge_B1,0.01,20,linear,0,2.0,B1,0.1,0.1,3.0,1,4000,31641.2505,665.86675,46.51889248111577,37.26338784310324,61.04173786667383,0.623,0.0115,1299.3388594164455,91.83788568538189,13.148179149808815
diverge_B1,0.02,20,linear,0,2.0,B1,0.1,0.1,3.0,1,4000,27788.3255,583.26225,46.64293506051523,35.80316849508033,63.7868289790808,0.5505,0.01,583.2135706340379,84.04722222222222,5.9391177389778775
diverge_B1,0.04,20,linear,0,2.0,B1,0.1,0.1,3.0,1,4000,24826.31875,864.56875,27.71526266708113,22.271953796545766,36.27114418793705,0.49425,0.01575,222.11764705882354,78.24180848361696,1.838861362788319
detector_B1,0.003,20,linear,0,2.0,B1,0.0,0.0,3.0,1,4000,22514.2915,871.66425,24.82908671544118,20.233619307608773,31.10094599081928,0.39275,0.0155,4735.811856731165,97.93930929405789,47.35455641730253
detector_B1,0.003,20,linear,0,2.0,B1,0.1,0.1,3.0,1,4000,21615.60575,812.28075,25.61100333843932,20.684287733600698,33.56984969798699,0.37225,0.014,4782.431700517722,113.697261663286,41.06285736837599
detector_B1,0.003,20,linear,0,2.0,B1,0.25,0.25,3.0,1,4000,21803.07225,928.9425,22.470852340160988,18.42415303729804,29.170861875000856,0.37625,0.01575,4793.056513026052,143.46710693421386,32.40874863548956
detector_B1,0.003,20,linear,0,2.0,B1,0.5,0.5,3.0,1,4000,22339.96025,1183.95825,17.868875021564318,15.14289550525756,21.634658318723755,0.38425,0.01975,5077.646366220057,200.1423106350421,24.370179599250775
ckpt_B1,0.003,10,linear,0,2.0,B1,0.1,0.1,3.0,1,4000,2086.904,597.56425,2.4923508225266153,1.7974194638683492,3.6162287534982465,0.0,0.0095,2086.904,123.6143361938415,15.882378405749753
ckpt_B1,0.003,20,linear,0,2.0,B1,0.1,0.1,3.0,1,4000,21615.60575,812.28075,25.61100333843932,20.684287733600698,33.56984969798699,0.37225,0.014,4782.431700517722,113.697261663286,41.06285736837599
ckpt_B1,0.003,40,linear,0,2.0,B1,0.1,0.1,3.0,1,4000,24053.74975,1036.557,22.20542888620693,18.593061420541567,27.168357346920068,0.45175,0.018,2670.706338349293,138.8141547861507,18.23943809954852
