seed,frac,t_qterms,L,rank,answer_score,top_distractor_score
0,0.5,1,0,1,33.569790,28.943233
0,0.5,1,4,1,32.848851,28.872704
0,0.5,1,8,1,32.852874,29.342596
0,0.5,1,16,1,32.860910,29.267219
0,0.5,1,32,1,32.876948,28.560275
0,0.5,1,64,1,32.908884,28.270654
0,0.5,1,128,1,32.972205,28.322388
0,0.5,1,256,1,33.096687,28.423951
0,0.5,1,512,1,33.337348,28.619777
0,1.0,1,0,1,33.569790,28.943233
0,1.0,1,4,1,32.485019,28.945774
0,1.0,1,8,1,32.492970,29.078918
0,1.0,1,16,1,32.508836,28.940396
0,1.0,1,32,1,32.540432,28.220943
0,1.0,1,64,1,32.603079,26.849984
0,1.0,1,128,1,32.726238,24.975494
0,1.0,1,256,1,32.964346,23.002049
0,1.0,1,512,1,33.410198,21.368609
0,0.5,2,0,1,33.569790,28.943233
0,0.5,2,4,2,32.373718,34.238747
0,0.5,2,8,2,32.377677,35.934277
0,0.5,2,16,2,32.385585,36.865825
0,0.5,2,32,2,32.401367,36.828904
0,0.5,2,64,2,32.432793,35.843284
0,0.5,2,128,2,32.495102,34.155841
0,0.5,2,256,1,32.617588,32.256151
0,0.5,2,512,1,32.854372,30.646958
0,1.0,2,0,1,33.569790,28.943233
0,1.0,2,4,2,31.759101,33.591611
0,1.0,2,8,2,31.766858,35.186303
0,1.0,2,16,2,31.782340,36.046103
0,1.0,2,32,2,31.813167,35.972278
0,1.0,2,64,2,31.874289,34.982876
0,1.0,2,128,2,31.994443,33.321475
0,1.0,2,256,1,32.226718,31.469918
0,1.0,2,512,1,32.661560,29.917834
1,0.5,1,0,1,33.429655,26.758471
1,0.5,1,4,1,33.051901,27.611968
1,0.5,1,8,1,33.055755,27.805221
1,0.5,1,16,1,33.063454,27.674862
1,0.5,1,32,1,33.078816,27.031350
1,0.5,1,64,1,33.109395,26.425827
1,0.5,1,128,1,33.169984,26.474186
1,0.5,1,256,1,33.288931,26.569121
1,0.5,1,512,1,33.518274,26.752168
1,1.0,1,0,1,33.429655,26.758471
1,1.0,1,4,1,32.663507,27.129059
1,1.0,1,8,1,32.671115,27.295936
1,1.0,1,16,1,32.686294,27.150735
1,1.0,1,32,1,32.716511,26.501929
1,1.0,1,64,1,32.776380,25.266039
1,1.0,1,128,1,32.893916,23.571697
1,1.0,1,256,1,33.120537,21.785688
1,1.0,1,512,1,33.542688,20.307029
1,0.5,2,0,1,33.429655,26.758471
1,0.5,2,4,2,32.649202,33.251744
1,0.5,2,8,2,32.653009,34.428781
1,0.5,2,16,2,32.660614,35.099865
1,0.5,2,32,3,32.675789,35.017154
1,0.5,2,64,2,32.705996,34.124634
