seed,b,L,rank,answer_score,top_distractor_score,dist_lennorm_mean
0,0.0,0,1,29.814170,26.772490,1.000000
0,0.0,4,2,28.209618,31.542580,1.000000
0,0.0,8,3,28.209618,34.110851,1.000000
0,0.0,16,8,28.209618,35.897475,1.000000
0,0.0,32,8,28.209618,36.977759,1.000000
0,0.0,64,8,28.209618,37.576471,1.000000
0,0.0,128,8,28.209618,37.892356,1.000000
0,0.0,256,8,28.209618,38.054699,1.000000
0,0.0,512,8,28.209618,38.137007,1.000000
0,0.25,0,1,29.814170,26.772490,1.000000
0,0.25,4,2,28.213242,31.311543,1.019676
0,0.25,8,3,28.216858,33.691210,1.039306
0,0.25,16,7,28.224068,35.157506,1.078424
0,0.25,32,8,28.238397,35.670426,1.156101
0,0.25,64,8,28.266692,35.265355,1.309262
0,0.25,128,5,28.321883,33.913736,1.607088
0,0.25,256,2,28.426972,31.636560,2.170877
0,0.25,512,2,28.618211,28.762713,3.185853
0,0.5,0,1,29.814170,26.772490,1.000000
0,0.5,4,2,28.216867,31.083866,1.039353
0,0.5,8,2,28.224103,33.282252,1.078611
0,0.5,16,5,28.238534,34.453076,1.156847
0,0.5,32,5,28.267236,34.485209,1.312203
0,0.5,64,2,28.324007,33.357794,1.618524
0,0.5,128,2,28.435077,31.123677,2.214176
0,0.5,256,1,28.647822,28.134610,3.341753
0,0.5,512,1,29.039251,25.103463,5.371706
0,0.75,0,1,29.814170,26.772490,1.000000
0,0.75,4,2,28.220493,30.859476,1.059029
0,0.75,8,2,28.231351,32.883562,1.117917
0,0.75,16,2,28.253015,33.781466,1.235271
0,0.75,32,2,28.296137,33.404316,1.468304
0,0.75,64,2,28.381562,31.750562,1.927786
0,0.75,128,2,28.549210,29.041422,2.821263
0,0.75,256,1,28.872253,25.893307,4.512630
0,0.75,512,1,29.473338,23.098834,7.557559
0,1.0,0,1,29.814170,26.772490,1.000000
0,1.0,4,2,28.224120,30.638303,1.078706
0,1.0,8,2,28.238604,32.494743,1.157223
0,1.0,16,2,28.267512,33.140235,1.313694
0,1.0,32,2,28.325099,32.413310,1.624406
0,1.0,64,2,28.439360,30.373105,2.237049
0,1.0,128,1,28.664297,27.415288,3.428351
0,1.0,256,1,29.100359,24.311937,5.683507
0,1.0,512,1,29.921113,21.799781,9.743412
1,0.0,0,1,30.922431,24.751586,1.000000
1,0.0,4,3,29.541475,30.829885,1.000000
1,0.0,8,4,29.541475,32.673040,1.000000
1,0.0,16,5,29.541475,34.088611,1.000000
1,0.0,32,5,29.541475,35.021823,1.000000
1,0.0,64,5,29.541475,35.571784,1.000000
1,0.0,128,17,29.541475,35.873069,1.000000
1,0.0,256,17,29.541475,36.031193,1.000000
1,0.0,512,17,29.541475,36.112259,1.000000
1,0.25,0,1,30.922431,24.751586,1.000000
1,0.25,4,3,29.544795,30.623339,1.019676
1,0.25,8,4,29.548107,32.295645,1.039306
1,0.25,16,5,29.554711,33.417419,1.078424
1,0.25,32,5,29.567833,33.832172,1.156101
1,0.25,64,5,29.593740,33.470272,1.309262
1,0.25,128,4,29.644248,32.261537,1.607088
1,0.25,256,3,29.740333,30.213386,2.170877
1,0.25,512,1,29.914892,27.622492,3.185853
1,0.5,0,1,30.922431,24.751586,1.000000
1,0.5,4,3,29.548115,30.419624,1.039353
1,0.5,8,4,29.554743,31.927636,1.078611
1,0.5,16,4,29.567959,32.778166,1.156847
1,0.5,32,4,29.594238,32.752901,1.312203
1,0.5,64,4,29.646191,31.733716,1.618524
1,0.5,128,1,29.747738,29.724678,2.214176
1,0.5,256,1,29.941886,27.031987,3.341753
1,0.5,512,1,30.297871,24.299155,5.371706
1,0.75,0,1,30.922431,24.751586,1.000000
1,0.75,4,3,29.551437,30.218683,1.059029
1,0.75,8,4,29.561381,31.568649,1.117917
1,0.75,16,4,29.581219,32.168403,1.235271
1,0.75,32,4,29.620690,31.767930,1.468304
1,0.75,64,3,29.698827,30.268801,1.927786
1,0.75,128,1,29.851954,27.827901,2.821263
1,0.75,256,1,30.146191,24.990458,4.512630
1,0.75,512,1,30.690783,22.471812,7.557559
1,1.0,0,1,30.922431,24.751586,1.000000
1,1.0,4,3,29.554759,30.020456,1.078706
1,1.0,8,3,29.568022,31.218337,1.157223
1,1.0,16,4,29.594491,31.585935,1.313694
1,1.0,32,3,29.647190,30.864215,1.624406
1,1.0,64,1,29.751651,29.011749,2.237049
1,1.0,128,1,29.956902,26.343692,3.428351
1,1.0,256,1,30.353302,23.545772,5.683507
1,1.0,512,1,31.094020,21.282561,9.743412
2,0.0,0,1,31.951007,25.780162,1.000000
2,0.0,4,3,30.429961,31.727704,1.000000
2,0.0,8,5,30.429961,33.602222,1.000000
2,0.0,16,5,30.429961,35.040576,1.000000
2,0.0,32,5,30.429961,35.988124,1.000000
2,0.0,64,5,30.429961,36.546268,1.000000
2,0.0,128,12,30.429961,36.851950,1.000000
2,0.0,256,14,30.429961,37.012359,1.000000
2,0.0,512,14,30.429961,37.094589,1.000000
2,0.25,0,1,31.951007,25.780162,1.000000
2,0.25,4,3,30.433380,31.514721,1.019676
2,0.25,8,5,30.436793,33.212565,1.039306
2,0.25,16,5,30.443595,34.346384,1.078424
2,0.25,32,5,30.457112,34.755620,1.156101
2,0.25,64,5,30.483798,34.366219,1.309262
2,0.25,128,5,30.535825,33.102298,1.607088
2,0.25,256,3,30.634800,30.969096,2.170877
2,0.25,512,1,30.814609,28.273396,3.185853
2,0.5,0,1,31.951007,25.780162,1.000000
2,0.5,4,3,30.436801,31.304663,1.039353
2,0.5,8,5,30.443628,32.832627,1.078611
2,0.5,16,5,30.457241,33.685329,1.156847
2,0.5,32,5,30.484311,33.637779,1.312203
2,0.5,64,5,30.537826,32.565469,1.618524
2,0.5,128,1,30.642428,30.469737,2.214176
2,0.5,256,1,30.842415,27.666455,3.341753
2,0.5,512,1,31.209106,24.822963,5.371706
2,0.75,0,1,31.951007,25.780162,1.000000
2,0.75,4,3,30.440222,31.097467,1.059029
2,0.75,8,5,30.450466,32.462029,1.117917
2,0.75,16,5,30.470900,33.054870,1.235271
2,0.75,32,5,30.511559,32.617888,1.468304
2,0.75,64,3,30.592046,31.047014,1.927786
2,0.75,128,1,30.749777,28.502484,2.821263
2,0.75,256,1,31.052864,25.548688,4.512630
2,0.75,512,1,31.613835,22.927627,7.557559
2,1.0,0,1,31.951007,25.780162,1.000000
2,1.0,4,3,30.443644,30.893075,1.078706
2,1.0,8,3,30.457307,32.100410,1.157223
2,1.0,16,5,30.484571,32.452725,1.313694
2,1.0,32,3,30.538855,31.682388,1.624406
2,1.0,64,1,30.646459,29.744555,2.237049
2,1.0,128,1,30.857882,26.964028,3.428351
2,1.0,256,1,31.266204,24.051286,5.683507
2,1.0,512,1,32.029200,21.695548,9.743412
3,0.0,0,1,30.463794,25.780162,1.000000
3,0.0,4,2,28.855210,31.909315,1.000000
3,0.0,8,3,28.855210,33.774499,1.000000
3,0.0,16,5,28.855210,35.206361,1.000000
3,0.0,32,9,28.855210,36.149983,1.000000
3,0.0,64,9,28.855210,36.705951,1.000000
3,0.0,128,9,28.855210,37.010486,1.000000
3,0.0,256,11,28.855210,37.170305,1.000000
3,0.0,512,12,28.855210,37.252235,1.000000
