sweep,alpha,c,shape,base_w,k,policyB,fpr,fnr,sd,ov,R,mean_A,mean_B,penalty,ci_lo,ci_hi,dnc_A,dnc_B,mean_A_compl,mean_B_compl,penalty_compl
GATE_B1,0.0,20,linear,0,2.0,B1,0.1,0.1,3.0,1,4000,21.93225,22.52775,-0.026434064653593953,-0.037370409950752984,-0.01595367125973175,0.0,0.0,21.93225,22.52775,-0.026434064653593953
GATE_B2,0.0,20,linear,0,2.0,B2,0,0,0,1,4000,21.72325,22.07,-0.015711372904395112,-0.01988363554199859,-0.011050416813967477,0.0,0.0,21.72325,22.07,-0.015711372904395112
alpha_B1,0.0,20,linear,0,2.0,B1,0.1,0.1,3.0,1,4000,21.93225,22.52775,-0.026434064653593953,-0.037370409950752984,-0.01595367125973175,0.0,0.0,21.93225,22.52775,-0.026434064653593953
alpha_B1,0.002,20,linear,0,2.0,B1,0.1,0.1,3.0,1,4000,198.6525,156.14875,0.2722003858500308,0.23400635261877561,0.31442545629681307,0.6045,0.0135,68.81984829329961,139.750126710593,-0.5075507270500164
alpha_B1,0.005,20,linear,0,2.0,B1,0.1,0.1,3.0,1,4000,187.191,124.09625,0.5084339776584708,0.4704177600628844,0.5485920527189364,0.69975,0.0135,44.59866777685262,114.14698428788647,-0.6092873757893441
alpha_B1,0.01,20,linear,0,2.0,B1,0.1,0.1,3.0,1,4000,170.184,100.9085,0.6865179841143213,0.6470619565006874,0.727577341047463,0.671,0.01125,39.547872340425535,95.09152970922882,-0.5841073073347842
alpha_B1,0.02,20,linear,0,2.0,B1,0.1,0.1,3.0,1,4000,162.70575,83.84875,0.9404672103042682,0.8898839663376159,0.98996332694962,0.57925,0.0085,38.535353535353536,80.93166918809884,-0.5238532218359307
alpha_B1,0.04,20,linear,0,2.0,B1,0.1,0.1,3.0,1,4000,118.47975,76.28475,0.553124969276297,0.5200477496829627,0.5892361430883185,0.49775,0.0155,39.84071677451468,72.74885728796343,-0.45235267934433276
alpha_B2,0.0,20,linear,0,2.0,B2,0,0,0,1,4000,21.72325,22.07,-0.015711372904395112,-0.01988363554199859,-0.011050416813967477,0.0,0.0,21.72325,22.07,-0.015711372904395112
alpha_B2,0.002,20,linear,0,2.0,B2,0,0,0,1,4000,201.77825,193.23275,0.04422386991853091,0.018105386045130345,0.07657527759331823,0.61725,0.01275,69.55127367733508,179.91491516839707,-0.6134213018846361
