branch,p_C,h_C,h_W,phi,r,q,acc,ci95
precision_ctrl,0.45,0.05,0.95,-0.9,0.0,1.0,0.9822,0.0053
precision_ctrl,0.45,0.05,0.95,-0.9,1.0,1.0,0.6661,0.0213
precision_ctrl,0.45,0.05,0.95,-0.9,0.0,0.8,0.7828,0.0169
precision_ctrl,0.45,0.05,0.95,-0.9,1.0,0.8,0.635,0.0193
precision_ctrl,0.45,0.05,0.95,-0.9,0.0,0.6,0.6528,0.0222
precision_ctrl,0.45,0.05,0.95,-0.9,1.0,0.6,0.6456,0.0236
precision_ctrl,0.45,0.05,0.5,-0.45,0.0,1.0,0.86,0.0151
precision_ctrl,0.45,0.05,0.5,-0.45,1.0,1.0,0.6789,0.0177
precision_ctrl,0.45,0.05,0.5,-0.45,0.0,0.8,0.7639,0.0175
precision_ctrl,0.45,0.05,0.5,-0.45,1.0,0.8,0.6528,0.0244
precision_ctrl,0.45,0.05,0.5,-0.45,0.0,0.6,0.68,0.0195
precision_ctrl,0.45,0.05,0.5,-0.45,1.0,0.6,0.6278,0.0202
precision_ctrl,0.45,0.95,0.05,0.9,0.0,1.0,0.0967,0.0106
precision_ctrl,0.45,0.95,0.05,0.9,1.0,1.0,0.6811,0.0186
precision_ctrl,0.45,0.95,0.05,0.9,0.0,0.8,0.3839,0.0203
precision_ctrl,0.45,0.95,0.05,0.9,1.0,0.8,0.6417,0.0279
precision_ctrl,0.45,0.95,0.05,0.9,0.0,0.6,0.59,0.0223
precision_ctrl,0.45,0.95,0.05,0.9,1.0,0.6,0.6339,0.0173
