branch,p_C,h_C,h_W,phi,r,q,acc,ci95
primary,0.45,0.05,0.95,-0.9,0.0,1.0,0.985,0.0052
primary,0.45,0.05,0.95,-0.9,0.2,1.0,0.9567,0.0088
primary,0.45,0.05,0.95,-0.9,0.4,1.0,0.9117,0.0153
primary,0.45,0.05,0.95,-0.9,0.6,1.0,0.8539,0.0162
primary,0.45,0.05,0.95,-0.9,0.8,1.0,0.76,0.0207
primary,0.45,0.05,0.95,-0.9,1.0,1.0,0.6883,0.0289
primary,0.45,0.05,0.5,-0.45,0.0,1.0,0.8656,0.0144
primary,0.45,0.05,0.5,-0.45,0.2,1.0,0.8311,0.0167
primary,0.45,0.05,0.5,-0.45,0.4,1.0,0.8033,0.0202
primary,0.45,0.05,0.5,-0.45,0.6,1.0,0.7728,0.0164
primary,0.45,0.05,0.5,-0.45,0.8,1.0,0.7144,0.0212
primary,0.45,0.05,0.5,-0.45,1.0,1.0,0.6667,0.023
primary,0.45,0.5,0.5,0.0,0.0,1.0,0.6667,0.022
primary,0.45,0.5,0.5,0.0,0.2,1.0,0.6556,0.0266
primary,0.45,0.5,0.5,0.0,0.4,1.0,0.645,0.0186
primary,0.45,0.5,0.5,0.0,0.6,1.0,0.6339,0.0212
primary,0.45,0.5,0.5,0.0,0.8,1.0,0.6561,0.0186
primary,0.45,0.5,0.5,0.0,1.0,1.0,0.6739,0.021
primary,0.45,0.5,0.05,0.45,0.0,1.0,0.3911,0.0202
primary,0.45,0.5,0.05,0.45,0.2,1.0,0.4517,0.0182
primary,0.45,0.5,0.05,0.45,0.4,1.0,0.48,0.0229
primary,0.45,0.5,0.05,0.45,0.6,1.0,0.5356,0.0241
primary,0.45,0.5,0.05,0.45,0.8,1.0,0.6011,0.0285
primary,0.45,0.5,0.05,0.45,1.0,1.0,0.6644,0.0188
primary,0.45,0.95,0.05,0.9,0.0,1.0,0.1106,0.0186
primary,0.45,0.95,0.05,0.9,0.2,1.0,0.1756,0.0188
primary,0.45,0.95,0.05,0.9,0.4,1.0,0.2578,0.0169
primary,0.45,0.95,0.05,0.9,0.6,1.0,0.4144,0.0242
primary,0.45,0.95,0.05,0.9,0.8,1.0,0.5267,0.0239
primary,0.45,0.95,0.05,0.9,1.0,1.0,0.6856,0.0197
primary,0.45,0.95,0.5,0.45,0.0,1.0,0.2783,0.0225
primary,0.45,0.95,0.5,0.45,0.2,1.0,0.3339,0.0124
primary,0.45,0.95,0.5,0.45,0.4,1.0,0.4122,0.0214
primary,0.45,0.95,0.5,0.45,0.6,1.0,0.5039,0.021
primary,0.45,0.95,0.5,0.45,0.8,1.0,0.5972,0.0195
primary,0.45,0.95,0.5,0.45,1.0,1.0,0.655,0.0224
primary,0.45,0.05,0.05,0.0,0.0,1.0,0.6683,0.0205
primary,0.45,0.05,0.05,0.0,0.2,1.0,0.6633,0.0249
primary,0.45,0.05,0.05,0.0,0.4,1.0,0.6711,0.0258
primary,0.45,0.05,0.05,0.0,0.6,1.0,0.6544,0.0211
primary,0.45,0.05,0.05,0.0,0.8,1.0,0.6628,0.0214
primary,0.45,0.05,0.05,0.0,1.0,1.0,0.6578,0.0176
primary,0.45,0.95,0.95,0.0,0.0,1.0,0.6561,0.0169
primary,0.45,0.95,0.95,0.0,0.2,1.0,0.6456,0.019
primary,0.45,0.95,0.95,0.0,0.4,1.0,0.6283,0.0217
primary,0.45,0.95,0.95,0.0,0.6,1.0,0.635,0.0197
primary,0.45,0.95,0.95,0.0,0.8,1.0,0.6544,0.0158
primary,0.45,0.95,0.95,0.0,1.0,1.0,0.6611,0.0213
