rho_g,tau,rho,p99_fcfs,p99_fcfs_ci,p99_sjf,p99_sjf_ci,p99_ratio,mean_fcfs,mean_fcfs_ci,mean_sjf,mean_sjf_ci,e_svc
0.95,0.7988,0.7,2412.791,361.84,2091.808,297.655,0.867,397.429,38.354,254.194,13.535,92.584
0.95,0.7988,0.8,2709.268,464.906,2807.391,342.279,1.0362,588.692,89.67,310.8,23.554,92.584
0.95,0.7988,0.9,4535.704,645.122,4646.94,520.376,1.0245,1183.422,178.545,431.317,26.114,92.584
0.95,0.7988,0.95,5836.795,967.388,6642.609,1151.645,1.1381,1968.144,348.653,558.081,51.251,92.584
0.8,0.6129,0.7,2516.568,421.94,2144.066,247.792,0.852,387.67,27.594,263.671,13.422,93.535
0.8,0.6129,0.8,2748.777,247.14,3078.204,315.078,1.1198,571.968,60.158,336.634,23.782,93.535
0.8,0.6129,0.9,3414.745,433.536,4685.48,872.255,1.3721,894.264,155.54,434.252,43.669,93.535
0.8,0.6129,0.95,6483.305,1191.195,9517.76,1969.5,1.468,2309.656,619.826,701.907,101.418,93.535
0.62,0.4349,0.7,1965.774,232.14,2078.461,168.212,1.0573,354.637,17.65,266.002,9.192,92.851
0.62,0.4349,0.8,3217.733,550.254,3632.103,498.282,1.1288,567.638,48.948,366.862,20.706,92.851
0.62,0.4349,0.9,5026.162,911.319,8728.493,1694.348,1.7366,1312.071,285.373,636.581,89.632,92.851
0.62,0.4349,0.95,6371.386,1328.245,14643.628,4246.176,2.2983,2215.012,507.117,916.368,157.985,92.851
0.46,0.3393,0.7,2307.478,411.596,3482.896,617.926,1.5094,445.454,52.586,348.088,35.345,86.792
0.46,0.3393,0.8,3775.581,622.747,6473.247,1022.942,1.7145,817.024,114.62,540.388,47.283,86.792
0.46,0.3393,0.9,7179.559,2028.912,23210.675,9581.698,3.2329,2659.617,1004.986,1288.504,334.077,86.792
0.46,0.3393,0.95,12668.221,2752.207,73866.384,35383.353,5.8308,6283.18,2236.882,2711.102,844.752,86.792
0.31,0.2374,0.7,2286.736,624.062,3178.84,731.693,1.3901,394.439,47.015,332.34,31.102,90.326
0.31,0.2374,0.8,3314.044,863.956,5518.359,986.206,1.6651,631.022,67.268,494.383,45.286,90.326
0.31,0.2374,0.9,4972.804,908.41,13603.759,2950.253,2.7356,1291.089,185.718,900.337,108.954,90.326
0.31,0.2374,0.95,7866.473,1278.742,36888.759,7868.51,4.6894,2893.056,502.959,1829.457,289.102,90.326
0.16,0.1409,0.7,2391.314,466.729,3399.59,508.913,1.4216,381.283,42.605,342.706,27.823,92.238
0.16,0.1409,0.8,2724.91,451.523,5437.351,998.048,1.9954,533.321,51.295,480.86,50.591,92.238
0.16,0.1409,0.9,5076.092,1109.214,15427.304,4125.602,3.0392,1252.903,272.383,1018.93,177.692,92.238
0.16,0.1409,0.95,5842.637,1901.431,31386.422,21589.625,5.372,1938.011,904.622,1549.84,663.688,92.238
0.0,0.0143,0.7,2467.51,552.285,4039.394,691.193,1.637,376.245,29.234,375.51,29.382,92.65
0.0,0.0143,0.8,3357.338,743.558,7638.358,1877.898,2.2751,600.134,70.772,596.69,73.042,92.65
0.0,0.0143,0.9,4349.971,764.647,13753.784,2752.153,3.1618,1037.16,135.831,1009.431,117.559,92.65
0.0,0.0143,0.95,6292.295,1825.136,37641.627,17422.284,5.9822,2153.601,827.835,1990.041,647.151,92.65
-0.16,-0.0648,0.7,2389.847,496.353,4500.908,753.984,1.8833,385.869,27.394,414.305,32.43,91.996
-0.16,-0.0648,0.8,3185.768,543.996,8924.877,1622.438,2.8015,624.453,62.552,703.046,75.854,91.996
-0.16,-0.0648,0.9,4552.925,1148.947,21581.838,7545.703,4.7402,1193.088,289.561,1397.962,347.512,91.996
-0.16,-0.0648,0.95,6174.47,1812.261,42066.335,16915.259,6.8129,1942.838,554.96,2331.293,672.551,91.996
-0.31,-0.2034,0.7,1988.38,203.802,4115.719,570.314,2.0699,365.899,25.907,421.567,32.145,92.374
-0.31,-0.2034,0.8,2389.834,215.779,6976.184,753.8,2.9191,525.83,40.585,641.19,54.732,92.374
-0.31,-0.2034,0.9,4416.215,716.719,21201.252,4867.705,4.8008,1121.579,169.847,1488.173,253.346,92.374
-0.31,-0.2034,0.95,6141.246,1133.549,47084.84,11325.813,7.667,2031.854,495.257,2923.89,762.353,92.374
-0.46,-0.2782,0.7,2157.006,264.519,4999.695,1525.645,2.3179,366.318,39.121,452.041,69.157,93.814
-0.46,-0.2782,0.8,2332.874,284.177,6506.965,1022.735,2.7892,472.0,47.938,616.436,72.659,93.814
-0.46,-0.2782,0.9,4229.264,865.689,24944.545,7361.204,5.8981,1063.382,179.159,1708.739,360.644,93.814
-0.46,-0.2782,0.95,5412.913,864.984,45406.98,16028.392,8.3886,1704.224,316.031,2922.503,647.399,93.814
-0.62,-0.4005,0.7,2391.653,450.26,6636.417,1830.723,2.7748,425.293,61.275,590.456,104.509,88.56
-0.62,-0.4005,0.8,3472.217,433.672,17870.167,5139.651,5.1466,807.446,105.382,1381.99,255.476,88.56
-0.62,-0.4005,0.9,5779.612,828.954,42135.305,8959.98,7.2903,1556.422,260.642,3079.459,644.543,88.56
-0.62,-0.4005,0.95,9823.325,3247.488,146170.429,56468.234,14.8799,4352.091,1739.718,10305.893,4152.694,88.56
-0.75,-0.5199,0.7,2288.561,407.628,5792.383,1250.379,2.531,384.614,33.51,546.025,62.879,92.424
-0.75,-0.5199,0.8,2777.566,360.037,10017.79,1606.36,3.6067,548.885,56.304,888.46,115.432,92.424
-0.75,-0.5199,0.9,4216.966,911.837,26860.181,8572.714,6.3696,1077.003,191.539,2213.37,544.271,92.424
-0.75,-0.5199,0.95,6359.41,1332.105,79634.752,32549.538,12.5223,2348.913,668.968,5940.698,2138.483,92.424
