B,L,Lb_ratio,Bb_ratio,inflation_mean,inflation_ci95,inflation_sd,rho_buf,rho_full,nbatches,n_seeds
64,16,0.50,2.00,3.44741,0.05669,0.06467,0.09950,0.00117,400,5
64,64,2.00,2.00,9.73940,0.15529,0.17717,0.35352,0.00492,400,5
64,640,20.00,2.00,23.16915,0.41296,0.47113,0.90294,0.04995,400,5
64,6400,200.00,2.00,24.76993,0.52009,0.59334,0.99080,0.09073,2200,5
320,16,0.50,10.00,1.56527,0.03394,0.03872,0.02307,0.00117,400,5
320,64,2.00,10.00,3.23469,0.07120,0.08122,0.09346,0.00492,400,5
320,640,20.00,10.00,15.09679,0.20987,0.23943,0.58476,0.04995,400,5
320,6400,200.00,10.00,23.79764,0.53693,0.61256,0.95404,0.09073,2200,5
1600,16,0.50,50.00,1.09185,0.01669,0.01904,0.00486,0.00117,400,5
1600,64,2.00,50.00,1.39251,0.02195,0.02504,0.02067,0.00492,400,5
1600,640,20.00,50.00,4.83498,0.21074,0.24043,0.19071,0.04995,400,5
1600,6400,200.00,50.00,19.08235,0.60361,0.68863,0.77655,0.09073,2200,5
3200,6400,200.00,100.00,14.47925,0.65493,0.74718,0.60273,0.09073,2200,5
6400,6400,200.00,200.00,9.18512,0.60513,0.69036,0.40120,0.09073,2200,5
12800,6400,200.00,400.00,5.08748,0.39191,0.44711,0.24194,0.09073,2200,5
