B,L,C,L_eff,inflation_vsFull,ci,inflation_vsPerShard,rho_buf,nbatches
64,640,1,640.0,22.8263,0.3947,0.9020,0.9028,400
64,640,2,320.0,11.9241,0.4497,0.9741,0.4726,400
64,640,4,160.0,5.7049,0.6588,1.0721,0.2395,400
64,640,8,80.0,3.0409,0.4495,1.2244,0.1180,400
64,640,16,40.0,1.3445,0.0873,1.8375,0.0559,400
320,640,1,640.0,14.7924,0.2673,0.5846,0.5870,400
320,640,2,320.0,9.6535,0.2697,0.7890,0.3875,400
320,640,4,160.0,5.3368,0.6589,1.0017,0.2230,400
320,640,8,80.0,3.0151,0.4116,1.2163,0.1176,400
320,640,16,40.0,1.4259,0.0765,1.9520,0.0595,400
320,6400,1,6400.0,24.2480,0.4195,0.9526,0.9541,2200
320,6400,2,3200.0,11.6591,0.7138,1.0068,0.4875,2200
320,6400,4,1600.0,4.9180,0.5310,1.1317,0.2461,2200
320,6400,8,800.0,2.4363,0.3539,1.4111,0.1231,2200
320,6400,16,400.0,0.9666,0.0071,4.4576,0.0611,2200
1600,6400,1,6400.0,19.5687,0.2982,0.7688,0.7768,2200
1600,6400,2,3200.0,10.4385,0.5676,0.9018,0.4430,2200
1600,6400,4,1600.0,4.7306,0.5051,1.0888,0.2382,2200
1600,6400,8,800.0,2.3993,0.3359,1.3913,0.1220,2200
1600,6400,16,400.0,0.9935,0.0063,4.5822,0.0621,2200
