B,L,C,L_eff,obs_interleave,ref_seq_Leff,rel_err
320,640,1,640.0,14.7924,15.0968,0.0202
320,640,2,320.0,9.6535,10.1784,0.0516
320,640,4,160.0,5.3368,6.2712,0.1490
320,640,8,80.0,3.0151,3.6911,0.1831
320,640,16,40.0,1.4259,2.4137,0.4093
320,6400,1,6400.0,24.2480,23.7976,0.0189
320,6400,2,3200.0,11.6591,22.3700,0.4788
320,6400,4,1600.0,4.9180,20.3426,0.7582
320,6400,8,800.0,2.4363,16.3982,0.8514
320,6400,16,400.0,0.9666,11.5520,0.9163
64,640,1,640.0,22.8263,23.1691,0.0148
64,640,2,320.0,11.9241,20.9920,0.4320
64,640,4,160.0,5.7049,16.7323,0.6590
64,640,8,80.0,3.0409,11.2973,0.7308
64,640,16,40.0,1.3445,6.9417,0.8063
1600,6400,1,6400.0,19.5687,19.0823,0.0255
1600,6400,2,3200.0,10.4385,14.2730,0.2687
1600,6400,4,1600.0,4.7306,9.3804,0.4957
1600,6400,8,800.0,2.3993,5.7917,0.5857
1600,6400,16,400.0,0.9935,3.4096,0.7086
