reachable-recall@full (24 seeds, mean) — FLAT vs TWO-STAGE vs +RERANK vs +STRONGER-STAGE-1
  S    c   m |   FLAT   2STG RERANK STRONG_S1 | FLAT-2STG  STRONG_S1-2STG
  5  0.5   1 |  1.000  0.676  0.676     0.634 | +0.324     -0.042
  5  0.5   2 |  1.000  0.805  0.805     0.775 | +0.195     -0.030
  5  0.5   3 |  1.000  0.892  0.892     0.864 | +0.108     -0.028
  5  0.5   5 |  1.000  1.000  1.000     1.000 | +0.000     +0.000

  5  0.7   1 |  1.000  0.791  0.791     0.725 | +0.209     -0.066
  5  0.7   2 |  1.000  0.866  0.866     0.840 | +0.134     -0.026
  5  0.7   3 |  1.000  0.933  0.933     0.912 | +0.067     -0.021
  5  0.7   5 |  1.000  1.000  1.000     1.000 | +0.000     +0.000

  5  0.9   1 |  1.000  0.925  0.925     0.877 | +0.075     -0.048
  5  0.9   2 |  1.000  0.946  0.946     0.942 | +0.054     -0.004
  5  0.9   3 |  1.000  0.973  0.973     0.966 | +0.027     -0.007
  5  0.9   5 |  1.000  1.000  1.000     1.000 | +0.000     +0.000

  5  1.0   1 |  1.000  1.000  1.000     0.931 | +0.000     -0.069
  5  1.0   2 |  1.000  1.000  1.000     0.995 | +0.000     -0.005
  5  1.0   3 |  1.000  1.000  1.000     1.000 | +0.000     +0.000
  5  1.0   5 |  1.000  1.000  1.000     1.000 | +0.000     +0.000

 10  0.5   1 |  1.000  0.593  0.593     0.577 | +0.407     -0.016
 10  0.5   2 |  1.000  0.670  0.670     0.658 | +0.330     -0.011
 10  0.5   3 |  1.000  0.736  0.736     0.711 | +0.264     -0.024
 10  0.5   5 |  1.000  0.845  0.845     0.820 | +0.155     -0.026
 10  0.5  10 |  1.000  1.000  1.000     1.000 | +0.000     +0.000

 10  0.7   1 |  1.000  0.756  0.756     0.745 | +0.244     -0.011
 10  0.7   2 |  1.000  0.806  0.806     0.795 | +0.194     -0.011
 10  0.7   3 |  1.000  0.840  0.840     0.832 | +0.160     -0.008
 10  0.7   5 |  1.000  0.907  0.907     0.889 | +0.093     -0.018
 10  0.7  10 |  1.000  1.000  1.000     1.000 | +0.000     +0.000

 10  0.9   1 |  1.000  0.942  0.942     0.929 | +0.058     -0.013
 10  0.9   2 |  1.000  0.957  0.957     0.951 | +0.043     -0.006
 10  0.9   3 |  1.000  0.968  0.968     0.959 | +0.032     -0.009
 10  0.9   5 |  1.000  0.985  0.985     0.976 | +0.015     -0.009
 10  0.9  10 |  1.000  1.000  1.000     1.000 | +0.000     +0.000

 10  1.0   1 |  1.000  1.000  1.000     0.993 | +0.000     -0.007
 10  1.0   2 |  1.000  1.000  1.000     0.997 | +0.000     -0.003
 10  1.0   3 |  1.000  1.000  1.000     1.000 | +0.000     +0.000
 10  1.0   5 |  1.000  1.000  1.000     1.000 | +0.000     +0.000
 10  1.0  10 |  1.000  1.000  1.000     1.000 | +0.000     +0.000

 20  0.5   1 |  1.000  0.561  0.561     0.542 | +0.439     -0.019
 20  0.5   2 |  1.000  0.603  0.603     0.584 | +0.397     -0.019
 20  0.5   3 |  1.000  0.642  0.642     0.615 | +0.358     -0.028
 20  0.5   5 |  1.000  0.709  0.709     0.670 | +0.291     -0.039
 20  0.5  20 |  1.000  1.000  1.000     1.000 | +0.000     +0.000

 20  0.7   1 |  1.000  0.734  0.734     0.726 | +0.266     -0.009
 20  0.7   2 |  1.000  0.759  0.759     0.748 | +0.241     -0.011
 20  0.7   3 |  1.000  0.781  0.781     0.764 | +0.219     -0.017
 20  0.7   5 |  1.000  0.828  0.828     0.804 | +0.172     -0.024
 20  0.7  20 |  1.000  1.000  1.000     1.000 | +0.000     +0.000

 20  0.9   1 |  1.000  0.910  0.910     0.905 | +0.090     -0.004
 20  0.9   2 |  1.000  0.919  0.919     0.914 | +0.081     -0.005
 20  0.9   3 |  1.000  0.926  0.926     0.919 | +0.074     -0.007
 20  0.9   5 |  1.000  0.941  0.941     0.931 | +0.059     -0.010
 20  0.9  20 |  1.000  1.000  1.000     1.000 | +0.000     +0.000

 20  1.0   1 |  1.000  1.000  1.000     1.000 | +0.000     +0.000
 20  1.0   2 |  1.000  1.000  1.000     1.000 | +0.000     +0.000
 20  1.0   3 |  1.000  1.000  1.000     1.000 | +0.000     +0.000
 20  1.0   5 |  1.000  1.000  1.000     1.000 | +0.000     +0.000
 20  1.0  20 |  1.000  1.000  1.000     1.000 | +0.000     +0.000

 40  0.5   1 |  1.000  0.533  0.533     0.510 | +0.467     -0.023
 40  0.5   2 |  1.000  0.554  0.554     0.543 | +0.446     -0.012
 40  0.5   3 |  1.000  0.575  0.575     0.560 | +0.425     -0.015
 40  0.5   5 |  1.000  0.612  0.612     0.589 | +0.388     -0.023
 40  0.5  40 |  1.000  1.000  1.000     1.000 | +0.000     +0.000

 40  0.7   1 |  1.000  0.714  0.714     0.707 | +0.286     -0.007
 40  0.7   2 |  1.000  0.727  0.727     0.718 | +0.273     -0.009
 40  0.7   3 |  1.000  0.740  0.740     0.730 | +0.260     -0.010
 40  0.7   5 |  1.000  0.766  0.766     0.748 | +0.234     -0.018
 40  0.7  40 |  1.000  1.000  1.000     1.000 | +0.000     +0.000

 40  0.9   1 |  1.000  0.903  0.903     0.903 | +0.097     -0.001
 40  0.9   2 |  1.000  0.909  0.909     0.906 | +0.091     -0.003
 40  0.9   3 |  1.000  0.915  0.915     0.911 | +0.085     -0.005
 40  0.9   5 |  1.000  0.924  0.924     0.917 | +0.076     -0.007
 40  0.9  40 |  1.000  1.000  1.000     1.000 | +0.000     +0.000

 40  1.0   1 |  1.000  1.000  1.000     1.000 | +0.000     +0.000
 40  1.0   2 |  1.000  1.000  1.000     1.000 | +0.000     +0.000
 40  1.0   3 |  1.000  1.000  1.000     1.000 | +0.000     +0.000
 40  1.0   5 |  1.000  1.000  1.000     1.000 | +0.000     +0.000
