c,q,k,L_lo,L_hi,L_mid,removal_emp,removal_pred_unionbound,n
low,0.002,8,12,16,14.0,0.013517292812529133,0.01391627944067153,10727
low,0.002,8,16,20,18.0,0.019926359107645657,0.02178131473475453,4617
low,0.002,8,20,26,23.0,0.035046728971962614,0.03152445101926493,5564
low,0.002,8,26,34,30.0,0.04233361415332772,0.04500202739033865,4748
low,0.002,8,34,45,39.5,0.058163566578092706,0.0629935253574414,3387
low,0.002,8,45,60,52.5,0.07288790723357261,0.08706548086800636,1811
low,0.002,8,60,80,70.0,0.11096938775510204,0.11849637800442991,784
low,0.002,8,80,110,95.0,0.16666666666666666,0.16152979749688534,276
low,0.002,8,110,150,130.0,0.2777777777777778,0.21827036107698294,72
low,0.002,8,150,200,175.0,0.25,0.2856172877373312,12
low,0.002,8,200,400,300.0,0.0,0.44377744303233924,2
low,0.002,13,12,16,14.0,0.0012163173652694611,0.0039959999999999996,10688
low,0.002,13,16,20,18.0,0.01188490408673895,0.011940159760191915,4796
low,0.002,13,20,26,23.0,0.0170863309352518,0.02178131473475453,5560
low,0.002,13,26,34,30.0,0.03316434305027461,0.035394479312992,4734
low,0.002,13,34,45,39.5,0.051407588739290085,0.053566976807486455,3268
low,0.002,13,45,60,52.5,0.07763300760043432,0.07788110295769324,1842
low,0.002,13,60,80,70.0,0.09801324503311258,0.10962820375529014,755
low,0.002,13,80,110,95.0,0.13261648745519714,0.1530945515455686,279
low,0.002,13,110,150,130.0,0.234375,0.21040594114641886,64
low,0.002,13,150,200,175.0,0.4166666666666667,0.2784303968218106,12
low,0.002,13,200,400,300.0,0.0,0.4381816877417092,2
low,0.002,25,12,16,14.0,0.0,0.0,10646
low,0.002,25,16,20,18.0,0.0,0.0,4755
low,0.002,25,20,26,23.0,0.0003627130939426913,0.0,5514
low,0.002,25,26,34,30.0,0.011167298777918246,0.011940159760191915,4746
low,0.002,25,34,45,39.5,0.027335536197056174,0.03055452033152717,3329
low,0.002,25,45,60,52.5,0.04959568733153639,0.05545984285387151,1855
low,0.002,25,60,80,70.0,0.09079445145018916,0.08797887231143653,793
low,0.002,25,80,110,95.0,0.14285714285714285,0.1325021014786122,287
low,0.002,25,110,150,130.0,0.22807017543859648,0.191207013733942,57
low,0.002,25,150,200,175.0,0.3125,0.26088547955814523,16
low,0.002,25,200,400,300.0,0.5,0.4245211125700723,2
med,0.01,8,12,16,14.0,0.056454613095238096,0.06793465209301008,10752
med,0.01,8,16,20,18.0,0.0972579263067695,0.10466174574128362,4668
med,0.01,8,20,26,23.0,0.13811854268624252,0.14854222890512447,5517
med,0.01,8,26,34,30.0,0.19650746896696822,0.20638571635634462,4753
med,0.01,8,34,45,39.5,0.26265916493929525,0.27865367357259907,3377
med,0.01,8,45,60,52.5,0.3529735682819383,0.3670034336968797,1816
med,0.01,8,60,80,70.0,0.4825,0.46909445704488684,800
med,0.01,8,80,110,95.0,0.592156862745098,0.5870503288661119,255
med,0.01,8,110,150,130.0,0.6041666666666666,0.7095115056900363,48
med,0.01,8,150,200,175.0,1.0,0.8151954360514537,12
med,0.01,8,200,400,300.0,1.0,0.9473847041074855,2
med,0.01,13,12,16,14.0,0.008034379671150971,0.01990000000000003,10704
med,0.01,13,16,20,18.0,0.054541595925297115,0.058519850599,4712
med,0.01,13,20,26,23.0,0.10161870503597123,0.10466174574128362,5560
med,0.01,13,26,34,30.0,0.15879375790805567,0.1654862385499125,4742
med,0.01,13,34,45,39.5,0.23372781065088757,0.24147857645487136,3380
med,0.01,13,45,60,52.5,0.32466814159292035,0.33438150444404535,1808
med,0.01,13,60,80,70.0,0.4610472541507024,0.44173386145213633,783
med,0.01,13,80,110,95.0,0.5260869565217391,0.5657686732081884,230
med,0.01,13,110,150,130.0,0.7164179104477612,0.6945409740716955,67
med,0.01,13,150,200,175.0,0.6923076923076923,0.805671401117205,13
med,0.01,13,200,400,300.0,1.0,0.9446731373287794,1
med,0.01,25,12,16,14.0,0.0,0.0,10714
med,0.01,25,16,20,18.0,0.0,0.0,4758
med,0.01,25,20,26,23.0,0.0021478432074458565,0.0,5587
med,0.01,25,26,34,30.0,0.052887666596149775,0.058519850599,4727
med,0.01,25,34,45,39.5,0.1322884012539185,0.14425274195332805,3190
med,0.01,25,45,60,52.5,0.2374256354786371,0.2490637906903227,1849
med,0.01,25,60,80,70.0,0.325,0.37017636879676774,840
med,0.01,25,80,110,95.0,0.4962686567164179,0.510109726995795,268
med,0.01,25,110,150,130.0,0.660377358490566,0.6553878166524825,53
med,0.01,25,150,200,175.0,0.8333333333333334,0.7807627306335276,12
med,0.01,25,200,400,300.0,1.0,0.937581445220176,2
high,0.05,8,12,16,14.0,0.2541646834840552,0.3016627039062503,10505
high,0.05,8,16,20,18.0,0.42010846891948267,0.43119990772354033,4794
high,0.05,8,20,26,23.0,0.534200213751336,0.5598733313482347,5614
high,0.05,8,26,34,30.0,0.686058591315188,0.6926431322749764,4813
high,0.05,8,34,45,39.5,0.7946537059538274,0.8111933998755334,3292
high,0.05,8,45,60,52.5,0.8953424657534247,0.9030776265551859,1825
high,0.05,8,60,80,70.0,0.9514321295143213,0.9605009060935621,803
high,0.05,8,80,110,95.0,0.9961832061068703,0.989043363202594,262
high,0.05,8,110,150,130.0,1.0,0.9981802846835637,77
high,0.05,8,150,200,175.0,1.0,0.9998190470412902,14
high,0.05,8,200,400,300.0,1.0,0.9999997028222094,1
high,0.05,13,12,16,14.0,0.034460277544938064,0.09750000000000003,10737
high,0.05,13,16,20,18.0,0.2421505376344086,0.2649081093750002,4650
high,0.05,13,20,26,23.0,0.4288800864241988,0.43119990772354033,5554
high,0.05,13,26,34,30.0,0.5732113144758736,0.6027856815417818,4808
high,0.05,13,34,45,39.5,0.7309782608695652,0.7559947641841893,3312
high,0.05,13,45,60,52.5,0.8616557734204793,0.8747418439152048,1836
high,0.05,13,60,80,70.0,0.945910290237467,0.9489531313163967,758
high,0.05,13,80,110,95.0,0.9851301115241635,0.985840130886649,269
high,0.05,13,110,150,130.0,1.0,0.997648281020833,65
high,0.05,13,150,200,175.0,1.0,0.9997661444603502,11
high,0.05,25,12,16,14.0,0.0,0.0,10591
