label,edge_type,arm,T,n_chains,chain_len,innocent_frac,ci95_half,mean_removed
realistic_T0.7,exact,cc,0.7,8,10,0.731,0.009,87
realistic_T0.7,exact,nontrans,0.7,8,10,0.0,0.0,55.4
realistic_T0.7,exact,complete,0.7,8,10,0.0,0.0,55.4
realistic_T0.8,exact,cc,0.8,8,10,0.7242,0.0033,83.4
realistic_T0.8,exact,nontrans,0.8,8,10,0.0,0.0,51.4
realistic_T0.8,exact,complete,0.8,8,10,0.0,0.0,51.4
realistic_T0.9,exact,cc,0.9,8,10,0.0,0.0,8
realistic_T0.9,exact,nontrans,0.9,8,10,0.0,0.0,8
realistic_T0.9,exact,complete,0.9,8,10,0.0,0.0,8
dens_low_T0.8,exact,cc,0.8,3,6,0.3612,0.0168,28.2
dens_low_T0.8,exact,nontrans,0.8,3,6,0.0,0.0,22.2
dens_low_T0.8,exact,complete,0.8,3,6,0.0,0.0,22.2
dens_moderate_T0.8,exact,cc,0.8,8,10,0.7242,0.0033,83.4
dens_moderate_T0.8,exact,nontrans,0.8,8,10,0.0,0.0,51.4
dens_moderate_T0.8,exact,complete,0.8,8,10,0.0,0.0,51.4
dens_high_T0.8,exact,cc,0.8,20,15,0.8777,0.0004,286.2
dens_high_T0.8,exact,nontrans,0.8,20,15,0.0,0.0,155
dens_high_T0.8,exact,complete,0.8,20,15,0.0,0.0,155
dens_extreme_T0.8,exact,cc,0.8,35,25,0.9404,0.0002,839.2
dens_extreme_T0.8,exact,nontrans,0.8,35,25,0.0,0.0,435
dens_extreme_T0.8,exact,complete,0.8,35,25,0.0,0.0,435
realistic_T0.7,minhash,cc,0.7,8,10,0.7251,0.0128,86.6
realistic_T0.7,minhash,nontrans,0.7,8,10,0.0347,0.0104,57.6
realistic_T0.7,minhash,complete,0.7,8,10,0.0347,0.0104,57.6
realistic_T0.8,minhash,cc,0.8,8,10,0.3232,0.0812,62.6
realistic_T0.8,minhash,nontrans,0.8,8,10,0.0,0.0,44.6
realistic_T0.8,minhash,complete,0.8,8,10,0.0,0.0,44.6
realistic_T0.9,minhash,cc,0.9,8,10,0.28,0.1657,11
realistic_T0.9,minhash,nontrans,0.9,8,10,0.2027,0.1264,9.8
realistic_T0.9,minhash,complete,0.9,8,10,0.1967,0.1076,9.2
dens_low_T0.8,minhash,cc,0.8,3,6,0.1226,0.0613,24
dens_low_T0.8,minhash,nontrans,0.8,3,6,0.0,0.0,20.8
dens_low_T0.8,minhash,complete,0.8,3,6,0.0,0.0,20.8
dens_moderate_T0.8,minhash,cc,0.8,8,10,0.3232,0.0812,62.6
dens_moderate_T0.8,minhash,nontrans,0.8,8,10,0.0,0.0,44.6
dens_moderate_T0.8,minhash,complete,0.8,8,10,0.0,0.0,44.6
dens_high_T0.8,minhash,cc,0.8,20,15,0.4718,0.0265,212.6
dens_high_T0.8,minhash,nontrans,0.8,20,15,0.0015,0.0029,131.4
dens_high_T0.8,minhash,complete,0.8,20,15,0.0015,0.0029,131.4
dens_extreme_T0.8,minhash,cc,0.8,35,25,0.4714,0.0329,598.4
dens_extreme_T0.8,minhash,nontrans,0.8,35,25,0.0,0.0,361.6
dens_extreme_T0.8,minhash,complete,0.8,35,25,0.0,0.0,361.4
