temp,sigma,K,misroute_mean,misroute_ci,gad_recovery_mean,gad_recovery_ci,monitor_recall
0.05,0.1,3,1.0,0.0,0.0,0.0,0.0
0.05,0.1,5,1.0,0.0,0.0,0.0,0.0
0.05,0.1,10,1.0,0.0,0.0,0.0,0.0
0.05,0.1,20,1.0,0.0,0.0,0.0,0.0
0.05,0.1,50,1.0,0.0,0.0,0.0,0.0
0.05,0.3,3,1.0,0.0,0.0,0.0,0.0
0.05,0.3,5,1.0,0.0,0.0,0.0,0.0
0.05,0.3,10,1.0,0.0,0.0,0.0,0.0
0.05,0.3,20,1.0,0.0,0.0,0.0,0.0
0.05,0.3,50,1.0,0.0,0.0,0.0,0.0
0.15,0.1,3,1.0,0.0,0.0,0.0,0.0
0.15,0.1,5,1.0,0.0,0.0,0.0,0.0
0.15,0.1,10,1.0,0.0,0.0,0.0,0.0
0.15,0.1,20,1.0,0.0,0.0,0.0,0.0
0.15,0.1,50,1.0,0.0,0.0,0.0,0.0
0.15,0.3,3,1.0,0.0,0.0,0.0,0.0
0.15,0.3,5,1.0,0.0,0.0,0.0,0.0
0.15,0.3,10,1.0,0.0,0.0,0.0,0.0
0.15,0.3,20,1.0,0.0,0.0,0.0,0.0
0.15,0.3,50,1.0,0.0,0.0,0.0,0.0
0.4,0.1,3,1.0,0.0,0.0,0.0,0.0
0.4,0.1,5,1.0,0.0,0.0,0.0,0.0
0.4,0.1,10,1.0,0.0,0.0,0.0,0.0
0.4,0.1,20,1.0,0.0,0.0,0.0,0.0
0.4,0.1,50,1.0,0.0,0.0,0.0,0.0
0.4,0.3,3,1.0,0.0,0.0,0.0,0.0
0.4,0.3,5,1.0,0.0,0.0,0.0,0.0
0.4,0.3,10,1.0,0.0,0.0,0.0,0.0
0.4,0.3,20,1.0,0.0,0.0,0.0,0.0
0.4,0.3,50,1.0,0.0,0.0,0.0,0.0
