temp,sigma,K,stream_misroute_mean,stream_misroute_ci,oos_frac_mean,gad_recovery,monitor_recall
0.05,0.1,3,0.9755,0.0063,0.9755,0.0,0.0
0.05,0.1,5,0.97,0.0044,0.97,0.0,0.0
0.05,0.1,10,0.934,0.0057,0.934,0.0,0.0
0.05,0.1,20,0.8592,0.0099,0.8592,0.0,0.0
0.05,0.1,50,0.6498,0.0216,0.6498,0.0,0.0
0.05,0.3,3,0.9755,0.0063,0.9755,0.0,0.0
0.05,0.3,5,0.97,0.0044,0.97,0.0,0.0
0.05,0.3,10,0.934,0.0057,0.934,0.0,0.0
0.05,0.3,20,0.8592,0.0099,0.8592,0.0,0.0
0.05,0.3,50,0.6498,0.0216,0.6498,0.0,0.0
0.15,0.1,3,0.9755,0.0063,0.9755,0.0,0.0
0.15,0.1,5,0.97,0.0044,0.97,0.0,0.0
0.15,0.1,10,0.934,0.0057,0.934,0.0,0.0
0.15,0.1,20,0.8592,0.0099,0.8592,0.0,0.0
0.15,0.1,50,0.6498,0.0216,0.6498,0.0,0.0
0.15,0.3,3,0.9755,0.0063,0.9755,0.0,0.0
0.15,0.3,5,0.97,0.0044,0.97,0.0,0.0
0.15,0.3,10,0.934,0.0057,0.934,0.0,0.0
0.15,0.3,20,0.8592,0.0099,0.8592,0.0,0.0
0.15,0.3,50,0.6498,0.0216,0.6498,0.0,0.0
0.4,0.1,3,0.9755,0.0063,0.9755,0.0,0.0
0.4,0.1,5,0.97,0.0044,0.97,0.0,0.0
0.4,0.1,10,0.934,0.0057,0.934,0.0,0.0
0.4,0.1,20,0.8592,0.0099,0.8592,0.0,0.0
0.4,0.1,50,0.6498,0.0216,0.6498,0.0,0.0
0.4,0.3,3,0.9755,0.0063,0.9755,0.0,0.0
0.4,0.3,5,0.97,0.0044,0.97,0.0,0.0
0.4,0.3,10,0.934,0.0057,0.934,0.0,0.0
0.4,0.3,20,0.8592,0.0099,0.8592,0.0,0.0
0.4,0.3,50,0.6498,0.0216,0.6498,0.0,0.0
