r,T,k,p99,p999,pmax,spike_vs_k1
0,256,1,0.768,1.792,1.792,1.0
0,256,2,0.768,1.792,1.792,1.0
0,256,4,0.768,1.792,1.792,1.0
0,256,8,0.768,1.792,1.792,1.0
0,1024,1,0.768,2.816,2.816,1.0
0,1024,2,0.768,2.816,2.816,1.0
0,1024,4,0.768,2.816,2.816,1.0
0,1024,8,0.768,2.816,2.816,1.0
0,4096,1,2.816,2.816,2.816,1.0
0,4096,2,2.816,2.816,2.816,1.0
0,4096,4,2.816,2.816,2.816,1.0
0,4096,8,2.816,2.816,2.816,1.0
0,16384,1,2.816,2.816,2.816,1.0
0,16384,2,2.816,2.816,2.816,1.0
0,16384,4,2.816,2.816,2.816,1.0
0,16384,8,2.816,2.816,2.816,1.0
16,256,1,0.768,1.856,1.856,1.0
16,256,2,0.768,1.92,1.92,1.0
16,256,4,0.768,2.048,2.048,1.0
16,256,8,0.768,2.304,2.304,1.0
16,1024,1,0.768,2.88,2.88,1.0
16,1024,2,0.768,2.88,2.88,1.0
16,1024,4,0.768,2.944,2.944,1.0
16,1024,8,0.768,3.072,3.072,1.0
16,4096,1,2.816,2.88,2.88,1.0
16,4096,2,2.816,2.88,2.88,1.0
16,4096,4,2.816,2.88,2.88,1.0
16,4096,8,2.88,2.88,2.88,1.0227
16,16384,1,2.816,2.88,2.88,1.0
16,16384,2,2.816,2.88,2.88,1.0
16,16384,4,2.816,2.88,2.88,1.0
16,16384,8,2.88,2.88,2.88,1.0227
64,256,1,0.768,2.048,2.048,1.0
64,256,2,0.768,2.304,2.304,1.0
64,256,4,0.768,2.816,2.816,1.0
64,256,8,0.768,3.84,3.84,1.0
64,1024,1,0.768,3.072,3.072,1.0
64,1024,2,0.768,3.072,3.072,1.0
64,1024,4,0.768,3.328,3.328,1.0
64,1024,8,0.768,3.84,3.84,1.0
64,4096,1,2.816,3.072,3.072,1.0
64,4096,2,2.816,3.072,3.072,1.0
64,4096,4,2.816,3.072,3.072,1.0
64,4096,8,3.072,3.072,3.072,1.0909
64,16384,1,2.816,3.072,3.072,1.0
64,16384,2,2.816,3.072,3.072,1.0
64,16384,4,2.816,3.072,3.072,1.0
64,16384,8,3.072,3.072,3.072,1.0909
256,256,1,0.768,2.816,2.816,1.0
256,256,2,0.768,3.84,3.84,1.0
256,256,4,0.768,5.888,5.888,1.0
256,256,8,0.768,9.984,9.984,1.0
256,1024,1,0.768,3.84,3.84,1.0
256,1024,2,0.768,3.84,3.84,1.0
256,1024,4,0.768,4.864,4.864,1.0
256,1024,8,0.768,6.912,6.912,1.0
256,4096,1,2.816,3.84,3.84,1.0
256,4096,2,2.816,3.84,3.84,1.0
256,4096,4,2.816,3.84,3.84,1.0
256,4096,8,3.84,3.84,3.84,1.3636
256,16384,1,2.816,3.84,3.84,1.0
256,16384,2,2.816,3.84,3.84,1.0
256,16384,4,2.816,3.84,3.84,1.0
256,16384,8,3.84,3.84,3.84,1.3636
1024,256,1,0.768,5.888,5.888,1.0
1024,256,2,0.768,9.984,9.984,1.0
1024,256,4,0.768,18.176,18.176,1.0
1024,256,8,0.768,34.56,34.56,1.0
1024,1024,1,0.768,6.912,6.912,1.0
1024,1024,2,0.768,6.912,6.912,1.0
1024,1024,4,0.768,11.008,11.008,1.0
1024,1024,8,0.768,19.2,19.2,1.0
1024,4096,1,2.816,6.912,6.912,1.0
1024,4096,2,2.816,6.912,6.912,1.0
1024,4096,4,2.816,6.912,6.912,1.0
1024,4096,8,6.912,6.912,6.912,2.4545
1024,16384,1,2.816,6.912,6.912,1.0
1024,16384,2,2.816,6.912,6.912,1.0
1024,16384,4,2.816,6.912,6.912,1.0
1024,16384,8,6.912,6.912,6.912,2.4545
4096,256,1,0.768,18.176,18.176,1.0
4096,256,2,0.768,34.56,34.56,1.0
4096,256,4,0.768,67.328,67.328,1.0
4096,256,8,0.768,132.864,132.864,1.0
4096,1024,1,0.768,19.2,19.2,1.0
4096,1024,2,0.768,19.2,19.2,1.0
4096,1024,4,0.768,35.584,35.584,1.0
4096,1024,8,0.768,68.352,68.352,1.0
4096,4096,1,2.816,19.2,19.2,1.0
4096,4096,2,2.816,19.2,19.2,1.0
4096,4096,4,2.816,19.2,19.2,1.0
4096,4096,8,19.2,19.2,19.2,6.8182
4096,16384,1,2.816,19.2,19.2,1.0
4096,16384,2,2.816,19.2,19.2,1.0
4096,16384,4,2.816,19.2,19.2,1.0
4096,16384,8,19.2,19.2,19.2,6.8182
