arm,C,seed,recall_multitoken,recall_all
stateless,1,0,0.0,0.1972584419926446
stateless,1,1,0.0,0.20203439737669812
stateless,1,2,0.0,0.19581264259830894
stateless,1,3,0.0,0.19786310517529215
stateless,1,4,0.0,0.1993397160779135
stateless,2,0,0.18433985839233652,0.3452357071213641
stateless,2,1,0.18559208319355922,0.35013049588436057
stateless,2,2,0.19058744993324434,0.3490806603140518
stateless,2,3,0.19264069264069264,0.3523873121869783
stateless,2,4,0.18901533894111827,0.35067679102013866
stateless,4,0,0.5428571428571428,0.633032430625209
stateless,4,1,0.5413451861791345,0.6340092350933547
stateless,4,2,0.5385514018691588,0.628908871292444
stateless,4,3,0.5474525474525475,0.6369949916527546
stateless,4,4,0.5430479960415636,0.6341366787718719
stateless,8,0,0.7791753436068305,0.8227348712805082
stateless,8,1,0.7817007715531701,0.8258047246202235
stateless,8,2,0.7883010680907877,0.8297543953831701
stateless,8,3,0.7833832833832833,0.8262437395659432
stateless,8,4,0.789213260761999,0.8312314295146913
stateless,16,0,0.9000416493127863,0.9197592778335005
stateless,16,1,0.9029688024152969,0.9225724419460617
stateless,16,2,0.9065420560747663,0.9248423030465709
stateless,16,3,0.9076756576756577,0.9259432387312186
stateless,16,4,0.9058222002309088,0.924595576097722
stateless,32,0,0.9670970428987922,0.9735874289535272
stateless,32,1,0.9714022140221402,0.9771799504784849
stateless,32,2,0.9722963951935915,0.9777211112602335
stateless,32,3,0.973026973026973,0.9783639398998331
stateless,32,4,0.9721260102259608,0.9776824034334763
sliding_W16,1,0,1.0,1.0
sliding_W16,1,1,1.0,1.0
sliding_W16,1,2,1.0,1.0
sliding_W16,1,3,1.0,1.0
sliding_W16,1,4,1.0,1.0
sliding_W16,2,0,1.0,1.0
sliding_W16,2,1,1.0,1.0
sliding_W16,2,2,1.0,1.0
sliding_W16,2,3,1.0,1.0
sliding_W16,2,4,1.0,1.0
sliding_W16,4,0,1.0,1.0
sliding_W16,4,1,1.0,1.0
sliding_W16,4,2,1.0,1.0
sliding_W16,4,3,1.0,1.0
sliding_W16,4,4,1.0,1.0
sliding_W16,8,0,1.0,1.0
sliding_W16,8,1,1.0,1.0
sliding_W16,8,2,1.0,1.0
sliding_W16,8,3,1.0,1.0
sliding_W16,8,4,1.0,1.0
sliding_W16,16,0,0.953186172428155,0.9624205951186894
sliding_W16,16,1,0.9544615900704462,0.9636619152780567
sliding_W16,16,2,0.9561915887850467,0.9647698295530801
sliding_W16,16,3,0.9538794538794538,0.9630050083472455
sliding_W16,16,4,0.954890318324262,0.9638824694618686
sliding_W16,32,0,0.5665139525197834,0.5735205616850552
sliding_W16,32,1,0.5738007380073801,0.583082379709563
sliding_W16,32,2,0.5810246995994659,0.5885787142665414
sliding_W16,32,3,0.5696803196803197,0.5763606010016694
sliding_W16,32,4,0.5722414646214745,0.5786728293166061
unbounded,1,0,1.0,1.0
unbounded,1,1,1.0,1.0
unbounded,1,2,1.0,1.0
unbounded,1,3,1.0,1.0
unbounded,1,4,1.0,1.0
unbounded,2,0,1.0,1.0
unbounded,2,1,1.0,1.0
unbounded,2,2,1.0,1.0
unbounded,2,3,1.0,1.0
unbounded,2,4,1.0,1.0
unbounded,4,0,1.0,1.0
unbounded,4,1,1.0,1.0
unbounded,4,2,1.0,1.0
unbounded,4,3,1.0,1.0
unbounded,4,4,1.0,1.0
unbounded,8,0,1.0,1.0
unbounded,8,1,1.0,1.0
unbounded,8,2,1.0,1.0
unbounded,8,3,1.0,1.0
unbounded,8,4,1.0,1.0
unbounded,16,0,1.0,1.0
unbounded,16,1,1.0,1.0
unbounded,16,2,1.0,1.0
unbounded,16,3,1.0,1.0
unbounded,16,4,1.0,1.0
unbounded,32,0,1.0,1.0
unbounded,32,1,1.0,1.0
unbounded,32,2,1.0,1.0
unbounded,32,3,1.0,1.0
unbounded,32,4,1.0,1.0
