C,W,seed,recall_multitoken
8,0,0,0.7791753436068305
8,0,1,0.7817007715531701
8,0,2,0.7883010680907877
8,0,3,0.7833832833832833
8,0,4,0.789213260761999
8,2,0,0.051811745106205745
8,2,1,0.05233143240523314
8,2,2,0.04914886515353805
8,2,3,0.053862803862803864
8,2,4,0.053933696190004946
8,4,0,0.2944606413994169
8,4,1,0.30300234820530025
8,4,2,0.29647863818424564
8,4,3,0.30011655011655014
8,4,4,0.3010885700148441
8,8,0,0.819658475635152
8,8,1,0.8227943643072795
8,8,2,0.8312750333778371
8,8,3,0.824009324009324
8,8,4,0.8297872340425532
8,16,0,1.0
8,16,1,1.0
8,16,2,1.0
8,16,3,1.0
8,16,4,1.0
8,32,0,1.0
8,32,1,1.0
8,32,2,1.0
8,32,3,1.0
8,32,4,1.0
8,64,0,1.0
8,64,1,1.0
8,64,2,1.0
8,64,3,1.0
8,64,4,1.0
16,0,0,0.9000416493127863
16,0,1,0.9029688024152969
16,0,2,0.9065420560747663
16,0,3,0.9076756576756577
16,0,4,0.9058222002309088
16,2,0,0.029654310703873386
16,2,1,0.029771888627977187
16,2,2,0.026785714285714284
16,2,3,0.029886779886779888
16,2,4,0.028863598878443014
16,4,0,0.16601416076634737
16,4,1,0.16487755786648775
16,4,2,0.16305073431241657
16,4,3,0.1670829170829171
16,4,4,0.16518225301006104
16,8,0,0.4611411911703457
16,8,1,0.45940959409594095
16,8,2,0.46370160213618156
16,8,3,0.463036963036963
16,8,4,0.46519874649513443
16,16,0,0.953186172428155
16,16,1,0.9544615900704462
16,16,2,0.9561915887850467
16,16,3,0.9538794538794538
16,16,4,0.954890318324262
16,32,0,1.0
16,32,1,1.0
16,32,2,1.0
16,32,3,1.0
16,32,4,1.0
16,64,0,1.0
16,64,1,1.0
16,64,2,1.0
16,64,3,1.0
16,64,4,1.0
