C_fixed,phrase_len,seed,recall,n
8,1,0,1.0,2950
8,1,1,1.0,3019
8,1,2,1.0,2918
8,1,3,1.0,2963
8,1,4,1.0,3019
8,2,0,0.874302299620451,4479
8,2,1,0.8819945848375451,4432
8,2,2,0.8889873698205185,4513
8,2,3,0.8933304366717358,4603
8,2,4,0.8850726552179656,4542
8,3,0,0.7710602356079129,4499
8,3,1,0.7684751060504577,4479
8,3,2,0.7745560800179816,4449
8,3,3,0.764959202175884,4412
8,3,4,0.7780960775672102,4538
8,4,0,0.6504790221341262,3027
8,4,1,0.6538333886491868,3013
8,4,2,0.6581733951025811,3022
8,4,3,0.6416416416416416,2997
8,4,4,0.6628365068942876,3046
