img,variant,klass,pixel_identical,max_abs_diff,vllm_prod_hit,vllm_prod_sha_hit,vllm_pil_hit,sglang_hit
img_0000.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0000.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0000.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0000.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0000.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0000.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0000.png,Y1_jpeg_q90,lossy,0,7,0,0,0,0
img_0000.png,Y2_jpeg_q95,lossy,0,6,0,0,0,0
img_0000.png,Y3_resize99,lossy,0,3,0,0,0,0
img_0001.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0001.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0001.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0001.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0001.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0001.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0001.png,Y1_jpeg_q90,lossy,0,6,0,0,0,0
img_0001.png,Y2_jpeg_q95,lossy,0,6,0,0,0,0
img_0001.png,Y3_resize99,lossy,0,3,0,0,0,0
img_0002.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0002.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0002.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0002.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0002.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0002.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0002.png,Y1_jpeg_q90,lossy,0,7,0,0,0,0
img_0002.png,Y2_jpeg_q95,lossy,0,6,0,0,0,0
img_0002.png,Y3_resize99,lossy,0,3,0,0,0,0
img_0003.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0003.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0003.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0003.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0003.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0003.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0003.png,Y1_jpeg_q90,lossy,0,7,0,0,0,0
img_0003.png,Y2_jpeg_q95,lossy,0,5,0,0,0,0
img_0003.png,Y3_resize99,lossy,0,4,0,0,0,0
img_0004.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0004.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0004.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0004.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0004.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0004.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0004.png,Y1_jpeg_q90,lossy,0,6,0,0,0,0
img_0004.png,Y2_jpeg_q95,lossy,0,5,0,0,0,0
img_0004.png,Y3_resize99,lossy,0,3,0,0,0,0
img_0005.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0005.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0005.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0005.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0005.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0005.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0005.png,Y1_jpeg_q90,lossy,0,5,0,0,0,0
img_0005.png,Y2_jpeg_q95,lossy,0,4,0,0,0,0
img_0005.png,Y3_resize99,lossy,0,2,0,0,0,0
img_0006.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0006.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0006.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0006.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0006.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0006.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0006.png,Y1_jpeg_q90,lossy,0,9,0,0,0,0
img_0006.png,Y2_jpeg_q95,lossy,0,7,0,0,0,0
img_0006.png,Y3_resize99,lossy,0,4,0,0,0,0
img_0007.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0007.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0007.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0007.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0007.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0007.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0007.png,Y1_jpeg_q90,lossy,0,7,0,0,0,0
img_0007.png,Y2_jpeg_q95,lossy,0,5,0,0,0,0
img_0007.png,Y3_resize99,lossy,0,3,0,0,0,0
img_0008.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0008.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0008.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0008.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0008.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0008.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0008.png,Y1_jpeg_q90,lossy,0,6,0,0,0,0
img_0008.png,Y2_jpeg_q95,lossy,0,5,0,0,0,0
img_0008.png,Y3_resize99,lossy,0,3,0,0,0,0
img_0009.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0009.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0009.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0009.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0009.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0009.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0009.png,Y1_jpeg_q90,lossy,0,7,0,0,0,0
img_0009.png,Y2_jpeg_q95,lossy,0,6,0,0,0,0
img_0009.png,Y3_resize99,lossy,0,4,0,0,0,0
img_0010.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0010.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0010.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0010.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0010.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0010.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0010.png,Y1_jpeg_q90,lossy,0,8,0,0,0,0
img_0010.png,Y2_jpeg_q95,lossy,0,5,0,0,0,0
img_0010.png,Y3_resize99,lossy,0,3,0,0,0,0
img_0011.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0011.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0011.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0011.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0011.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0011.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0011.png,Y1_jpeg_q90,lossy,0,9,0,0,0,0
img_0011.png,Y2_jpeg_q95,lossy,0,7,0,0,0,0
img_0011.png,Y3_resize99,lossy,0,4,0,0,0,0
img_0012.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0012.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0012.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0012.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0012.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0012.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0012.png,Y1_jpeg_q90,lossy,0,7,0,0,0,0
img_0012.png,Y2_jpeg_q95,lossy,0,5,0,0,0,0
img_0012.png,Y3_resize99,lossy,0,4,0,0,0,0
img_0013.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0013.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0013.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0013.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0013.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0013.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0013.png,Y1_jpeg_q90,lossy,0,6,0,0,0,0
img_0013.png,Y2_jpeg_q95,lossy,0,5,0,0,0,0
img_0013.png,Y3_resize99,lossy,0,3,0,0,0,0
img_0014.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0014.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0014.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0014.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0014.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0014.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0014.png,Y1_jpeg_q90,lossy,0,7,0,0,0,0
img_0014.png,Y2_jpeg_q95,lossy,0,6,0,0,0,0
img_0014.png,Y3_resize99,lossy,0,3,0,0,0,0
img_0015.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0015.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0015.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0015.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0015.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0015.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0015.png,Y1_jpeg_q90,lossy,0,7,0,0,0,0
img_0015.png,Y2_jpeg_q95,lossy,0,6,0,0,0,0
img_0015.png,Y3_resize99,lossy,0,4,0,0,0,0
img_0016.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0016.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0016.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0016.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0016.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0016.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0016.png,Y1_jpeg_q90,lossy,0,5,0,0,0,0
img_0016.png,Y2_jpeg_q95,lossy,0,4,0,0,0,0
img_0016.png,Y3_resize99,lossy,0,3,0,0,0,0
img_0017.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0017.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0017.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0017.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0017.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0017.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0017.png,Y1_jpeg_q90,lossy,0,6,0,0,0,0
img_0017.png,Y2_jpeg_q95,lossy,0,5,0,0,0,0
img_0017.png,Y3_resize99,lossy,0,3,0,0,0,0
img_0018.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0018.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0018.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0018.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0018.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0018.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0018.png,Y1_jpeg_q90,lossy,0,6,0,0,0,0
img_0018.png,Y2_jpeg_q95,lossy,0,5,0,0,0,0
img_0018.png,Y3_resize99,lossy,0,3,0,0,0,0
img_0019.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0019.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0019.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0019.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0019.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0019.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0019.png,Y1_jpeg_q90,lossy,0,6,0,0,0,0
img_0019.png,Y2_jpeg_q95,lossy,0,5,0,0,0,0
img_0019.png,Y3_resize99,lossy,0,3,0,0,0,0
img_0020.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0020.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0020.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0020.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0020.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0020.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0020.png,Y1_jpeg_q90,lossy,0,9,0,0,0,0
img_0020.png,Y2_jpeg_q95,lossy,0,6,0,0,0,0
img_0020.png,Y3_resize99,lossy,0,3,0,0,0,0
img_0021.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0021.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0021.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0021.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0021.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0021.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0021.png,Y1_jpeg_q90,lossy,0,6,0,0,0,0
img_0021.png,Y2_jpeg_q95,lossy,0,6,0,0,0,0
img_0021.png,Y3_resize99,lossy,0,3,0,0,0,0
img_0022.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0022.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0022.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0022.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0022.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0022.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0022.png,Y1_jpeg_q90,lossy,0,6,0,0,0,0
img_0022.png,Y2_jpeg_q95,lossy,0,4,0,0,0,0
img_0022.png,Y3_resize99,lossy,0,3,0,0,0,0
img_0023.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0023.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0023.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0023.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0023.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0023.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0023.png,Y1_jpeg_q90,lossy,0,8,0,0,0,0
img_0023.png,Y2_jpeg_q95,lossy,0,7,0,0,0,0
img_0023.png,Y3_resize99,lossy,0,4,0,0,0,0
img_0024.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0024.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0024.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0024.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0024.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0024.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0024.png,Y1_jpeg_q90,lossy,0,6,0,0,0,0
img_0024.png,Y2_jpeg_q95,lossy,0,5,0,0,0,0
img_0024.png,Y3_resize99,lossy,0,3,0,0,0,0
img_0025.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0025.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0025.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0025.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0025.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0025.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0025.png,Y1_jpeg_q90,lossy,0,6,0,0,0,0
img_0025.png,Y2_jpeg_q95,lossy,0,5,0,0,0,0
img_0025.png,Y3_resize99,lossy,0,2,0,0,0,0
img_0026.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0026.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0026.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0026.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0026.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0026.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
