qid,n_gold,first_relevant_rank
1,1,-1
3,1,7
5,1,1
13,1,-1
36,2,5
42,1,1
48,1,1
49,1,1
50,1,1
51,1,3
53,1,2
54,1,1
56,1,1
57,1,1
70,2,3
72,1,7
75,1,1
94,1,6
99,1,1
100,1,1
113,1,1
115,1,1
118,1,1
124,1,1
127,1,-1
128,1,-1
129,1,1
130,1,1
132,1,-1
133,5,3
137,1,1
141,2,1
142,1,1
143,1,1
146,1,1
148,1,6
163,1,1
171,1,2
179,4,1
180,1,1
183,1,2
185,1,2
198,1,-1
208,1,1
212,1,-1
213,1,-1
216,1,1
217,1,1
218,1,1
219,1,1
230,1,6
232,1,1
233,1,1
236,1,1
237,1,2
238,1,1
239,1,-1
248,1,1
249,1,1
261,2,11
268,1,-1
269,1,-1
274,1,1
275,3,5
279,1,1
294,1,-1
295,1,19
298,1,1
300,1,-1
303,1,-1
312,1,-1
314,1,-1
324,1,-1
327,1,5
338,1,1
343,2,1
350,1,1
354,1,1
362,1,1
380,1,4
384,1,2
385,2,2
386,1,1
388,1,9
399,1,1
410,1,1
411,1,1
415,1,6
421,1,-1
431,1,-1
436,1,1
437,1,-1
439,1,3
440,1,4
443,1,1
452,2,7
475,1,-1
478,1,3
491,1,1
501,1,1
502,1,-1
507,1,5
508,1,2
513,1,3
514,1,1
516,1,1
517,1,-1
521,1,1
525,1,1
527,1,3
528,1,1
532,1,3
533,1,4
535,1,5
536,1,1
539,1,1
540,2,1
544,1,-1
549,1,1
551,1,6
552,1,1
554,1,-1
560,1,-1
569,1,6
575,1,1
577,1,2
578,1,2
587,1,17
589,1,1
593,1,1
597,3,1
598,1,10
613,1,1
619,2,-1
623,1,8
628,1,1
636,1,1
637,1,-1
641,2,1
644,1,5
649,1,3
659,1,-1
660,1,16
674,1,3
684,1,2
690,1,-1
691,1,14
692,1,1
693,1,1
700,1,3
702,1,7
715,1,-1
716,1,-1
718,1,1
721,1,1
723,1,1
727,1,6
728,2,1
729,1,1
742,1,1
743,1,3
744,1,3
756,1,3
759,1,1
768,1,-1
770,1,1
775,1,-1
781,1,1
783,1,10
784,1,4
785,1,6
793,1,1
800,1,1
805,1,1
808,1,-1
811,1,1
814,1,1
820,1,-1
821,1,-1
823,1,1
830,1,-1
831,1,-1
832,1,1
834,1,-1
837,1,7
839,1,1
845,1,4
847,1,2
852,1,18
859,1,-1
870,1,2
873,5,13
879,1,1
880,1,1
882,1,1
887,1,-1
903,1,1
904,1,1
907,1,1
911,1,2
913,1,-1
914,1,-1
921,1,1
922,1,1
936,1,3
956,1,1
957,1,-1
960,1,1
967,2,1
971,4,1
975,1,-1
982,1,2
985,1,1
993,1,2
1012,1,1
1014,1,1
1019,1,6
1020,1,4
1021,1,4
1024,1,-1
1029,3,1
1041,2,1
1049,1,-1
1062,1,1
1086,1,1
1088,1,-1
1089,1,1
1099,1,6
1100,1,6
1104,1,1
1107,1,4
1110,1,-1
1121,1,1
1130,1,1
1132,2,-1
1137,1,1
1140,1,1
1144,1,1
1146,1,1
1150,1,1
1163,1,1
1175,1,-1
1179,1,-1
1180,1,3
1185,1,1
1187,1,4
1191,1,-1
1194,1,1
1196,1,-1
1197,1,-1
1199,1,-1
1200,1,-1
1202,1,2
1204,1,1
1207,1,1
1213,1,-1
1216,1,1
1221,1,-1
1225,1,1
1226,1,17
1232,1,1
1241,1,2
1245,1,-1
1259,1,1
1262,1,1
1266,1,2
1270,1,1
1271,1,1
1272,1,-1
1273,1,1
1274,3,1
1278,1,1
1279,1,1
1280,1,-1
1281,1,-1
1282,1,6
1290,1,1
1292,1,7
1298,1,1
1303,1,2
1316,1,-1
1319,1,1
1320,1,1
1332,1,-1
1335,1,1
1336,1,1
1337,1,3
1339,1,1
1344,1,1
1352,1,1
1359,1,1
1362,1,-1
1363,1,-1
1368,1,1
1370,1,1
1379,4,1
1382,1,1
1385,1,11
1389,1,1
1395,1,-1
