band,source,original,parsed,survived,zod_passed
above,real_snowflake,80351110224678912,80351110224678912,1,1
above,real_snowflake,175928847299117063,175928847299117056,0,1
above,real_snowflake,266241948824764416,266241948824764416,1,1
above,real_snowflake,1234567890123456789,1234567890123456768,0,1
above,real_snowflake,1460323737035677698,1460323737035677696,0,1
above,real_snowflake,850006245121695744,850006245121695744,1,1
above,real_snowflake,266031293945503744,266031293945503744,1,1
above,real_snowflake,1538442861141950464,1538442861141950464,1,1
above,real_snowflake,1700000000000000000,1700000000000000000,1,1
above,rand_above,1035855125659351453,1035855125659351424,0,1
above,rand_above,6848603379697392337,6848603379697392640,0,1
above,rand_above,2267735895881306711,2267735895881306624,0,1
above,rand_above,1296017394822829790,1296017394822829824,0,1
above,rand_above,954358310613115049,954358310613115008,0,1
above,rand_above,6840461344273870189,6840461344273869824,0,1
above,rand_above,5039125677272850768,5039125677272850432,0,1
above,rand_above,5455339315108355970,5455339315108356096,0,1
above,rand_above,302150714862539161,302150714862539136,0,1
above,rand_above,873193295518419566,873193295518419584,0,1
above,rand_above,2154925195175438475,2154925195175438592,0,1
above,rand_above,5561649919374063313,5561649919374063616,0,1
above,rand_above,5185579217920397235,5185579217920397312,0,1
above,rand_above,6613122465476838953,6613122465476839424,0,1
above,rand_above,6477588340527780745,6477588340527780864,0,1
above,rand_above,3878394580600703222,3878394580600702976,0,1
above,rand_above,4152229337379032032,4152229337379032064,0,1
above,rand_above,2574863579729239468,2574863579729239552,0,1
above,rand_above,8026887494189897099,8026887494189896704,0,1
above,rand_above,7007769816726103839,7007769816726104064,0,1
above,rand_above,1481604437423827901,1481604437423827968,0,1
above,rand_above,3906937035532354426,3906937035532354560,0,1
above,rand_above,2571917969829046390,2571917969829046272,0,1
above,rand_above,1994926122551050544,1994926122551050496,0,1
above,rand_above,7050997610081675875,7050997610081676288,0,1
above,rand_above,951730626429128569,951730626429128576,0,1
above,rand_above,3513218093872460049,3513218093872460288,0,1
above,rand_above,3320007551264909207,3320007551264909312,0,1
above,rand_above,3181438788395426835,3181438788395426816,0,1
above,rand_above,2448781529167284739,2448781529167284736,0,1
above,rand_above,409766757115360639,409766757115360640,0,1
above,rand_above,4246453766625145808,4246453766625145856,0,1
above,rand_above,1160325326153596549,1160325326153596672,0,1
above,rand_above,8515680521506659660,8515680521506659328,0,1
