band,source,original,parsed,survived
above,real_snowflake,80351110224678912,80351110224678912,1
above,real_snowflake,175928847299117063,175928847299117063,1
above,real_snowflake,266241948824764416,266241948824764416,1
above,real_snowflake,1234567890123456789,1234567890123456789,1
above,real_snowflake,1460323737035677698,1460323737035677698,1
above,real_snowflake,850006245121695744,850006245121695744,1
above,real_snowflake,266031293945503744,266031293945503744,1
above,real_snowflake,1538442861141950464,1538442861141950464,1
above,real_snowflake,1700000000000000000,1700000000000000000,1
above,rand_above,1035855125659351453,1035855125659351453,1
above,rand_above,6848603379697392337,6848603379697392337,1
above,rand_above,2267735895881306711,2267735895881306711,1
above,rand_above,1296017394822829790,1296017394822829790,1
above,rand_above,954358310613115049,954358310613115049,1
above,rand_above,6840461344273870189,6840461344273870189,1
above,rand_above,5039125677272850768,5039125677272850768,1
above,rand_above,5455339315108355970,5455339315108355970,1
above,rand_above,302150714862539161,302150714862539161,1
above,rand_above,873193295518419566,873193295518419566,1
above,rand_above,2154925195175438475,2154925195175438475,1
above,rand_above,5561649919374063313,5561649919374063313,1
above,rand_above,5185579217920397235,5185579217920397235,1
above,rand_above,6613122465476838953,6613122465476838953,1
above,rand_above,6477588340527780745,6477588340527780745,1
above,rand_above,3878394580600703222,3878394580600703222,1
above,rand_above,4152229337379032032,4152229337379032032,1
above,rand_above,2574863579729239468,2574863579729239468,1
above,rand_above,8026887494189897099,8026887494189897099,1
above,rand_above,7007769816726103839,7007769816726103839,1
above,rand_above,1481604437423827901,1481604437423827901,1
above,rand_above,3906937035532354426,3906937035532354426,1
above,rand_above,2571917969829046390,2571917969829046390,1
above,rand_above,1994926122551050544,1994926122551050544,1
above,rand_above,7050997610081675875,7050997610081675875,1
above,rand_above,951730626429128569,951730626429128569,1
above,rand_above,3513218093872460049,3513218093872460049,1
above,rand_above,3320007551264909207,3320007551264909207,1
above,rand_above,3181438788395426835,3181438788395426835,1
above,rand_above,2448781529167284739,2448781529167284739,1
above,rand_above,409766757115360639,409766757115360639,1
above,rand_above,4246453766625145808,4246453766625145808,1
above,rand_above,1160325326153596549,1160325326153596549,1
above,rand_above,8515680521506659660,8515680521506659660,1
above,rand_above,735810723579928851,735810723579928851,1
above,rand_above,2713099507172804849,2713099507172804849,1
above,rand_above,5807185938288467250,5807185938288467250,1
above,rand_above,8175858064664514426,8175858064664514426,1
above,rand_above,3344501585535881921,3344501585535881921,1
above,rand_above,1782556385465948607,1782556385465948607,1
above,rand_above,650540252466696688,650540252466696688,1
above,rand_above,6108084836805322137,6108084836805322137,1
above,rand_above,7139304118829943438,7139304118829943438,1
above,rand_above,9096071844554167373,9096071844554167373,1
above,rand_above,7897920747122540337,7897920747122540337,1
above,rand_above,8000908454310457080,8000908454310457080,1
above,rand_above,3515052822332390096,3515052822332390096,1
above,rand_above,4190979099506329401,4190979099506329401,1
above,rand_above,7702318026065721135,7702318026065721135,1
above,rand_above,1509226443952202817,1509226443952202817,1
above,rand_above,3285801067094486536,3285801067094486536,1
above,rand_above,6190282153547415726,6190282153547415726,1
above,rand_above,6482157054509754501,6482157054509754501,1
above,rand_above,6313621634452854857,6313621634452854857,1
above,rand_above,667579117631546795,667579117631546795,1
above,rand_above,5865648181772026483,5865648181772026483,1
above,rand_above,4935577968334323201,4935577968334323201,1
above,rand_above,2266989453990432212,2266989453990432212,1
above,rand_above,4272605124273422063,4272605124273422063,1
above,rand_above,2498836408511495671,2498836408511495671,1
above,rand_above,8544234293089625830,8544234293089625830,1
above,rand_above,6356180936561198632,6356180936561198632,1
above,rand_above,2034599621951767097,2034599621951767097,1
above,rand_above,2999987513340387631,2999987513340387631,1
above,rand_above,7095449142419596453,7095449142419596453,1
above,rand_above,524943713842490937,524943713842490937,1
above,rand_above,7588798284884534521,7588798284884534521,1
above,rand_above,7434244135000193187,7434244135000193187,1
above,rand_above,3709099316837713916,3709099316837713916,1
above,rand_above,619489316372654750,619489316372654750,1
above,rand_above,8431201329019549868,8431201329019549868,1
above,rand_above,5240319834174162916,5240319834174162916,1
above,rand_above,6630597620867375342,6630597620867375342,1
above,rand_above,1970140906351672023,1970140906351672023,1
above,rand_above,4613602847966811157,4613602847966811157,1
above,rand_above,8168769026911642064,8168769026911642064,1
above,rand_above,5938269173751728741,5938269173751728741,1
above,rand_above,1326765019462324393,1326765019462324393,1
above,rand_above,1296869628182474718,1296869628182474718,1
above,rand_above,6880317758465309432,6880317758465309432,1
above,rand_above,4980195262807265915,4980195262807265915,1
above,rand_above,6898993474633402556,6898993474633402556,1
above,rand_above,3960611735263997305,3960611735263997305,1
above,rand_above,5391148472551848053,5391148472551848053,1
above,rand_above,3347835109532179607,3347835109532179607,1
above,rand_above,9207713832576051128,9207713832576051128,1
above,rand_above,1284892324750335984,1284892324750335984,1
above,rand_above,4560887410886463656,4560887410886463656,1
above,rand_above,6979867235632666328,6979867235632666328,1
above,rand_above,7951279737040523669,7951279737040523669,1
above,rand_above,1418719571985168181,1418719571985168181,1
above,rand_above,1484580668605222340,1484580668605222340,1
above,rand_above,6285338612762785420,6285338612762785420,1
above,rand_above,5509909616232934632,5509909616232934632,1
above,rand_above,3557859245087218192,3557859245087218192,1
above,rand_above,5505107816852081954,5505107816852081954,1
above,rand_above,4326005418313764761,4326005418313764761,1
above,rand_above,2327893124475783593,2327893124475783593,1
above,rand_above,5111615461323741113,5111615461323741113,1
above,rand_above,8701397685747060461,8701397685747060461,1
above,rand_above,6283514145957505936,6283514145957505936,1
above,rand_above,1065560519986985401,1065560519986985401,1
above,rand_above,8169740274864787991,8169740274864787991,1
above,rand_above,6934632517432959796,6934632517432959796,1
above,rand_above,7098079219003860936,7098079219003860936,1
above,rand_above,3146572169985004179,3146572169985004179,1
above,rand_above,2716068066416832233,2716068066416832233,1
above,rand_above,1467755000251598490,1467755000251598490,1
above,rand_above,38939944980790435,38939944980790435,1
above,rand_above,6669130908138555340,6669130908138555340,1
above,rand_above,6646889763258754541,6646889763258754541,1
above,rand_above,8973092701531371234,8973092701531371234,1
above,rand_above,7036868059069835615,7036868059069835615,1
above,rand_above,4691544158605418804,4691544158605418804,1
above,rand_above,990473810893470319,990473810893470319,1
above,rand_above,5776383532529765910,5776383532529765910,1
above,rand_above,7772036734084636840,7772036734084636840,1
above,rand_above,4691370832882184615,4691370832882184615,1
above,rand_above,1843638302383896775,1843638302383896775,1
above,rand_above,3457753745463474557,3457753745463474557,1
above,rand_above,1499034067360016481,1499034067360016481,1
above,rand_above,8803490122144464482,8803490122144464482,1
above,rand_above,8516959879759663247,8516959879759663247,1
above,rand_above,8480614473865183774,8480614473865183774,1
above,rand_above,5533295951867116241,5533295951867116241,1
above,rand_above,4515599432380310587,4515599432380310587,1
above,rand_above,1040804840877092226,1040804840877092226,1
above,rand_above,3356913843742271537,3356913843742271537,1
above,rand_above,9096992821217585840,9096992821217585840,1
above,rand_above,7450191382069119033,7450191382069119033,1
above,rand_above,2217564987171880703,2217564987171880703,1
above,rand_above,2230655466597527322,2230655466597527322,1
above,rand_above,5241951311582543032,5241951311582543032,1
above,rand_above,735412767236507510,735412767236507510,1
above,rand_above,6759663240141955689,6759663240141955689,1
above,rand_above,7535493253603909345,7535493253603909345,1
above,rand_above,9029321978744924488,9029321978744924488,1
above,rand_above,4922354350677217989,4922354350677217989,1
above,rand_above,1168943213378910644,1168943213378910644,1
above,rand_above,6094134482734826333,6094134482734826333,1
above,rand_above,8742144824807529246,8742144824807529246,1
above,rand_above,1532034580809248176,1532034580809248176,1
above,rand_above,4875938800189751363,4875938800189751363,1
above,rand_above,5603848563044369818,5603848563044369818,1
above,rand_above,8903685047166616735,8903685047166616735,1
above,rand_above,8576721963542145057,8576721963542145057,1
above,rand_above,6975099085125537531,6975099085125537531,1
above,rand_above,6371913075735184170,6371913075735184170,1
above,rand_above,6584800811186823903,6584800811186823903,1
above,rand_above,3689061610758644634,3689061610758644634,1
above,rand_above,6204225931456945086,6204225931456945086,1
above,rand_above,3453203427316623502,3453203427316623502,1
above,rand_above,8306482579300111265,8306482579300111265,1
above,rand_above,4173231874761546164,4173231874761546164,1
above,rand_above,2295532949329289623,2295532949329289623,1
above,rand_above,599541898927260623,599541898927260623,1
above,rand_above,203014017383188123,203014017383188123,1
above,rand_above,5118031470805083746,5118031470805083746,1
above,rand_above,5436409320380615827,5436409320380615827,1
above,rand_above,75331025783237302,75331025783237302,1
above,rand_above,6537687579191188054,6537687579191188054,1
above,rand_above,552021841343936182,552021841343936182,1
above,rand_above,630665452470398420,630665452470398420,1
above,rand_above,298740598805469990,298740598805469990,1
above,rand_above,3056672144572354753,3056672144572354753,1
above,rand_above,4751260395583550739,4751260395583550739,1
above,rand_above,2577506619490164525,2577506619490164525,1
above,rand_above,4486165718039142567,4486165718039142567,1
above,rand_above,4982562393886832954,4982562393886832954,1
above,rand_above,6680756985943502959,6680756985943502959,1
above,rand_above,8147554549372935286,8147554549372935286,1
above,rand_above,5323621590866321754,5323621590866321754,1
above,rand_above,2250261135091628025,2250261135091628025,1
above,rand_above,4371412563277959583,4371412563277959583,1
above,rand_above,3763472694385319837,3763472694385319837,1
above,rand_above,879009150078465119,879009150078465119,1
above,rand_above,6087050290527237419,6087050290527237419,1
above,rand_above,3276825504830283475,3276825504830283475,1
above,rand_above,3800756466314356241,3800756466314356241,1
above,rand_above,7976494886248443315,7976494886248443315,1
above,rand_above,508648182518167322,508648182518167322,1
above,rand_above,6036070242380258915,6036070242380258915,1
above,rand_above,5968963445594406992,5968963445594406992,1
above,rand_above,568060445235210734,568060445235210734,1
above,rand_above,6725592047628202042,6725592047628202042,1
above,rand_above,7393169753455233287,7393169753455233287,1
above,rand_above,1016836135253873246,1016836135253873246,1
above,rand_above,1776113701181976836,1776113701181976836,1
above,rand_above,4955370204213381103,4955370204213381103,1
above,rand_above,1301960694225720957,1301960694225720957,1
above,rand_above,1701385647547248481,1701385647547248481,1
above,rand_above,4275998015787809817,4275998015787809817,1
above,rand_above,8074716496702689471,8074716496702689471,1
above,rand_above,704310082855969404,704310082855969404,1
above,rand_above,7461696975016100916,7461696975016100916,1
above,rand_above,7903908295667179495,7903908295667179495,1
above,rand_above,912055832590556835,912055832590556835,1
above,rand_above,6023982161625045848,6023982161625045848,1
above,rand_above,4995050817830582741,4995050817830582741,1
above,rand_above,145124354362304368,145124354362304368,1
above,rand_above,869204468935172995,869204468935172995,1
above,rand_above,6959422176984720105,6959422176984720105,1
above,rand_above,2189223174619799461,2189223174619799461,1
above,rand_above,3757515279934119266,3757515279934119266,1
above,rand_above,4448755023095200279,4448755023095200279,1
above,rand_above,7983999472926991489,7983999472926991489,1
above,rand_above,8332573530506564485,8332573530506564485,1
above,rand_above,1527516612406721232,1527516612406721232,1
above,rand_above,28887002472800739,28887002472800739,1
above,rand_above,3610012315367060296,3610012315367060296,1
above,rand_above,8554628067885340924,8554628067885340924,1
above,rand_above,7250547351892842950,7250547351892842950,1
above,rand_above,2639966972598250938,2639966972598250938,1
above,rand_above,6433929782241146858,6433929782241146858,1
above,rand_above,6746729499629634755,6746729499629634755,1
above,rand_above,7234242011972502909,7234242011972502909,1
above,rand_above,6113692502915994932,6113692502915994932,1
above,rand_above,4497758732631513802,4497758732631513802,1
above,rand_above,1760505884114469847,1760505884114469847,1
above,rand_above,2016943538561157970,2016943538561157970,1
above,rand_above,548420370982327878,548420370982327878,1
above,rand_above,6794984894390151360,6794984894390151360,1
above,rand_above,571241531848871440,571241531848871440,1
above,rand_above,2901501087426761627,2901501087426761627,1
above,rand_above,471488595033743915,471488595033743915,1
above,rand_above,4406605064878991802,4406605064878991802,1
above,rand_above,8488856709261610340,8488856709261610340,1
above,rand_above,4907781192030083530,4907781192030083530,1
above,rand_above,533628659044287205,533628659044287205,1
above,rand_above,4692898360858090274,4692898360858090274,1
above,rand_above,7861256247700500307,7861256247700500307,1
above,rand_above,641004920330402198,641004920330402198,1
above,rand_above,635835516630349953,635835516630349953,1
above,rand_above,7957886340037262028,7957886340037262028,1
above,rand_above,3733179351285781142,3733179351285781142,1
above,rand_above,8693698549959943050,8693698549959943050,1
above,rand_above,5263335485650624153,5263335485650624153,1
above,rand_above,5348593010366478356,5348593010366478356,1
above,rand_above,375559360324200534,375559360324200534,1
above,rand_above,765170665783282021,765170665783282021,1
above,rand_above,6072204462574949091,6072204462574949091,1
above,rand_above,5222305408351964172,5222305408351964172,1
above,rand_above,2927003992377857685,2927003992377857685,1
above,rand_above,2414146218529188053,2414146218529188053,1
above,rand_above,6186139034797626552,6186139034797626552,1
above,rand_above,2906841896302696589,2906841896302696589,1
above,rand_above,2458868674905933277,2458868674905933277,1
above,rand_above,1216146250992335014,1216146250992335014,1
above,rand_above,5962701124236731388,5962701124236731388,1
above,rand_above,4226159558974544834,4226159558974544834,1
above,rand_above,8577688907157667082,8577688907157667082,1
above,rand_above,8639632714078236914,8639632714078236914,1
above,rand_above,94927131264561027,94927131264561027,1
above,rand_above,5738190065928123175,5738190065928123175,1
above,rand_above,5201706991794959810,5201706991794959810,1
above,rand_above,931171496989044045,931171496989044045,1
above,rand_above,4967809335238407904,4967809335238407904,1
above,rand_above,4674969948677818347,4674969948677818347,1
above,rand_above,1230703380656303279,1230703380656303279,1
above,rand_above,3228045523297113662,3228045523297113662,1
above,rand_above,643495029389676673,643495029389676673,1
above,rand_above,2262133242487888579,2262133242487888579,1
above,rand_above,2637551963660178386,2637551963660178386,1
above,rand_above,4050546480298203320,4050546480298203320,1
above,rand_above,5019308543299309362,5019308543299309362,1
above,rand_above,2799235330347839811,2799235330347839811,1
above,rand_above,9083452304309807596,9083452304309807596,1
above,rand_above,7453190240572493401,7453190240572493401,1
above,rand_above,4887624024893095398,4887624024893095398,1
above,rand_above,6168957975063998960,6168957975063998960,1
above,rand_above,5124310413326793882,5124310413326793882,1
above,rand_above,8602939818682619370,8602939818682619370,1
above,rand_above,964424038603806663,964424038603806663,1
above,rand_above,8108298896194516846,8108298896194516846,1
above,rand_above,2448274806909495055,2448274806909495055,1
above,rand_above,8215158542270512044,8215158542270512044,1
above,rand_above,6856592500256585129,6856592500256585129,1
above,rand_above,1442761108596199575,1442761108596199575,1
above,rand_above,2607750130068659417,2607750130068659417,1
above,rand_above,1951722846587068587,1951722846587068587,1
above,rand_above,3171519668241657511,3171519668241657511,1
above,rand_above,6350048988403528715,6350048988403528715,1
above,rand_above,7875739416673479465,7875739416673479465,1
above,rand_above,4670582974810714854,4670582974810714854,1
above,rand_above,2325191907699879008,2325191907699879008,1
above,rand_above,8385295948448014791,8385295948448014791,1
above,rand_above,477544321920942272,477544321920942272,1
above,rand_above,5859248609561730889,5859248609561730889,1
above,rand_above,7658393218524870195,7658393218524870195,1
above,rand_above,415635831942054899,415635831942054899,1
above,rand_above,3085523244403941070,3085523244403941070,1
above,rand_above,1215605559171486157,1215605559171486157,1
above,rand_above,9046048237397073076,9046048237397073076,1
above,rand_above,1499337895491633181,1499337895491633181,1
above,rand_above,4084220486693768991,4084220486693768991,1
above,rand_above,6517640628128116121,6517640628128116121,1
above,rand_above,5182459926630163401,5182459926630163401,1
above,rand_above,1040861633187526310,1040861633187526310,1
above,rand_above,8725563547792387681,8725563547792387681,1
above,rand_above,6382538232777884336,6382538232777884336,1
above,rand_above,1383790350134926570,1383790350134926570,1
above,rand_above,341308129799818811,341308129799818811,1
above,rand_above,3414423601458709739,3414423601458709739,1
above,rand_above,5105151722852931792,5105151722852931792,1
above,rand_above,3973089987773692279,3973089987773692279,1
above,rand_above,394810363811480834,394810363811480834,1
above,rand_above,3372323749942133991,3372323749942133991,1
above,rand_above,8615225025452287625,8615225025452287625,1
above,rand_above,8975935001506786270,8975935001506786270,1
above,rand_above,376972457247441201,376972457247441201,1
above,rand_above,3309214868831202496,3309214868831202496,1
above,rand_above,6299962050488013676,6299962050488013676,1
above,rand_above,6160382219197165127,6160382219197165127,1
above,rand_above,3271116796099342019,3271116796099342019,1
above,rand_above,5173021183460094652,5173021183460094652,1
above,rand_above,8076808054010980060,8076808054010980060,1
above,rand_above,8991068329985202495,8991068329985202495,1
above,rand_above,6921718083709283370,6921718083709283370,1
above,rand_above,8547671341377048253,8547671341377048253,1
above,rand_above,2192523659766967989,2192523659766967989,1
above,rand_above,1507821433447173268,1507821433447173268,1
above,rand_above,7386662829197665129,7386662829197665129,1
above,rand_above,1642027057998117978,1642027057998117978,1
above,rand_above,3811751966810603024,3811751966810603024,1
above,rand_above,1663317314882790970,1663317314882790970,1
above,rand_above,8535897446949027113,8535897446949027113,1
above,rand_above,7225248884477008710,7225248884477008710,1
above,rand_above,3806390877174756137,3806390877174756137,1
above,rand_above,6187809882723272738,6187809882723272738,1
above,rand_above,6788716322125728967,6788716322125728967,1
above,rand_above,2297945980882732138,2297945980882732138,1
above,rand_above,1477348113928511755,1477348113928511755,1
above,rand_above,6477156834344001599,6477156834344001599,1
above,rand_above,3537331822749558695,3537331822749558695,1
above,rand_above,366178628956213904,366178628956213904,1
above,rand_above,4350356374757885047,4350356374757885047,1
above,rand_above,1849741638229912193,1849741638229912193,1
above,rand_above,8480230792781091280,8480230792781091280,1
above,rand_above,3234036919039323860,3234036919039323860,1
above,rand_above,7577119504629562650,7577119504629562650,1
above,rand_above,8045543732551598886,8045543732551598886,1
above,rand_above,2065114057505223354,2065114057505223354,1
above,rand_above,6096738843079139163,6096738843079139163,1
above,rand_above,3684207176218375223,3684207176218375223,1
above,rand_above,2578666845163289004,2578666845163289004,1
above,rand_above,649300618217143305,649300618217143305,1
above,rand_above,7141686514593172304,7141686514593172304,1
above,rand_above,3247758578562677848,3247758578562677848,1
above,rand_above,4707445259099448757,4707445259099448757,1
above,rand_above,6276455570737287838,6276455570737287838,1
above,rand_above,7790407974294167589,7790407974294167589,1
above,rand_above,3063325623050399527,3063325623050399527,1
above,rand_above,263577233546926201,263577233546926201,1
above,rand_above,8098258749472835942,8098258749472835942,1
above,rand_above,2418292154908290210,2418292154908290210,1
above,rand_above,5364002309056929499,5364002309056929499,1
above,rand_above,9080660091743020567,9080660091743020567,1
above,rand_above,361867561517030021,361867561517030021,1
above,rand_above,5511405826872460540,5511405826872460540,1
above,rand_above,3197407999014441484,3197407999014441484,1
above,rand_above,7262526852961529305,7262526852961529305,1
above,rand_above,4034030338849974303,4034030338849974303,1
above,rand_above,9086980607035080917,9086980607035080917,1
above,rand_above,1075651317116739373,1075651317116739373,1
above,rand_above,8305473979017865955,8305473979017865955,1
above,rand_above,1762174463540676141,1762174463540676141,1
above,rand_above,418400686979776140,418400686979776140,1
above,rand_above,4030927939640161232,4030927939640161232,1
above,rand_above,4804425982967469795,4804425982967469795,1
above,rand_above,7447756969239281270,7447756969239281270,1
above,rand_above,6344146162883755372,6344146162883755372,1
above,rand_above,8681403744793694324,8681403744793694324,1
above,rand_above,6806980008602529962,6806980008602529962,1
above,rand_above,1826335532975542083,1826335532975542083,1
above,rand_above,3987023575574748758,3987023575574748758,1
above,rand_above,8760829580071783850,8760829580071783850,1
above,rand_above,8501619355598682900,8501619355598682900,1
above,rand_above,5756601374700207439,5756601374700207439,1
above,rand_above,6127676653400016518,6127676653400016518,1
above,rand_above,1158472852263372691,1158472852263372691,1
above,rand_above,8310474031056933024,8310474031056933024,1
above,rand_above,4686386766693919632,4686386766693919632,1
above,rand_above,6160008553004091286,6160008553004091286,1
above,rand_above,3017513465507770389,3017513465507770389,1
above,rand_above,6439619784891151926,6439619784891151926,1
above,rand_above,5122559791007272736,5122559791007272736,1
above,rand_above,1778419767386173174,1778419767386173174,1
above,rand_above,6141898686438989566,6141898686438989566,1
above,rand_above,3506005168090754151,3506005168090754151,1
above,rand_above,6909330552162399596,6909330552162399596,1
above,rand_above,1614126100435059622,1614126100435059622,1
above,rand_above,5258076726513263279,5258076726513263279,1
above,rand_above,3754389562228149530,3754389562228149530,1
above,rand_above,7698764648921013474,7698764648921013474,1
above,rand_above,2811758936566962827,2811758936566962827,1
above,rand_above,1947600269322956140,1947600269322956140,1
above,rand_above,7256353214147929672,7256353214147929672,1
above,rand_above,5604472530342109670,5604472530342109670,1
above,rand_above,2981231760397486506,2981231760397486506,1
above,rand_above,4083763973433423689,4083763973433423689,1
above,rand_above,6240568580835992169,6240568580835992169,1
above,rand_above,4723755146460603034,4723755146460603034,1
above,rand_above,7329924067084122818,7329924067084122818,1
above,rand_above,8861894824156186948,8861894824156186948,1
above,rand_above,6797053446060525401,6797053446060525401,1
above,rand_above,6085832783575442725,6085832783575442725,1
above,rand_above,2626474790809315592,2626474790809315592,1
above,rand_above,6131978115552160169,6131978115552160169,1
above,rand_above,5720680000408545655,5720680000408545655,1
above,rand_above,870352055704675803,870352055704675803,1
above,rand_above,8789654216911368996,8789654216911368996,1
above,rand_above,2175287650297747140,2175287650297747140,1
above,rand_above,2872121401970284096,2872121401970284096,1
above,rand_above,7448236881579478271,7448236881579478271,1
above,rand_above,1368107634803748328,1368107634803748328,1
above,rand_above,435253532069772815,435253532069772815,1
above,rand_above,9084215174825377842,9084215174825377842,1
above,rand_above,5647014460131543299,5647014460131543299,1
