idx,orientation,o1,o2,ref,M1_nohonor,M1_honor,M2_nohonor,M2_honor
0,1,1,1,444,444,444,444,444
1,1,1,1,987,987,987,987,987
2,1,1,1,511,511,511,511,511
3,1,1,1,404,404,404,404,404
4,1,1,1,717,717,717,717,717
5,1,1,1,373,373,373,373,373
6,1,1,1,351,351,351,351,351
7,1,1,1,436,436,436,436,436
8,1,1,1,648,648,648,648,648
9,1,1,1,788,788,788,788,788
10,1,1,1,791,791,791,791,791
11,1,1,1,824,824,824,824,824
12,1,1,1,783,783,783,783,783
13,1,1,1,817,817,817,817,817
14,1,1,1,482,482,482,482,482
15,1,1,1,917,917,917,917,917
16,1,1,1,895,895,895,895,895
17,1,1,1,465,465,465,465,465
18,1,1,1,310,310,310,310,310
19,1,1,1,814,814,814,814,814
20,1,1,1,629,629,629,629,629
21,1,1,1,52,52,52,52,52
22,1,1,1,905,905,905,905,905
23,1,1,1,336,336,336,336,336
24,1,1,1,998,998,998,998,998
25,1,1,1,738,738,738,738,738
26,1,1,1,421,421,421,421,421
27,1,1,1,444,444,444,444,444
28,1,1,1,745,745,745,745,745
29,1,1,1,923,923,923,923,923
30,1,1,1,449,449,449,449,449
31,1,1,1,718,718,718,718,718
32,1,1,1,873,873,873,873,873
33,1,1,1,616,616,616,616,616
34,1,1,1,48,48,48,48,48
35,1,1,1,651,651,651,651,651
36,1,1,1,310,310,310,310,310
37,1,1,1,310,310,310,310,310
38,1,1,1,468,468,468,468,468
39,1,1,1,410,410,410,410,410
40,1,1,1,354,354,354,354,354
41,1,1,1,972,972,972,972,972
42,1,1,1,800,800,800,800,800
43,1,1,1,681,681,681,681,681
44,1,1,1,960,960,960,960,960
45,1,1,1,433,433,433,433,433
46,1,1,1,961,961,961,961,961
47,1,1,1,208,208,208,208,208
48,1,1,1,857,857,857,857,857
49,1,1,1,803,803,803,803,803
50,1,1,1,436,436,436,436,436
51,1,1,1,324,324,324,324,324
52,1,1,1,208,208,208,208,208
53,1,1,1,436,436,436,436,436
54,1,1,1,592,592,592,592,592
55,1,1,1,927,927,927,927,927
56,1,1,1,643,643,643,643,643
57,1,1,1,926,926,926,926,926
58,1,1,1,964,964,964,964,964
59,1,1,1,656,656,656,656,656
60,1,1,1,309,309,309,309,309
61,1,1,1,751,751,751,751,751
62,1,1,1,232,232,232,232,232
63,1,1,1,872,872,872,872,872
64,1,1,1,549,549,549,549,549
65,1,1,1,977,977,977,977,977
66,1,1,1,621,621,621,621,621
67,1,1,1,155,155,155,155,155
68,1,1,1,309,309,309,309,309
69,1,1,1,584,584,584,584,584
70,1,1,1,479,479,479,479,479
71,1,1,1,468,468,468,468,468
72,1,1,1,843,843,843,843,843
73,1,1,1,965,965,965,965,965
74,1,1,1,324,324,324,324,324
75,1,1,1,895,895,895,895,895
76,1,1,1,589,589,589,589,589
77,1,1,1,464,464,464,464,464
78,1,1,1,964,964,964,964,964
79,1,1,1,680,680,680,680,680
80,1,1,1,895,895,895,895,895
81,1,1,1,829,829,829,829,829
82,1,1,1,949,949,949,949,949
83,1,1,1,341,341,341,341,341
84,1,1,1,817,817,817,817,817
85,1,1,1,923,923,923,923,923
86,1,1,1,725,725,725,725,725
87,1,1,1,634,634,634,634,634
88,1,1,1,334,334,334,334,334
89,1,1,1,926,926,926,926,926
90,1,1,1,980,980,980,980,980
91,1,1,1,309,309,309,309,309
92,1,1,1,817,817,817,817,817
93,1,1,1,595,595,595,595,595
94,1,1,1,973,973,973,973,973
95,1,1,1,543,543,543,543,543
96,1,1,1,627,627,627,627,627
97,1,1,1,650,650,650,650,650
98,1,1,1,285,285,285,285,285
99,1,1,1,738,738,738,738,738
100,1,1,1,627,627,627,627,627
101,1,1,1,564,564,564,564,564
102,1,1,1,656,656,656,656,656
103,1,1,1,717,717,717,717,717
104,1,1,1,282,282,282,282,282
105,1,1,1,985,985,985,985,985
106,1,1,1,324,324,324,324,324
107,1,1,1,436,436,436,436,436
108,1,1,1,839,839,839,839,839
109,1,1,1,344,344,344,344,344
110,1,1,1,689,689,689,689,689
111,1,1,1,655,655,655,655,655
112,1,1,1,932,932,932,932,932
113,1,1,1,819,819,819,819,819
114,1,1,1,436,436,436,436,436
115,1,1,1,468,468,468,468,468
116,1,1,1,777,777,777,777,777
117,1,1,1,281,281,281,281,281
118,1,1,1,881,881,881,881,881
119,1,1,1,923,923,923,923,923
120,1,1,1,13,13,13,13,13
121,1,1,1,521,521,521,521,521
122,1,1,1,964,964,964,964,964
123,1,1,1,336,336,336,336,336
124,1,1,1,539,539,539,539,539
125,1,1,1,945,945,945,945,945
126,1,1,1,717,717,717,717,717
127,1,1,1,492,492,492,492,492
128,1,1,1,838,838,838,838,838
129,1,1,1,962,962,962,962,962
130,1,1,1,745,745,745,745,745
131,1,1,1,468,468,468,468,468
132,1,1,1,865,865,865,865,865
133,1,1,1,738,738,738,738,738
134,1,1,1,870,870,870,870,870
135,1,1,1,777,777,777,777,777
136,1,1,1,415,415,415,415,415
137,1,1,1,461,461,461,461,461
138,1,1,1,762,762,762,762,762
139,1,1,1,962,962,962,962,962
