idx,orientation,o1,o2,ref,M1_nohonor,M1_honor,M2_nohonor,M2_honor
0,6,6,1,444,444,450,444,444
1,6,6,1,987,987,965,987,987
2,6,6,1,511,511,511,511,511
3,6,6,1,404,404,404,404,404
4,6,6,1,717,717,864,717,717
5,6,6,1,373,373,373,373,373
6,6,6,1,351,351,346,351,351
7,6,6,1,436,436,817,436,436
8,6,6,1,648,648,648,648,648
9,6,6,1,788,788,406,788,788
10,6,6,1,791,791,879,791,791
11,6,6,1,824,824,793,824,824
12,6,6,1,783,783,784,783,783
13,6,6,1,817,817,817,817,817
14,6,6,1,482,482,482,482,482
15,6,6,1,917,917,917,917,917
16,6,6,1,895,895,895,895,895
17,6,6,1,465,465,461,465,465
18,6,6,1,310,310,310,310,310
19,6,6,1,814,814,974,814,814
20,6,6,1,629,629,629,629,629
21,6,6,1,52,52,52,52,52
22,6,6,1,905,905,549,905,905
23,6,6,1,336,336,336,336,336
24,6,6,1,998,998,327,998,998
25,6,6,1,738,738,309,738,738
26,6,6,1,421,421,743,421,421
27,6,6,1,444,444,444,444,444
28,6,6,1,745,745,608,745,745
29,6,6,1,923,923,923,923,923
30,6,6,1,449,449,532,449,449
31,6,6,1,718,718,821,718,718
32,6,6,1,873,873,873,873,873
33,6,6,1,616,616,616,616,616
34,6,6,1,48,48,48,48,48
35,6,6,1,651,651,651,651,651
36,6,6,1,310,310,310,310,310
37,6,6,1,310,310,310,310,310
38,6,6,1,468,468,656,468,468
39,6,6,1,410,410,410,410,410
40,6,6,1,354,354,246,354,354
41,6,6,1,972,972,972,972,972
42,6,6,1,800,800,800,800,800
43,6,6,1,681,681,681,681,681
44,6,6,1,960,960,960,960,960
45,6,6,1,433,433,433,433,433
46,6,6,1,961,961,938,961,961
47,6,6,1,208,208,208,208,208
48,6,6,1,857,857,406,857,857
49,6,6,1,803,803,803,803,803
50,6,6,1,436,436,436,436,436
51,6,6,1,324,324,309,324,324
52,6,6,1,208,208,208,208,208
53,6,6,1,436,436,656,436,436
54,6,6,1,592,592,592,592,592
55,6,6,1,927,927,928,927,927
56,6,6,1,643,643,776,643,643
57,6,6,1,926,926,961,926,926
58,6,6,1,964,964,964,964,964
59,6,6,1,656,656,511,656,656
60,6,6,1,309,309,309,309,309
61,6,6,1,751,751,751,751,751
62,6,6,1,232,232,232,232,232
63,6,6,1,872,872,650,872,872
64,6,6,1,549,549,549,549,549
65,6,6,1,977,977,980,977,977
66,6,6,1,621,621,621,621,621
67,6,6,1,155,155,155,155,155
68,6,6,1,309,309,309,309,309
69,6,6,1,584,584,617,584,584
70,6,6,1,479,479,479,479,479
71,6,6,1,468,468,555,468,468
72,6,6,1,843,843,843,843,843
73,6,6,1,965,965,965,965,965
74,6,6,1,324,324,324,324,324
75,6,6,1,895,895,895,895,895
76,6,6,1,589,589,876,589,589
77,6,6,1,464,464,464,464,464
78,6,6,1,964,964,964,964,964
79,6,6,1,680,680,112,680,680
80,6,6,1,895,895,895,895,895
81,6,6,1,829,829,656,829,829
82,6,6,1,949,949,949,949,949
83,6,6,1,341,341,467,341,341
84,6,6,1,817,817,436,817,817
85,6,6,1,923,923,923,923,923
86,6,6,1,725,725,533,725,725
87,6,6,1,634,634,634,634,634
88,6,6,1,334,334,334,334,334
89,6,6,1,926,926,926,926,926
90,6,6,1,980,980,980,980,980
91,6,6,1,309,309,309,309,309
92,6,6,1,817,817,751,817,817
93,6,6,1,595,595,595,595,595
94,6,6,1,973,973,973,973,973
95,6,6,1,543,543,543,543,543
96,6,6,1,627,627,436,627,627
97,6,6,1,650,650,764,650,650
98,6,6,1,285,285,285,285,285
99,6,6,1,738,738,738,738,738
100,6,6,1,627,627,627,627,627
101,6,6,1,564,564,564,564,564
102,6,6,1,656,656,817,656,656
103,6,6,1,717,717,717,717,717
104,6,6,1,282,282,282,282,282
105,6,6,1,985,985,985,985,985
106,6,6,1,324,324,324,324,324
107,6,6,1,436,436,817,436,436
108,6,6,1,839,839,839,839,839
109,6,6,1,344,344,348,344,344
110,6,6,1,689,689,793,689,689
111,6,6,1,655,655,655,655,655
112,6,6,1,932,932,932,932,932
113,6,6,1,819,819,917,819,819
114,6,6,1,436,436,511,436,436
115,6,6,1,468,468,581,468,468
116,6,6,1,777,777,777,777,777
117,6,6,1,281,281,281,281,281
118,6,6,1,881,881,881,881,881
119,6,6,1,923,923,923,923,923
120,6,6,1,13,13,13,13,13
121,6,6,1,521,521,521,521,521
122,6,6,1,964,964,964,964,964
123,6,6,1,336,336,337,336,336
124,6,6,1,539,539,525,539,539
125,6,6,1,945,945,945,945,945
126,6,6,1,717,717,717,717,717
127,6,6,1,492,492,448,492,492
128,6,6,1,838,838,397,838,838
129,6,6,1,962,962,923,962,962
130,6,6,1,745,745,526,745,745
131,6,6,1,468,468,468,468,468
132,6,6,1,865,865,889,865,865
133,6,6,1,738,738,738,738,738
134,6,6,1,870,870,870,870,870
135,6,6,1,777,777,596,777,777
136,6,6,1,415,415,617,415,415
137,6,6,1,461,461,777,461,461
138,6,6,1,762,762,860,762,762
139,6,6,1,962,962,962,962,962
