step,b_count,b_fraction
0,20,0.078125
1,23,0.08984375
2,32,0.125
3,17,0.06640625
4,27,0.10546875
5,22,0.0859375
6,27,0.10546875
7,31,0.12109375
8,20,0.078125
9,22,0.0859375
10,23,0.08984375
11,23,0.08984375
12,23,0.08984375
13,26,0.1015625
14,31,0.12109375
15,25,0.09765625
16,23,0.08984375
17,27,0.10546875
18,32,0.125
19,17,0.06640625
20,30,0.1171875
21,23,0.08984375
22,19,0.07421875
23,26,0.1015625
24,24,0.09375
25,25,0.09765625
26,34,0.1328125
27,30,0.1171875
28,22,0.0859375
29,16,0.0625
30,29,0.11328125
31,28,0.109375
32,30,0.1171875
33,24,0.09375
34,24,0.09375
35,26,0.1015625
36,18,0.0703125
37,23,0.08984375
38,23,0.08984375
39,25,0.09765625
40,22,0.0859375
41,23,0.08984375
42,17,0.06640625
43,22,0.0859375
44,18,0.0703125
45,23,0.08984375
46,26,0.1015625
47,27,0.10546875
48,20,0.078125
49,34,0.1328125
50,25,0.09765625
51,23,0.08984375
52,22,0.0859375
53,22,0.0859375
54,28,0.109375
55,24,0.09375
56,17,0.06640625
57,21,0.08203125
58,27,0.10546875
59,30,0.1171875
60,30,0.1171875
61,22,0.0859375
62,27,0.10546875
63,18,0.0703125
64,29,0.11328125
65,18,0.0703125
66,21,0.08203125
67,24,0.09375
68,27,0.10546875
69,19,0.07421875
70,22,0.0859375
71,23,0.08984375
72,28,0.109375
73,32,0.125
74,27,0.10546875
75,22,0.0859375
76,25,0.09765625
77,22,0.0859375
78,35,0.13671875
79,17,0.06640625
80,26,0.1015625
81,27,0.10546875
82,28,0.109375
83,29,0.11328125
84,36,0.140625
85,18,0.0703125
86,30,0.1171875
87,18,0.0703125
88,25,0.09765625
89,29,0.11328125
90,27,0.10546875
91,26,0.1015625
92,26,0.1015625
93,24,0.09375
94,21,0.08203125
95,17,0.06640625
96,26,0.1015625
97,22,0.0859375
98,29,0.11328125
99,25,0.09765625
100,30,0.1171875
101,24,0.09375
102,24,0.09375
103,29,0.11328125
104,33,0.12890625
105,27,0.10546875
106,24,0.09375
107,17,0.06640625
108,20,0.078125
109,23,0.08984375
110,24,0.09375
111,33,0.12890625
112,25,0.09765625
113,31,0.12109375
114,21,0.08203125
115,24,0.09375
116,20,0.078125
117,36,0.140625
118,30,0.1171875
119,30,0.1171875
120,32,0.125
121,24,0.09375
122,19,0.07421875
123,19,0.07421875
124,39,0.15234375
125,31,0.12109375
126,26,0.1015625
127,25,0.09765625
128,24,0.09375
129,27,0.10546875
130,21,0.08203125
131,34,0.1328125
132,24,0.09375
133,31,0.12109375
134,23,0.08984375
135,31,0.12109375
136,24,0.09375
137,19,0.07421875
138,21,0.08203125
139,24,0.09375
140,26,0.1015625
141,20,0.078125
