seed,frac_missing,model,encoder,n_overlap,r2_ctrl,r2_seam,dR2,code_diff_frac
0,0.0,hgb,astype,50,0.7721231527220318,0.7721231527220318,0.0,0.0
1,0.0,hgb,astype,50,0.7596171572064889,0.7596171572064889,0.0,0.0
2,0.0,hgb,astype,50,0.793820339553095,0.793820339553095,0.0,0.0
3,0.0,hgb,astype,50,0.8283723204632294,0.8283723204632294,0.0,0.0
4,0.0,hgb,astype,50,0.8064150610668976,0.8064150610668976,0.0,0.0
5,0.0,hgb,astype,50,0.744490925084352,0.744490925084352,0.0,0.0
6,0.0,hgb,astype,50,0.7957140164608794,0.7957140164608794,0.0,0.0
7,0.0,hgb,astype,50,0.7563045929403007,0.7563045929403007,0.0,0.0
8,0.0,hgb,astype,50,0.8308210710080447,0.8308210710080447,0.0,0.0
9,0.0,hgb,astype,50,0.8083646992457909,0.8083646992457909,0.0,0.0
10,0.0,hgb,astype,50,0.7149477927732873,0.7149477927732873,0.0,0.0
11,0.0,hgb,astype,50,0.7433938023686006,0.7433938023686006,0.0,0.0
0,0.1,hgb,astype,41,0.7741474506086201,0.12078444268302047,0.6533630079255996,0.5365853658536586
1,0.1,hgb,astype,40,0.7229194008087303,-0.20414593681113424,0.9270653376198645,0.675
2,0.1,hgb,astype,40,0.7777143526810818,-0.687200645426784,1.464914998107866,0.725
3,0.1,hgb,astype,40,0.7804298746811758,-0.6314963095870949,1.4119261842682707,0.85
4,0.1,hgb,astype,40,0.8223359314264196,-0.08736548779006825,0.9097014192164878,0.55
5,0.1,hgb,astype,41,0.7488130835337246,-0.6268035594215493,1.3756166429552739,0.8536585365853658
6,0.1,hgb,astype,40,0.8123651875597317,-0.31634029128987984,1.1287054788496116,0.8
7,0.1,hgb,astype,40,0.7599305777126735,-0.5583616837779297,1.3182922614906032,0.775
8,0.1,hgb,astype,40,0.8387226596498369,0.17023684805467942,0.6684858115951575,0.425
9,0.1,hgb,astype,41,0.757464793929439,-0.059472879636943254,0.8169376735663822,0.5365853658536586
10,0.1,hgb,astype,40,0.6958668940638174,0.6077325554864819,0.08813433857733555,0.125
11,0.1,hgb,astype,41,0.7499833648348729,-0.08304304323457701,0.8330264080694499,0.43902439024390244
0,0.2,hgb,astype,32,0.7881255461034097,-0.5106266277130485,1.298752173816458,0.9375
1,0.2,hgb,astype,32,0.722356018808078,-0.41553655355742447,1.1378925723655025,0.71875
2,0.2,hgb,astype,32,0.7981847616557302,-0.47582684401725106,1.2740116056729813,0.78125
3,0.2,hgb,astype,30,0.794170854477716,-0.07839127370177956,0.8725621281794955,0.6666666666666666
4,0.2,hgb,astype,32,0.7880992604758461,-0.31746883912088664,1.1055680995967327,0.625
5,0.2,hgb,astype,33,0.7569060360520792,-0.38508585067732515,1.1419918867294043,0.696969696969697
6,0.2,hgb,astype,31,0.8157514513438132,-0.3784668828225499,1.1942183341663632,0.8064516129032258
7,0.2,hgb,astype,33,0.7718825450817328,-0.00873016056796927,0.7806127056497021,0.696969696969697
8,0.2,hgb,astype,32,0.8375159891012203,0.23930453260846674,0.5982114564927535,0.53125
9,0.2,hgb,astype,33,0.7777963469805269,-1.023705754601873,1.8015021015824,0.8787878787878788
10,0.2,hgb,astype,32,0.700160917745944,0.002998984557681439,0.6971619331882626,0.65625
