file,n_rows,n_cols,created_by,size_MB
hf_compas.parquet,4966,12,parquet-cpp-arrow version 11.0.0,0.04
hf_creditcard.parquet,13272,22,parquet-cpp-arrow version 11.0.0,0.87
hf_diabetes.parquet,81410,151,parquet-cpp-arrow version 11.0.0,5.58
hf_electricity.parquet,38474,8,parquet-cpp-arrow version 11.0.0,1.33
hf_heart_failure.parquet,299,13,parquet-cpp-arrow version 15.0.2,0.01
hf_housesales.parquet,21613,16,parquet-cpp-arrow version 11.0.0,0.97
hf_iris.parquet,150,6,parquet-cpp-arrow version 11.0.0,0.01
native_tabular_hamel.parquet,500000,13,parquet-cpp-arrow version 9.0.0,64.99
native_titanic_lewtun.parquet,891,12,parquet-cpp-arrow version 9.0.0,0.04
nyc_fhvhv_2023-01.parquet,18479031,24,parquet-cpp-arrow version 8.0.0,473.82
nyc_green_2023-01.parquet,68211,20,parquet-cpp-arrow version 8.0.0,1.43
nyc_yellow_2019-01.parquet,7696617,19,parquet-cpp-arrow version 7.0.0,110.44
yellow_2023-01.parquet,3066766,19,parquet-cpp-arrow version 8.0.0,47.67
