g,pandas,duckdb
0,fatal,warn
1,fatal,warn
2,fatal,warn
3,fatal,warn
4,fatal,warn
5,fatal,warn
6,fatal,warn
7,fatal,warn
8,fatal,warn
9,fatal,warn
10,fatal,warn
11,fatal,warn
12,fatal,warn
13,fatal,warn
14,fatal,warn
15,fatal,warn
16,fatal,warn
17,fatal,warn
18,fatal,warn
19,fatal,warn
20,fatal,warn
21,fatal,warn
22,fatal,warn
23,fatal,warn
24,fatal,warn
25,fatal,warn
26,fatal,warn
27,fatal,warn
28,fatal,warn
29,fatal,warn
30,fatal,warn
31,fatal,warn
32,fatal,warn
33,fatal,warn
34,fatal,warn
35,fatal,warn
36,fatal,warn
37,fatal,warn
38,fatal,warn
39,fatal,warn
40,fatal,warn
41,fatal,warn
42,fatal,warn
43,fatal,warn
44,fatal,warn
45,fatal,warn
46,fatal,warn
47,fatal,warn
48,fatal,warn
49,fatal,warn
50,fatal,warn
51,fatal,warn
52,fatal,warn
53,fatal,warn
54,fatal,warn
55,fatal,warn
56,fatal,warn
57,fatal,warn
58,fatal,warn
59,fatal,warn
60,fatal,warn
61,fatal,warn
62,fatal,warn
63,fatal,warn
64,fatal,warn
65,fatal,warn
66,fatal,warn
67,fatal,warn
68,fatal,warn
69,fatal,warn
70,fatal,warn
71,fatal,warn
72,fatal,warn
73,fatal,warn
74,fatal,warn
75,fatal,warn
76,fatal,warn
77,fatal,warn
78,fatal,warn
79,fatal,warn
80,fatal,warn
81,fatal,warn
82,fatal,warn
83,fatal,warn
84,fatal,warn
85,fatal,warn
86,fatal,warn
87,fatal,warn
88,fatal,warn
89,fatal,warn
90,fatal,warn
91,fatal,warn
92,fatal,warn
93,fatal,warn
94,fatal,warn
95,fatal,warn
96,fatal,warn
97,fatal,warn
98,fatal,warn
99,fatal,warn
100,fatal,warn
101,fatal,warn
102,fatal,warn
103,fatal,warn
104,fatal,warn
105,fatal,warn
106,fatal,warn
107,fatal,warn
108,fatal,warn
109,fatal,warn
110,fatal,warn
111,fatal,warn
112,fatal,warn
113,fatal,warn
114,fatal,warn
115,fatal,warn
116,fatal,warn
117,fatal,warn
118,fatal,warn
119,fatal,warn
120,fatal,warn
121,fatal,warn
122,fatal,warn
123,fatal,warn
124,fatal,warn
125,fatal,warn
126,fatal,warn
127,fatal,warn
128,fatal,warn
129,fatal,warn
130,fatal,warn
131,fatal,warn
132,fatal,warn
133,fatal,warn
134,fatal,warn
135,fatal,warn
136,fatal,warn
137,fatal,warn
138,fatal,warn
139,fatal,warn
140,fatal,warn
141,fatal,warn
142,fatal,warn
143,fatal,warn
144,fatal,warn
145,fatal,warn
146,fatal,warn
147,fatal,warn
148,fatal,warn
149,fatal,warn
150,fatal,warn
151,fatal,warn
152,fatal,warn
153,fatal,warn
154,fatal,warn
155,fatal,warn
156,fatal,warn
157,fatal,warn
158,fatal,warn
159,fatal,warn
160,fatal,warn
161,fatal,warn
162,fatal,warn
163,fatal,warn
164,fatal,warn
165,fatal,warn
166,fatal,warn
167,fatal,warn
168,fatal,warn
169,fatal,warn
170,fatal,warn
171,fatal,warn
172,fatal,warn
173,fatal,warn
174,fatal,warn
175,fatal,warn
176,fatal,warn
177,fatal,warn
178,fatal,warn
179,fatal,warn
180,fatal,warn
181,fatal,warn
182,fatal,warn
183,fatal,warn
184,fatal,warn
185,fatal,warn
186,fatal,warn
187,fatal,warn
188,fatal,warn
189,fatal,warn
190,fatal,warn
191,fatal,warn
192,fatal,warn
193,fatal,warn
194,fatal,warn
195,fatal,warn
196,fatal,warn
197,fatal,warn
198,fatal,warn
199,fatal,warn
200,fatal,warn
201,fatal,warn
202,fatal,warn
203,fatal,warn
204,fatal,warn
205,fatal,warn
206,fatal,warn
207,fatal,warn
208,fatal,warn
209,fatal,warn
210,fatal,warn
211,fatal,warn
212,fatal,warn
213,fatal,warn
214,fatal,warn
215,fatal,warn
216,fatal,warn
217,fatal,warn
218,fatal,warn
219,fatal,warn
220,fatal,warn
221,fatal,warn
222,fatal,warn
223,fatal,warn
224,fatal,warn
225,fatal,warn
226,fatal,warn
227,fatal,warn
228,fatal,warn
229,fatal,warn
230,fatal,warn
231,fatal,warn
232,fatal,warn
233,fatal,warn
234,fatal,warn
235,fatal,warn
236,fatal,warn
237,fatal,warn
238,fatal,warn
239,fatal,warn
240,fatal,warn
241,fatal,warn
242,fatal,warn
243,fatal,warn
244,fatal,warn
245,fatal,warn
246,fatal,warn
247,fatal,warn
248,fatal,warn
249,fatal,warn
250,fatal,warn
251,fatal,warn
252,fatal,warn
253,fatal,warn
254,fatal,warn
255,fatal,warn
256,fatal,warn
257,fatal,warn
258,fatal,warn
259,fatal,warn
260,fatal,warn
261,fatal,warn
262,fatal,warn
263,fatal,warn
264,fatal,warn
265,fatal,warn
266,fatal,warn
267,fatal,warn
268,fatal,warn
269,fatal,warn
270,fatal,warn
271,fatal,warn
272,fatal,warn
273,fatal,warn
274,fatal,warn
275,fatal,warn
276,fatal,warn
277,fatal,warn
278,fatal,warn
279,fatal,warn
280,fatal,warn
281,fatal,warn
282,fatal,warn
283,fatal,warn
284,fatal,warn
285,fatal,warn
286,fatal,warn
287,fatal,warn
288,fatal,warn
289,fatal,warn
290,fatal,warn
291,fatal,warn
292,fatal,warn
293,fatal,warn
294,fatal,warn
295,fatal,warn
296,fatal,warn
297,fatal,warn
298,fatal,warn
299,fatal,warn
300,fatal,warn
301,fatal,warn
302,fatal,warn
303,fatal,warn
304,fatal,warn
305,fatal,warn
306,fatal,warn
307,fatal,warn
308,fatal,warn
309,fatal,warn
310,fatal,warn
311,fatal,warn
312,fatal,warn
313,fatal,warn
314,fatal,warn
315,fatal,warn
316,fatal,warn
317,fatal,warn
318,fatal,warn
319,fatal,warn
320,fatal,warn
321,fatal,warn
322,fatal,warn
323,fatal,warn
324,fatal,warn
325,fatal,warn
326,fatal,warn
327,fatal,warn
328,fatal,warn
329,fatal,warn
330,fatal,warn
331,fatal,warn
332,fatal,warn
333,fatal,warn
334,fatal,warn
335,fatal,warn
336,fatal,warn
337,fatal,warn
338,fatal,warn
339,fatal,warn
340,fatal,warn
341,fatal,warn
342,fatal,warn
343,fatal,warn
344,fatal,warn
345,fatal,warn
346,fatal,warn
347,fatal,warn
348,fatal,warn
349,fatal,warn
350,fatal,warn
351,fatal,warn
352,fatal,warn
353,fatal,warn
354,fatal,warn
355,fatal,warn
356,fatal,warn
357,fatal,warn
358,fatal,warn
359,fatal,warn
360,fatal,warn
361,fatal,warn
362,fatal,warn
363,fatal,warn
364,fatal,warn
365,fatal,warn
366,fatal,warn
367,fatal,warn
368,fatal,warn
369,fatal,warn
370,fatal,warn
371,fatal,warn
372,fatal,warn
373,fatal,warn
374,fatal,warn
375,fatal,warn
376,fatal,warn
377,fatal,warn
378,fatal,warn
379,fatal,warn
380,fatal,warn
381,fatal,warn
382,fatal,warn
383,fatal,warn
384,fatal,warn
385,fatal,warn
386,fatal,warn
387,fatal,warn
388,fatal,warn
389,fatal,warn
390,fatal,warn
391,fatal,warn
392,fatal,warn
393,fatal,warn
394,fatal,warn
395,fatal,warn
396,fatal,warn
397,fatal,warn
398,fatal,warn
399,fatal,warn
400,fatal,warn
401,fatal,warn
402,fatal,warn
403,fatal,warn
404,fatal,warn
405,fatal,warn
406,fatal,warn
407,fatal,warn
408,fatal,warn
409,fatal,warn
410,fatal,warn
411,fatal,warn
412,fatal,warn
413,fatal,warn
414,fatal,warn
415,fatal,warn
416,fatal,warn
417,fatal,warn
418,fatal,warn
419,fatal,warn
420,fatal,warn
421,fatal,warn
422,fatal,warn
423,fatal,warn
424,fatal,warn
425,fatal,warn
426,fatal,warn
427,fatal,warn
428,fatal,warn
429,fatal,warn
430,fatal,warn
431,fatal,warn
432,fatal,warn
433,fatal,warn
434,fatal,warn
435,fatal,warn
436,fatal,warn
437,fatal,warn
438,fatal,warn
439,fatal,warn
440,fatal,warn
441,fatal,warn
442,fatal,warn
443,fatal,warn
444,fatal,warn
445,fatal,warn
446,fatal,warn
447,fatal,warn
448,fatal,warn
449,fatal,warn
450,fatal,warn
451,fatal,warn
452,fatal,warn
453,fatal,warn
454,fatal,warn
455,fatal,warn
456,fatal,warn
457,fatal,warn
458,fatal,warn
459,fatal,warn
460,fatal,warn
461,fatal,warn
462,fatal,warn
463,fatal,warn
464,fatal,warn
465,fatal,warn
466,fatal,warn
467,fatal,warn
468,fatal,warn
469,fatal,warn
470,fatal,warn
471,fatal,warn
472,fatal,warn
473,fatal,warn
474,fatal,warn
475,fatal,warn
476,fatal,warn
477,fatal,warn
478,fatal,warn
479,fatal,warn
480,fatal,warn
481,fatal,warn
482,fatal,warn
483,fatal,warn
484,fatal,warn
485,fatal,warn
486,fatal,warn
487,fatal,warn
488,fatal,warn
489,fatal,warn
490,fatal,warn
491,fatal,warn
492,fatal,warn
493,fatal,warn
494,fatal,warn
495,fatal,warn
496,fatal,warn
497,fatal,warn
498,fatal,warn
499,fatal,warn
500,fatal,warn
501,fatal,warn
502,fatal,warn
503,fatal,warn
504,fatal,warn
505,fatal,warn
506,fatal,warn
507,fatal,warn
508,fatal,warn
509,fatal,warn
510,fatal,warn
511,fatal,warn
512,fatal,warn
513,fatal,warn
514,fatal,warn
515,fatal,warn
516,fatal,warn
517,fatal,warn
518,fatal,warn
519,fatal,warn
520,fatal,warn
521,fatal,warn
522,fatal,warn
523,fatal,warn
524,fatal,warn
525,fatal,warn
526,fatal,warn
527,fatal,warn
528,fatal,warn
529,fatal,warn
530,fatal,warn
531,fatal,warn
532,fatal,warn
533,fatal,warn
534,fatal,warn
535,fatal,warn
536,fatal,warn
537,fatal,warn
538,fatal,warn
539,fatal,warn
540,fatal,warn
541,fatal,warn
542,fatal,warn
543,fatal,warn
544,fatal,warn
545,fatal,warn
546,fatal,warn
547,fatal,warn
548,fatal,warn
549,fatal,warn
550,fatal,warn
551,fatal,warn
552,fatal,warn
553,fatal,warn
554,fatal,warn
555,fatal,warn
556,fatal,warn
557,fatal,warn
558,fatal,warn
559,fatal,warn
560,fatal,warn
561,fatal,warn
562,fatal,warn
563,fatal,warn
564,fatal,warn
565,fatal,warn
566,fatal,warn
567,fatal,warn
568,fatal,warn
569,fatal,warn
570,fatal,warn
571,fatal,warn
572,fatal,warn
573,fatal,warn
574,fatal,warn
575,fatal,warn
576,fatal,warn
577,fatal,warn
578,fatal,warn
579,fatal,warn
580,fatal,warn
581,fatal,warn
582,fatal,warn
583,fatal,warn
584,fatal,warn
585,fatal,warn
586,fatal,warn
587,fatal,warn
588,fatal,warn
589,fatal,warn
590,fatal,warn
591,fatal,warn
592,fatal,warn
593,fatal,warn
594,fatal,warn
595,fatal,warn
596,fatal,warn
597,fatal,warn
598,fatal,warn
599,fatal,warn
600,fatal,warn
601,fatal,warn
602,fatal,warn
603,fatal,warn
604,fatal,warn
605,fatal,warn
606,fatal,warn
607,fatal,warn
608,fatal,warn
609,fatal,warn
610,fatal,warn
611,fatal,warn
612,fatal,warn
613,fatal,warn
614,fatal,warn
615,fatal,warn
616,fatal,warn
617,fatal,warn
618,fatal,warn
619,fatal,warn
620,fatal,warn
621,fatal,warn
622,fatal,warn
623,fatal,warn
624,fatal,warn
625,fatal,warn
626,fatal,warn
627,fatal,warn
628,fatal,warn
629,fatal,warn
630,fatal,warn
631,fatal,warn
632,fatal,warn
633,fatal,warn
634,fatal,warn
635,fatal,warn
636,fatal,warn
637,fatal,warn
638,fatal,warn
639,fatal,warn
640,fatal,warn
641,fatal,warn
642,fatal,warn
643,fatal,warn
644,fatal,warn
645,fatal,warn
646,fatal,warn
647,fatal,warn
648,fatal,warn
649,fatal,warn
650,fatal,warn
651,fatal,warn
652,fatal,warn
653,fatal,warn
654,fatal,warn
655,fatal,warn
656,fatal,warn
657,fatal,warn
658,fatal,warn
659,fatal,warn
660,fatal,warn
661,fatal,warn
662,fatal,warn
663,fatal,warn
664,fatal,warn
665,fatal,warn
666,fatal,warn
667,fatal,warn
668,fatal,warn
669,fatal,warn
670,fatal,warn
671,fatal,warn
672,fatal,warn
673,fatal,warn
674,fatal,warn
675,fatal,warn
676,fatal,warn
677,fatal,warn
678,fatal,warn
679,fatal,warn
680,fatal,warn
681,fatal,warn
682,fatal,warn
683,fatal,warn
684,fatal,warn
685,fatal,warn
686,fatal,warn
687,fatal,warn
688,fatal,warn
689,fatal,warn
690,fatal,warn
691,fatal,warn
692,fatal,warn
693,fatal,warn
694,fatal,warn
695,fatal,warn
696,fatal,warn
697,fatal,warn
698,fatal,warn
699,fatal,warn
700,fatal,warn
701,fatal,warn
702,fatal,warn
703,fatal,warn
704,fatal,warn
705,fatal,warn
706,fatal,warn
707,fatal,warn
708,fatal,warn
709,fatal,warn
710,fatal,warn
711,fatal,warn
712,fatal,warn
713,fatal,warn
714,fatal,warn
715,fatal,warn
716,fatal,warn
717,fatal,warn
718,fatal,warn
719,fatal,warn
720,fatal,warn
721,fatal,warn
722,fatal,warn
723,fatal,warn
724,fatal,warn
725,fatal,warn
726,fatal,warn
727,fatal,warn
728,fatal,warn
729,fatal,warn
730,fatal,warn
731,fatal,warn
732,fatal,warn
733,fatal,warn
734,fatal,warn
735,fatal,warn
736,fatal,warn
737,fatal,warn
738,fatal,warn
739,fatal,warn
740,fatal,warn
741,fatal,warn
742,fatal,warn
743,fatal,warn
744,fatal,warn
745,fatal,warn
746,fatal,warn
747,fatal,warn
748,fatal,warn
749,fatal,warn
750,fatal,warn
751,fatal,warn
752,fatal,warn
753,fatal,warn
754,fatal,warn
755,fatal,warn
756,fatal,warn
757,fatal,warn
758,fatal,warn
759,fatal,warn
760,fatal,warn
761,fatal,warn
762,fatal,warn
763,fatal,warn
764,fatal,warn
765,fatal,warn
766,fatal,warn
767,fatal,warn
768,fatal,warn
769,fatal,warn
770,fatal,warn
771,fatal,warn
772,fatal,warn
773,fatal,warn
774,fatal,warn
775,fatal,warn
776,fatal,warn
777,fatal,warn
778,fatal,warn
