g,pandas,duckdb,polars
0,warn,warn,warn
1,warn,warn,warn
2,warn,warn,warn
3,warn,warn,warn
4,warn,warn,warn
5,warn,warn,warn
6,warn,warn,warn
7,warn,warn,warn
8,warn,warn,warn
9,warn,warn,warn
10,warn,warn,warn
11,warn,warn,warn
12,warn,warn,warn
13,warn,warn,warn
14,warn,warn,warn
15,warn,warn,warn
16,warn,warn,warn
17,warn,warn,warn
18,warn,warn,warn
19,warn,warn,warn
20,warn,warn,warn
21,warn,warn,warn
22,warn,warn,warn
23,warn,warn,warn
24,warn,warn,warn
25,warn,warn,warn
26,warn,warn,warn
27,warn,warn,warn
28,warn,warn,warn
29,warn,warn,warn
30,warn,warn,warn
31,warn,warn,warn
32,warn,warn,warn
33,warn,warn,warn
34,warn,warn,warn
35,warn,warn,warn
36,warn,warn,warn
37,warn,warn,warn
38,warn,warn,warn
39,warn,warn,warn
40,warn,warn,warn
41,warn,warn,warn
42,warn,warn,warn
43,warn,warn,warn
44,warn,warn,warn
45,warn,warn,warn
46,warn,warn,warn
47,warn,warn,warn
48,warn,warn,warn
49,warn,warn,warn
50,warn,warn,warn
51,warn,warn,warn
52,warn,warn,warn
53,warn,warn,warn
54,warn,warn,warn
55,warn,warn,warn
56,warn,warn,warn
57,warn,warn,warn
58,warn,warn,warn
59,warn,warn,warn
60,warn,warn,warn
61,warn,warn,warn
62,warn,warn,warn
63,warn,warn,warn
64,warn,warn,warn
65,warn,warn,warn
66,warn,warn,warn
67,warn,warn,warn
68,warn,warn,warn
69,warn,warn,warn
70,warn,warn,warn
71,warn,warn,warn
72,warn,warn,warn
73,warn,warn,warn
74,warn,warn,warn
75,warn,warn,warn
76,warn,warn,warn
77,warn,warn,warn
78,warn,warn,warn
79,warn,warn,warn
80,warn,warn,warn
81,warn,warn,warn
82,warn,warn,warn
83,warn,warn,warn
84,warn,warn,warn
85,warn,warn,warn
86,warn,warn,warn
87,warn,warn,warn
88,warn,warn,warn
89,warn,warn,warn
90,warn,warn,warn
91,warn,warn,warn
92,warn,warn,warn
93,warn,warn,warn
94,warn,warn,warn
95,warn,warn,warn
96,warn,warn,warn
97,warn,warn,warn
98,warn,warn,warn
99,warn,warn,warn
100,warn,warn,warn
101,warn,warn,warn
102,warn,warn,warn
103,warn,warn,warn
104,warn,warn,warn
105,warn,warn,warn
106,warn,warn,warn
107,warn,warn,warn
108,warn,warn,warn
109,warn,warn,warn
110,warn,warn,warn
111,warn,warn,warn
112,warn,warn,warn
113,warn,warn,warn
114,warn,warn,warn
115,warn,warn,warn
116,warn,warn,warn
117,warn,warn,warn
118,warn,warn,warn
119,warn,warn,warn
120,warn,warn,warn
121,warn,warn,warn
122,warn,warn,warn
123,warn,warn,warn
124,warn,warn,warn
125,warn,warn,warn
126,warn,warn,warn
127,warn,warn,warn
128,warn,warn,warn
129,warn,warn,warn
130,warn,warn,warn
131,warn,warn,warn
132,warn,warn,warn
133,warn,warn,warn
134,warn,warn,warn
135,warn,warn,warn
136,warn,warn,warn
137,warn,warn,warn
138,warn,warn,warn
139,warn,warn,warn
140,warn,warn,warn
141,warn,warn,warn
142,warn,warn,warn
143,warn,warn,warn
144,warn,warn,warn
145,warn,warn,warn
146,warn,warn,warn
147,warn,warn,warn
148,warn,warn,warn
149,warn,warn,warn
150,warn,warn,warn
151,warn,warn,warn
152,warn,warn,warn
153,warn,warn,warn
154,warn,warn,warn
155,warn,warn,warn
156,warn,warn,warn
157,warn,warn,warn
158,warn,warn,warn
159,warn,warn,warn
160,warn,warn,warn
161,warn,warn,warn
162,warn,warn,warn
163,warn,warn,warn
164,warn,warn,warn
165,warn,warn,warn
166,warn,warn,warn
167,warn,warn,warn
168,warn,warn,warn
169,warn,warn,warn
170,warn,warn,warn
171,warn,warn,warn
172,warn,warn,warn
173,warn,warn,warn
174,warn,warn,warn
175,warn,warn,warn
176,warn,warn,warn
177,warn,warn,warn
178,warn,warn,warn
179,warn,warn,warn
180,warn,warn,warn
181,warn,warn,warn
182,warn,warn,warn
183,warn,warn,warn
184,warn,warn,warn
185,warn,warn,warn
186,warn,warn,warn
187,warn,warn,warn
188,warn,warn,warn
189,warn,warn,warn
190,warn,warn,warn
191,warn,warn,warn
192,warn,warn,warn
193,warn,warn,warn
194,warn,warn,warn
195,warn,warn,warn
196,warn,warn,warn
197,warn,warn,warn
198,warn,warn,warn
199,warn,warn,warn
200,warn,warn,warn
201,warn,warn,warn
202,warn,warn,warn
203,warn,warn,warn
204,warn,warn,warn
205,warn,warn,warn
206,warn,warn,warn
207,warn,warn,warn
208,warn,warn,warn
209,warn,warn,warn
210,warn,warn,warn
211,warn,warn,warn
212,warn,warn,warn
213,warn,warn,warn
214,warn,warn,warn
215,warn,warn,warn
216,warn,warn,warn
217,warn,warn,warn
218,warn,warn,warn
219,warn,warn,warn
220,warn,warn,warn
221,warn,warn,warn
222,warn,warn,warn
223,warn,warn,warn
224,warn,warn,warn
225,warn,warn,warn
226,warn,warn,warn
227,warn,warn,warn
228,warn,warn,warn
229,warn,warn,warn
230,warn,warn,warn
231,warn,warn,warn
232,warn,warn,warn
233,warn,warn,warn
234,warn,warn,warn
235,warn,warn,warn
236,warn,warn,warn
237,warn,warn,warn
238,warn,warn,warn
239,warn,warn,warn
240,warn,warn,warn
241,warn,warn,warn
242,warn,warn,warn
243,warn,warn,warn
244,warn,warn,warn
245,warn,warn,warn
246,warn,warn,warn
247,warn,warn,warn
248,warn,warn,warn
249,warn,warn,warn
250,warn,warn,warn
251,warn,warn,warn
252,warn,warn,warn
253,warn,warn,warn
254,warn,warn,warn
255,warn,warn,warn
256,warn,warn,warn
257,warn,warn,warn
258,warn,warn,warn
259,warn,warn,warn
260,warn,warn,warn
261,warn,warn,warn
262,warn,warn,warn
263,warn,warn,warn
264,warn,warn,warn
265,warn,warn,warn
266,warn,warn,warn
267,warn,warn,warn
