repo	imports_wazero	NewModuleConfig_sites	WithRandSource_sites	WithRandSource_cryptorand	NewRuntime_sites	clone_status
go-plugin	YES(26)	13	0	0	10	OK
wazero	YES(232)	24	8	1	18	OK
wapc-go	YES(1)	1	1	1	1	OK
arcjet-go	YES(3)	2	0	0	3	OK
go-re2	YES(2)	3	0	0	0	OK
wazergo	YES(9)	1	0	0	0	OK
go-sdk(dapr)	NO	-	-	-	-	OK_no_wazero
coraza-proxy-wasm	NO	-	-	-	-	OK_no_wazero
wazero-emscripten-example	-	-	-	-	-	CLONE_FAIL
go-sdk(extism)	NO	-	-	-	-	OK_no_wazero
extism	NO	-	-	-	-	OK_no_wazero
observe-sdk	YES(11)	7	0	0	0	OK
scale	YES(4)	1	1	1	0	OK
wasmCloud	NO	-	-	-	-	OK_no_wazero
profefe	NO	-	-	-	-	OK_no_wazero
wasm-secrets	-	-	-	-	-	CLONE_FAIL
proxy-wasm-go-sdk	YES(1)	1	0	0	1	OK
birzzle	-	-	-	-	-	CLONE_FAIL
gosivy	NO	-	-	-	-	OK_no_wazero
wasm-on-go	-	-	-	-	-	CLONE_FAIL
